acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.321,0.813,0.517,-28.659,96.646,19.451
-0.278,0.892,0.585,-22.744,96.159,16.951
-0.259,0.977,0.616,-16.28,94.634,16.524
-0.217,1.059,0.634,-10.549,90.671,14.451
-0.159,1.141,0.653,-5.366,84.695,12.012
-0.116,1.21,0.667,-1.768,77.134,12.256
-0.062,1.261,0.682,-0.366,65.366,10.549
0.005,1.27,0.667,-1.89,49.146,9.451
0.111,1.237,0.627,-4.207,31.159,10.488
0.217,1.2,0.582,-6.037,15.793,11.89
0.261,1.15,0.557,-8.963,0.976,14.146
0.249,1.063,0.509,-9.512,-16.098,16.159
0.239,0.963,0.46,-7.866,-30.61,18.72
0.269,0.911,0.441,-4.451,-43.171,20.305
0.259,0.848,0.395,-1.037,-52.683,22.073
0.216,0.776,0.355,0.183,-58.72,22.256
0.167,0.711,0.346,0.488,-60.915,22.378
0.115,0.658,0.329,0.793,-58.476,24.634
0.086,0.611,0.292,0.549,-50.671,26.341
0.066,0.562,0.25,-1.402,-40.793,24.085
0.013,0.521,0.195,-3.049,-33.049,19.634
-0.078,0.503,0.14,-3.354,-24.878,16.585
-0.12,0.522,0.135,-3.78,-12.561,12.744
-0.117,0.513,0.14,-4.634,4.817,8.598
-0.132,0.491,0.119,-4.634,24.695,4.024
-0.174,0.533,0.124,-4.268,44.39,0.0
-0.214,0.621,0.157,-4.451,63.476,-3.11
-0.25,0.683,0.209,-4.329,81.098,-5.671
-0.336,0.729,0.269,-2.5,97.134,-7.378
-0.454,0.816,0.348,-1.524,108.171,-9.329
-0.601,0.946,0.433,-1.037,110.976,-12.805
-0.715,1.053,0.514,-3.537,108.963,-17.439
-0.771,1.136,0.592,-3.11,106.951,-22.439
-0.802,1.192,0.635,0.671,104.207,-26.463
-0.785,1.243,0.667,3.293,99.573,-31.402
-0.715,1.284,0.672,5.0,92.744,-37.805
-0.631,1.288,0.635,5.854,86.463,-42.256
