acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.509,1.066,0.502,13.78,50.671,1.22
-0.553,1.125,0.521,15.61,46.768,-8.476
-0.543,1.16,0.544,15.915,41.159,-16.89
-0.496,1.172,0.557,14.085,36.159,-22.439
-0.454,1.175,0.556,10.671,34.939,-26.098
-0.408,1.175,0.554,6.951,36.768,-27.012
-0.343,1.169,0.544,3.598,37.378,-26.098
-0.256,1.153,0.506,0.366,33.659,-23.476
-0.153,1.123,0.482,-3.415,27.256,-19.207
-0.039,1.086,0.477,-5.732,18.049,-12.866
0.118,1.029,0.479,-7.988,7.683,-3.841
0.306,0.98,0.49,-9.634,-2.988,7.012
0.456,0.948,0.482,-9.695,-13.902,17.805
0.542,0.895,0.476,-8.659,-26.098,28.354
0.545,0.809,0.449,-7.683,-39.451,38.11
0.479,0.719,0.43,-7.683,-53.354,45.854
0.423,0.687,0.413,-7.988,-66.951,51.037
0.349,0.673,0.388,-8.11,-77.378,53.415
0.294,0.641,0.366,-8.78,-82.683,50.488
0.195,0.632,0.328,-8.659,-83.537,44.573
0.065,0.632,0.259,-8.476,-78.11,40.427
-0.01,0.643,0.206,-9.695,-65.061,34.756
-0.101,0.639,0.167,-10.61,-47.378,25.366
-0.181,0.62,0.116,-9.085,-28.902,14.146
-0.221,0.63,0.09,-6.524,-10.305,3.902
-0.307,0.627,0.099,-3.171,6.951,-4.817
-0.418,0.607,0.102,0.854,28.354,-12.134
-0.514,0.619,0.139,4.695,51.22,-15.61
-0.6,0.637,0.229,7.866,69.634,-18.598
-0.66,0.644,0.335,9.512,82.195,-20.915
-0.671,0.662,0.446,8.963,90.61,-23.232
-0.677,0.699,0.536,6.402,95.366,-26.159
-0.641,0.768,0.576,3.598,96.28,-25.854
-0.549,0.877,0.594,1.524,99.39,-24.39
-0.44,0.989,0.572,1.707,101.585,-22.195
-0.397,1.109,0.552,3.598,100.122,-18.963
-0.342,1.273,0.544,4.024,94.817,-15.793
-0.268,1.433,0.507,4.878,83.354,-13.11
-0.159,1.548,0.472,7.988,66.341,-10.549
-0.039,1.611,0.449,11.341,46.585,-9.878
0.086,1.574,0.416,14.085,25.915,-8.902
0.26,1.478,0.389,17.378,3.232,-5.915
0.44,1.349,0.398,20.122,-19.817,-0.305
0.542,1.2,0.438,22.256,-37.622,9.268
0.563,1.035,0.485,25.122,-48.476,20.671
0.591,0.867,0.545,25.793,-57.256,32.5
0.606,0.721,0.626,24.39,-63.78,44.085
0.527,0.625,0.663,19.329,-64.085,53.598
0.366,0.602,0.568,9.634,-61.098,59.329
0.167,0.604,0.42,-0.488,-61.037,61.159
0.034,0.574,0.262,-9.39,-64.146,58.72
-0.029,0.546,0.125,-17.195,-67.805,51.768
0.039,0.577,0.038,-22.683,-71.585,40.122
0.072,0.593,0.004,-24.695,-72.805,26.159
-0.096,0.501,-0.04,-22.134,-66.037,14.268
-0.247,0.482,-0.08,-17.927,-44.207,7.012
-0.331,0.514,-0.111,-13.293,-10.122,1.159
-0.399,0.541,-0.11,-9.817,26.524,-4.878
-0.521,0.578,-0.093,-6.22,58.72,-13.476
-0.673,0.631,-0.016,-0.915,77.5,-23.171
-0.764,0.693,0.151,6.402,83.293,-32.683
-0.799,0.766,0.322,10.061,85.915,-40.549
-0.782,0.834,0.501,7.683,91.463,-47.317
-0.751,0.896,0.657,6.585,92.134,-48.415
-0.719,0.944,0.768,2.866,91.524,-47.988
-0.606,1.004,0.829,-1.402,93.78,-47.256
-0.437,1.096,0.836,-4.756,97.5,-45.0
-0.29,1.215,0.779,-7.683,97.561,-40.976
-0.23,1.336,0.677,-9.634,91.951,-36.098
-0.234,1.446,0.59,-10.427,77.805,-28.049
-0.157,1.506,0.512,-8.841,57.988,-19.634
0.027,1.48,0.412,-5.793,35.976,-8.841
0.154,1.441,0.351,-0.61,10.854,1.463
0.263,1.399,0.34,7.5,-17.012,10.0
0.417,1.265,0.338,17.5,-46.341,17.439
0.534,1.117,0.338,27.134,-72.012,25.0
0.556,1.004,0.323,32.927,-89.146,33.049
0.525,0.888,0.301,34.634,-100.854,42.744
0.514,0.757,0.283,30.549,-108.232,50.915
0.476,0.639,0.256,21.524,-108.049,54.451
0.37,0.559,0.263,13.902,-102.073,57.317
0.216,0.507,0.275,6.22,-91.524,57.988
0.063,0.447,0.239,-5.671,-78.902,53.11
-0.052,0.429,0.177,-15.305,-64.878,46.037
-0.141,0.441,0.119,-22.317,-48.476,37.073
-0.233,0.412,0.083,-29.024,-32.561,24.146
-0.265,0.419,0.082,-33.11,-20.427,10.122
-0.251,0.433,0.073,-32.378,-5.671,-1.159
