acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.254,1.259,0.53,-7.317,39.207,-20.061
-0.118,1.267,0.459,-8.171,24.39,-20.793
0.07,1.232,0.452,-7.622,10.122,-19.146
0.223,1.18,0.465,-4.756,-2.805,-13.963
0.304,1.095,0.47,-0.183,-15.0,-6.341
0.445,0.999,0.475,4.512,-27.134,1.524
0.566,0.931,0.483,8.902,-39.817,12.561
0.559,0.854,0.469,11.037,-51.89,23.537
0.471,0.75,0.415,10.305,-63.11,33.598
0.413,0.695,0.376,9.512,-74.207,40.305
0.338,0.684,0.331,10.793,-80.915,45.305
0.253,0.678,0.277,11.646,-78.354,49.268
0.114,0.648,0.198,10.244,-72.195,48.537
-0.024,0.604,0.098,7.012,-63.72,43.293
-0.089,0.606,0.046,4.512,-53.232,36.829
-0.17,0.612,0.014,1.463,-36.402,29.512
-0.294,0.577,-0.009,-0.915,-14.512,17.561
-0.506,0.555,0.005,-0.305,9.878,6.098
-0.644,0.58,0.051,1.524,34.634,-3.11
-0.716,0.613,0.108,1.646,63.537,-12.012
-0.74,0.633,0.217,2.073,88.659,-20.976
-0.739,0.671,0.351,4.268,107.256,-29.756
-0.758,0.737,0.46,5.793,120.427,-35.427
-0.737,0.816,0.567,4.39,129.268,-39.878
-0.645,0.901,0.653,2.561,131.22,-43.659
-0.531,0.975,0.683,0.305,127.5,-43.537
-0.415,1.069,0.665,-3.171,125.488,-40.427
-0.31,1.208,0.638,-6.159,119.268,-35.61
-0.245,1.341,0.587,-8.049,107.927,-28.659
-0.208,1.465,0.51,-8.354,94.756,-21.524
-0.105,1.548,0.434,-5.732,73.963,-14.634
0.044,1.536,0.418,-2.012,46.951,-8.171
0.199,1.444,0.427,4.024,15.793,-3.598
0.314,1.321,0.407,9.085,-18.171,0.671
0.416,1.202,0.378,12.683,-50.183,6.28
0.499,1.092,0.391,18.171,-73.72,16.037
0.542,0.967,0.433,22.378,-84.207,27.134
0.498,0.813,0.453,22.866,-85.183,38.293
0.381,0.692,0.426,19.817,-82.134,47.134
0.277,0.654,0.375,13.841,-78.963,52.744
0.152,0.61,0.317,6.159,-73.476,57.012
0.021,0.56,0.203,-0.61,-66.159,57.195
-0.072,0.541,0.065,-5.549,-60.427,51.159
-0.135,0.52,-0.009,-8.902,-57.073,42.317
-0.21,0.468,-0.008,-12.073,-50.854,33.11
-0.293,0.418,-0.038,-13.049,-39.268,22.195
-0.378,0.402,-0.068,-11.707,-20.305,11.037
-0.425,0.449,-0.073,-9.634,7.805,2.378
-0.465,0.504,-0.02,-7.744,40.366,-5.61
-0.497,0.568,0.089,-5.793,71.707,-14.817
-0.547,0.632,0.19,-3.415,98.293,-24.146
-0.586,0.73,0.292,-0.732,118.171,-31.28
-0.665,0.832,0.424,0.671,130.976,-36.89
-0.724,0.922,0.596,-3.415,136.037,-40.976
-0.693,0.994,0.704,-7.134,131.037,-42.927
-0.632,1.068,0.723,-9.085,120.61,-44.634
