acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.289,0.472,0.169,-62.866,54.207,24.817
-0.26,0.487,0.127,-57.073,59.268,17.927
-0.287,0.505,0.13,-52.256,57.927,10.793
-0.339,0.528,0.157,-48.354,55.122,3.354
-0.352,0.545,0.168,-43.415,53.171,-4.024
-0.342,0.53,0.154,-38.963,51.951,-10.854
-0.337,0.526,0.125,-35.793,51.768,-16.585
-0.337,0.53,0.096,-32.256,56.463,-19.939
-0.325,0.539,0.066,-27.012,64.634,-22.073
-0.339,0.547,0.047,-21.098,73.171,-22.439
-0.369,0.555,0.036,-14.207,81.22,-20.305
-0.441,0.543,0.069,-6.585,84.451,-14.695
-0.601,0.515,0.173,-0.671,84.085,-9.085
-0.77,0.507,0.243,4.329,78.78,-5.915
-0.897,0.537,0.245,7.073,64.268,-0.427
-1.0,0.613,0.148,8.841,36.646,4.878
-1.139,0.706,0.043,7.622,9.207,9.512
-1.176,0.807,-0.013,6.585,-8.049,12.012
-1.052,0.857,-0.039,5.61,-16.402,14.024
-0.902,0.87,-0.068,4.573,-18.415,17.805
-0.765,0.877,-0.084,1.829,-13.598,21.524
-0.685,0.875,-0.097,0.488,-6.707,22.805
-0.659,0.859,-0.084,0.976,-4.024,21.829
-0.64,0.874,-0.069,2.866,-7.134,17.988
-0.608,0.894,-0.088,4.756,-11.585,11.951
-0.53,0.896,-0.044,4.878,-13.841,7.073
-0.423,0.912,0.042,3.11,-17.134,2.561
-0.406,0.939,0.065,0.793,-22.439,-1.159
-0.458,0.963,0.042,-0.854,-27.195,-2.988
-0.5,0.965,0.031,-0.854,-29.146,-2.134
-0.535,0.936,0.041,-0.793,-27.012,1.402
-0.575,0.916,0.073,-0.854,-22.439,5.915
-0.617,0.912,0.103,-1.829,-15.854,9.817
-0.635,0.913,0.124,-1.707,-11.707,12.561
-0.662,0.885,0.126,-0.183,-10.305,14.207
-0.672,0.856,0.105,1.768,-10.976,15.793
-0.652,0.834,0.097,4.39,-13.598,18.11
-0.66,0.814,0.088,7.561,-15.427,19.146
-0.643,0.788,0.091,10.488,-14.634,18.72
-0.586,0.776,0.085,13.72,-9.756,18.11
-0.485,0.75,0.08,16.098,-0.671,17.012
-0.381,0.731,0.08,17.744,8.171,15.366
-0.327,0.722,0.065,18.293,16.098,14.878
-0.314,0.724,0.02,16.646,24.451,13.476
-0.322,0.749,-0.056,12.561,31.28,10.122
-0.341,0.792,-0.113,6.768,34.329,6.037
-0.334,0.824,-0.171,2.195,33.963,1.341
-0.341,0.815,-0.198,-0.366,35.427,-3.963
-0.327,0.779,-0.172,-1.341,38.659,-8.476
-0.304,0.746,-0.132,-0.793,42.561,-12.439
-0.34,0.718,-0.114,1.402,44.939,-17.195
-0.401,0.693,-0.076,3.963,46.585,-20.549
-0.444,0.68,-0.019,7.134,47.012,-22.805
-0.484,0.678,-0.013,9.695,45.183,-24.512
-0.528,0.695,-0.045,10.0,45.305,-25.244
-0.563,0.705,-0.075,10.427,46.585,-25.61
-0.57,0.704,-0.123,10.549,46.524,-25.061
-0.597,0.717,-0.169,8.78,45.976,-23.537
-0.625,0.744,-0.208,4.878,42.256,-21.159
-0.685,0.774,-0.21,0.915,34.451,-17.5
-0.782,0.8,-0.193,-1.28,23.537,-13.415
-0.872,0.807,-0.168,-3.293,10.549,-7.012
-0.92,0.817,-0.144,-5.854,-2.134,-0.732
-0.921,0.84,-0.124,-6.646,-14.39,3.902
-0.912,0.828,-0.107,-3.476,-23.293,8.78
-0.873,0.783,-0.091,-0.976,-26.89,13.659
-0.824,0.781,-0.046,0.915,-27.378,17.378
-0.777,0.802,-0.044,2.195,-27.744,20.671
-0.742,0.824,-0.061,1.341,-27.378,23.841
-0.71,0.856,-0.092,-1.22,-26.951,25.488
-0.667,0.895,-0.144,-5.122,-30.061,25.488
-0.645,0.94,-0.184,-9.634,-36.707,23.72
-0.625,0.984,-0.188,-10.976,-41.28,20.488
-0.569,0.988,-0.142,-8.841,-40.915,15.183
-0.46,0.965,-0.038,-4.878,-36.524,9.451
-0.367,0.936,0.094,-1.098,-27.5,4.756
-0.269,0.905,0.192,0.549,-17.683,2.622
-0.257,0.888,0.244,2.317,-10.061,2.134
-0.319,0.877,0.237,4.024,-6.707,3.476
-0.418,0.881,0.175,4.573,-6.951,4.39
-0.504,0.895,0.09,5.793,-9.634,5.244
-0.569,0.885,0.042,8.11,-12.439,5.915
-0.583,0.854,0.012,9.451,-13.293,6.28
-0.56,0.835,0.01,10.915,-9.695,6.463
-0.514,0.8,0.014,12.805,-2.988,6.707
-0.464,0.761,0.003,13.415,3.171,6.159
-0.453,0.748,0.003,13.841,8.841,5.61
-0.458,0.74,-0.007,15.366,16.951,6.159
-0.445,0.743,-0.091,13.598,23.78,4.939
-0.422,0.804,-0.196,9.268,26.037,2.561
-0.423,0.847,-0.233,6.037,25.976,-0.244
-0.419,0.825,-0.231,3.232,27.134,-3.963
-0.395,0.801,-0.231,0.915,29.024,-7.805
-0.375,0.77,-0.215,-0.122,33.171,-12.134
-0.362,0.742,-0.198,-0.915,39.085,-16.951
-0.334,0.718,-0.187,-2.439,43.11,-21.28
-0.34,0.708,-0.17,-2.439,47.439,-25.244
-0.338,0.703,-0.172,0.549,50.183,-27.927
-0.397,0.664,-0.146,5.244,49.939,-28.841
-0.515,0.621,-0.095,9.512,47.439,-29.451
-0.584,0.62,-0.116,11.098,40.244,-29.756
-0.663,0.649,-0.173,10.366,30.915,-27.927
-0.768,0.693,-0.203,9.024,25.488,-23.232
-0.781,0.74,-0.233,7.317,23.232,-17.439
-0.772,0.78,-0.253,4.634,21.22,-11.707
-0.781,0.821,-0.265,3.11,16.037,-6.89
-0.813,0.826,-0.222,3.232,8.902,-2.805
-0.821,0.814,-0.131,3.476,-2.256,0.549
-0.852,0.8,-0.06,5.366,-14.878,2.744
-0.86,0.767,-0.035,8.049,-25.488,5.427
-0.834,0.752,-0.034,7.927,-33.537,9.329
-0.825,0.792,-0.064,7.683,-36.707,13.293
-0.793,0.832,-0.128,5.854,-35.854,17.866
-0.75,0.881,-0.182,0.488,-32.866,22.256
-0.709,0.953,-0.226,-7.561,-31.037,25.793
-0.686,1.02,-0.248,-14.939,-34.085,26.22
-0.667,1.07,-0.271,-20.976,-38.598,25.732
-0.611,1.091,-0.224,-23.232,-41.524,24.207
-0.551,1.07,-0.121,-20.915,-41.341,19.268
-0.452,1.023,0.031,-13.72,-38.11,13.537
-0.347,0.926,0.204,-4.024,-28.78,9.878
-0.241,0.823,0.358,2.195,-16.768,9.634
-0.209,0.792,0.413,4.756,-7.5,9.878
-0.294,0.819,0.308,7.622,-0.61,9.573
-0.372,0.837,0.13,9.817,3.598,8.537
-0.426,0.848,-0.019,10.305,4.085,5.854
-0.481,0.861,-0.141,8.598,3.598,2.012
-0.478,0.854,-0.193,4.634,3.963,-1.341
-0.448,0.835,-0.185,1.463,4.756,-3.963
-0.443,0.788,-0.148,0.427,6.646,-5.244
-0.451,0.737,-0.115,0.488,11.89,-6.159
-0.438,0.711,-0.103,1.585,19.817,-6.89
-0.429,0.69,-0.116,2.256,27.805,-8.293
-0.418,0.692,-0.15,2.683,33.415,-10.549
-0.42,0.693,-0.167,4.573,36.22,-11.951
