acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.99,0.614,-0.065,16.098,10.549,-7.683
-0.956,0.703,-0.207,5.427,-4.634,0.61
-0.992,0.824,-0.275,-2.5,-16.402,9.939
-1.12,0.886,-0.288,-7.073,-23.293,18.354
-1.11,0.94,-0.242,-8.354,-30.183,24.939
-1.042,0.98,-0.134,-7.927,-42.866,28.78
-1.011,0.971,0.003,-3.659,-58.11,29.756
-0.956,0.923,0.144,3.354,-68.841,29.695
-0.834,0.885,0.231,8.841,-71.707,28.11
-0.716,0.888,0.224,13.049,-68.415,25.366
-0.598,0.885,0.179,14.512,-62.744,22.805
-0.541,0.891,0.123,12.134,-53.049,19.939
-0.483,0.929,0.078,8.11,-39.512,17.195
-0.433,0.951,0.03,4.756,-24.756,15.732
-0.401,0.944,-0.005,2.683,-13.049,13.293
-0.428,0.933,-0.026,1.951,-5.793,10.244
-0.44,0.913,0.0,1.829,0.305,8.841
-0.404,0.876,0.073,1.829,5.122,8.171
-0.404,0.841,0.138,1.89,8.354,6.585
-0.415,0.813,0.19,5.427,12.134,4.268
-0.4,0.755,0.235,12.561,19.634,1.951
-0.368,0.694,0.241,18.963,31.829,-1.098
-0.322,0.665,0.181,23.902,49.756,-4.146
-0.264,0.644,0.075,25.244,71.951,-6.585
-0.201,0.63,-0.081,23.232,88.841,-8.902
-0.206,0.633,-0.193,16.951,96.89,-11.402
-0.246,0.675,-0.283,7.317,95.854,-16.768
-0.319,0.708,-0.34,-2.805,90.244,-22.744
-0.416,0.701,-0.356,-12.012,85.61,-27.561
-0.504,0.669,-0.351,-19.939,80.427,-29.817
-0.644,0.631,-0.303,-22.805,75.549,-28.476
-0.797,0.581,-0.19,-19.207,72.744,-22.378
-0.951,0.518,-0.065,-9.939,69.451,-14.329
-1.076,0.471,-0.031,-1.402,59.329,-8.11
-1.167,0.508,-0.037,3.476,40.244,-5.183
-1.212,0.577,-0.08,7.134,14.756,-3.963
-1.193,0.613,-0.152,11.098,-13.841,-2.866
-1.147,0.638,-0.248,14.024,-41.159,-2.439
-1.098,0.663,-0.278,17.378,-64.39,-0.854
-1.087,0.663,-0.235,21.341,-76.159,2.5
-1.014,0.65,-0.183,22.073,-79.207,7.378
-0.945,0.661,-0.096,19.207,-79.878,12.439
-0.943,0.691,-0.066,22.317,-79.756,14.573
-0.853,0.738,-0.12,23.11,-80.976,15.793
-0.764,0.825,-0.088,23.11,-82.378,19.817
-0.696,0.869,-0.014,26.89,-78.415,24.817
-0.589,0.889,0.017,28.293,-79.817,26.159
-0.553,0.972,0.019,23.963,-83.963,26.463
-0.496,1.063,0.04,18.963,-80.427,28.415
-0.394,1.092,0.058,17.134,-69.695,28.72
-0.309,1.082,0.042,13.598,-51.22,29.573
-0.186,1.089,0.03,6.341,-29.817,28.659
-0.126,1.097,0.032,1.829,-13.354,24.573
-0.134,1.029,0.048,0.183,3.171,24.573
-0.128,0.949,0.043,-0.671,17.622,23.659
-0.206,0.915,0.025,-5.244,27.378,23.354
-0.315,0.931,0.011,-15.915,41.463,29.329
-0.401,0.976,-0.039,-27.622,53.293,31.22
-0.564,0.986,-0.159,-33.415,54.146,22.317
-0.696,0.947,-0.281,-23.963,47.317,9.878
-0.632,0.781,-0.296,-12.256,43.293,3.841
-0.419,0.655,-0.18,-10.122,40.488,-0.793
-0.339,0.658,-0.091,-10.854,36.585,-7.988
-0.369,0.646,-0.048,-8.232,39.024,-12.866
-0.365,0.591,-0.016,-1.037,48.415,-15.915
-0.359,0.524,0.007,6.463,62.195,-18.293
-0.369,0.507,0.007,9.878,77.012,-19.268
-0.397,0.537,-0.016,9.817,87.195,-20.854
-0.448,0.571,-0.078,9.756,90.0,-23.049
-0.526,0.583,-0.177,10.183,86.707,-24.756
-0.616,0.599,-0.248,9.878,81.707,-25.549
-0.664,0.639,-0.285,9.329,75.366,-24.695
-0.725,0.675,-0.286,9.817,66.037,-22.744
-0.833,0.692,-0.257,9.939,53.171,-21.22
-0.91,0.722,-0.233,8.841,34.817,-20.305
-1.019,0.742,-0.187,9.085,13.598,-17.622
-1.083,0.738,-0.167,10.488,-7.256,-14.573
-1.114,0.741,-0.159,10.427,-25.366,-10.244
-1.105,0.768,-0.118,10.549,-36.585,-4.695
-1.046,0.779,-0.095,13.78,-41.28,0.793
-0.97,0.764,-0.109,18.049,-47.012,3.902
-0.915,0.801,-0.129,20.793,-56.037,3.902
-0.822,0.855,-0.123,23.598,-65.976,4.756
-0.709,0.875,-0.102,23.354,-73.598,7.317
-0.603,0.928,-0.071,16.037,-76.829,9.451
-0.554,1.031,-0.074,5.915,-70.732,10.305
-0.476,1.095,-0.088,-0.854,-57.073,12.073
-0.393,1.086,-0.093,-5.671,-42.012,13.78
-0.349,1.064,-0.078,-9.878,-28.659,14.512
-0.311,1.037,-0.05,-13.11,-17.805,14.451
-0.296,0.993,0.0,-13.415,-8.963,15.366
-0.323,0.94,0.009,-12.5,0.61,16.524
-0.34,0.921,-0.011,-12.378,10.854,16.89
-0.371,0.912,-0.021,-11.89,21.524,15.793
-0.374,0.88,-0.005,-11.159,32.622,15.183
-0.338,0.835,0.021,-9.695,43.415,14.39
-0.331,0.793,0.011,-8.963,51.159,10.671
-0.364,0.748,0.022,-7.805,58.963,6.402
-0.39,0.699,-0.013,-4.024,67.561,-0.122
-0.381,0.644,-0.117,0.671,72.5,-8.72
-0.393,0.584,-0.168,4.817,77.378,-16.951
-0.357,0.542,-0.185,3.232,79.939,-25.244
-0.318,0.562,-0.271,-4.451,78.354,-32.927
-0.367,0.592,-0.336,-11.89,75.427,-36.463
-0.492,0.566,-0.331,-13.902,73.598,-35.915
-0.663,0.507,-0.306,-11.585,72.561,-31.585
-0.835,0.466,-0.284,-5.061,71.098,-25.244
-0.952,0.461,-0.268,2.317,63.963,-19.207
-1.036,0.495,-0.245,7.805,47.5,-14.085
-1.094,0.551,-0.262,12.805,24.085,-10.915
-1.117,0.604,-0.292,15.122,-4.39,-8.171
-1.116,0.646,-0.25,16.402,-30.549,-5.183
-1.047,0.652,-0.205,18.476,-47.256,-3.354
-0.953,0.642,-0.195,19.512,-52.5,0.427
-0.87,0.642,-0.141,19.451,-47.927,7.622
-0.833,0.665,-0.108,18.72,-41.585,13.354
-0.862,0.725,-0.209,24.268,-40.976,11.829
-0.794,0.809,-0.35,23.171,-46.89,12.073
-0.742,0.884,-0.277,21.707,-54.695,14.695
-0.66,0.919,-0.201,21.22,-65.976,19.329
-0.64,0.957,-0.142,16.402,-75.366,23.78
-0.702,1.063,-0.1,12.378,-75.976,23.78
-0.662,1.125,-0.078,8.598,-68.537,23.415
-0.528,1.131,-0.029,2.866,-56.037,23.841
-0.371,1.138,0.026,-2.317,-39.329,23.963
-0.261,1.111,0.057,-3.354,-25.549,22.378
-0.257,1.037,0.053,-2.317,-16.585,19.268
