acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.803,0.55,-0.248,20.549,57.134,-16.524
-0.874,0.65,-0.376,9.146,42.317,-11.341
-0.988,0.754,-0.417,2.012,30.122,-2.439
-1.063,0.793,-0.375,-0.915,19.268,8.232
-1.116,0.812,-0.321,-2.439,4.695,16.341
-1.185,0.828,-0.255,-5.854,-10.0,24.329
-1.161,0.841,-0.173,-7.866,-26.098,30.061
-1.102,0.814,-0.144,-6.28,-43.537,28.049
-0.984,0.792,-0.141,-1.098,-62.561,21.829
-0.862,0.73,-0.146,3.598,-76.402,13.476
-0.745,0.659,-0.106,3.11,-76.524,5.976
-0.583,0.679,-0.044,3.354,-67.5,3.963
-0.474,0.706,-0.049,4.39,-58.659,5.183
-0.468,0.753,-0.063,4.39,-46.585,7.195
-0.453,0.841,-0.021,3.963,-31.28,10.549
-0.411,0.923,0.051,3.049,-22.988,15.793
-0.463,0.983,0.071,2.988,-24.817,21.037
-0.542,1.017,0.042,2.317,-29.512,25.915
-0.561,1.056,0.018,-0.793,-29.939,29.451
-0.544,1.088,0.016,-6.098,-22.866,31.829
-0.485,1.1,0.025,-8.354,-11.098,34.817
-0.453,1.067,0.013,-8.476,0.976,37.439
-0.476,1.007,0.035,-11.707,13.78,40.671
-0.503,0.983,0.064,-13.659,23.232,41.22
-0.56,0.941,-0.013,-10.915,26.341,36.28
-0.592,0.857,-0.137,-2.561,23.049,26.402
-0.566,0.73,-0.163,7.805,19.451,15.61
-0.463,0.611,-0.107,11.037,23.72,6.524
-0.285,0.592,-0.045,8.476,35.61,-1.646
-0.16,0.63,-0.032,6.524,52.378,-9.573
-0.125,0.627,-0.102,6.037,72.134,-17.622
-0.114,0.608,-0.235,3.841,92.927,-25.793
-0.102,0.608,-0.352,-0.366,109.024,-31.28
-0.138,0.605,-0.403,-6.463,116.951,-34.573
-0.286,0.585,-0.389,-9.085,115.0,-35.183
-0.54,0.53,-0.338,-9.512,99.939,-31.89
-0.838,0.493,-0.275,-7.378,78.537,-25.122
-1.069,0.52,-0.28,-3.11,55.915,-18.232
-1.203,0.574,-0.297,1.89,26.341,-12.378
-1.318,0.614,-0.309,5.732,-3.659,-7.195
-1.286,0.654,-0.3,7.988,-27.805,-4.573
-1.163,0.67,-0.283,10.61,-46.098,-3.11
-1.057,0.639,-0.258,15.976,-55.488,-1.829
-0.932,0.626,-0.266,19.573,-57.256,-0.732
-0.813,0.639,-0.248,20.488,-49.573,0.854
-0.687,0.662,-0.218,22.073,-39.756,1.524
-0.583,0.713,-0.246,22.256,-39.573,-0.732
-0.533,0.821,-0.284,19.817,-50.122,-3.171
-0.594,0.873,-0.2,21.89,-61.159,-2.866
-0.578,0.857,-0.125,23.415,-69.756,0.061
-0.581,0.889,-0.083,20.122,-72.5,4.085
-0.618,0.965,-0.033,17.195,-67.195,9.024
-0.579,1.005,0.017,15.183,-55.854,16.585
-0.502,1.036,0.031,12.439,-43.963,24.451
-0.472,1.083,-0.004,10.854,-33.659,30.549
-0.456,1.112,-0.061,9.695,-24.268,35.305
-0.417,1.127,-0.099,5.671,-15.366,37.561
-0.375,1.149,-0.121,-1.159,-7.622,36.22
-0.357,1.154,-0.13,-5.305,-0.732,31.768
-0.338,1.083,-0.106,-7.805,7.012,26.768
-0.269,0.982,-0.076,-12.744,19.024,20.915
-0.188,0.915,-0.054,-16.402,31.159,13.78
-0.197,0.849,-0.078,-17.012,42.622,5.854
-0.256,0.775,-0.155,-17.744,51.951,-3.72
-0.307,0.735,-0.208,-16.037,59.024,-14.085
-0.315,0.673,-0.251,-11.585,62.866,-24.512
-0.305,0.581,-0.271,-9.085,62.622,-33.476
-0.313,0.531,-0.22,-8.415,61.646,-40.305
-0.346,0.508,-0.18,-4.939,61.037,-45.366
-0.402,0.46,-0.198,-2.622,59.695,-47.317
-0.518,0.435,-0.244,-1.463,55.976,-47.256
-0.7,0.45,-0.289,2.195,47.805,-43.354
-0.871,0.486,-0.332,5.549,36.341,-35.976
-1.025,0.538,-0.339,3.841,21.341,-26.829
-1.154,0.62,-0.321,1.341,1.646,-18.72
-1.247,0.683,-0.311,0.61,-23.11,-11.89
-1.3,0.699,-0.251,4.756,-48.841,-6.22
-1.268,0.655,-0.219,11.707,-70.0,-3.354
-1.118,0.638,-0.218,12.378,-89.085,-3.537
-0.985,0.682,-0.19,12.256,-102.073,-1.341
-0.824,0.683,-0.17,11.524,-113.902,2.317
-0.786,0.708,-0.172,7.195,-129.817,3.598
-0.833,0.812,-0.208,5.549,-146.281,6.28
-0.844,0.877,-0.228,10.549,-153.415,13.476
-0.78,0.934,-0.257,13.11,-138.232,22.317
-0.584,1.041,-0.216,7.317,-104.939,27.988
-0.369,1.151,-0.103,-0.915,-66.341,30.976
-0.217,1.191,-0.025,-4.451,-32.744,31.463
-0.138,1.133,0.075,-4.268,-15.671,29.451
-0.155,1.046,0.129,-3.415,-13.598,26.159
-0.213,0.972,0.164,-0.793,-19.451,21.28
-0.29,0.894,0.172,0.854,-24.268,17.805
-0.32,0.845,0.133,-1.89,-25.0,15.793
-0.349,0.851,0.057,-9.085,-24.939,12.195
-0.437,0.898,-0.061,-11.89,-24.39,3.902
-0.546,0.852,-0.193,-13.171,-15.671,-5.427
-0.478,0.783,-0.249,-17.195,2.195,-10.488
-0.324,0.753,-0.237,-20.793,19.329,-15.061
-0.298,0.702,-0.217,-19.634,30.854,-19.268
-0.347,0.601,-0.191,-17.073,43.963,-21.463
-0.342,0.532,-0.163,-11.768,57.012,-23.232
-0.39,0.474,-0.132,-3.354,66.159,-23.415
-0.484,0.431,-0.121,2.317,72.866,-24.817
-0.585,0.451,-0.139,4.024,73.659,-29.573
-0.724,0.495,-0.132,7.866,66.037,-31.585
-0.807,0.503,-0.11,13.659,54.878,-27.805
-0.846,0.517,-0.099,17.988,45.61,-22.317
-0.919,0.598,-0.124,18.476,45.183,-14.024
-0.926,0.697,-0.16,16.098,52.195,-8.11
-0.915,0.764,-0.179,12.988,57.317,-7.256
-0.928,0.734,-0.148,17.073,52.744,-3.354
-0.916,0.639,-0.147,22.317,33.415,0.305
-0.991,0.64,-0.154,21.768,4.329,1.707
-1.059,0.745,-0.167,23.354,-22.866,3.841
-1.03,0.801,-0.178,29.39,-40.732,8.171
-0.967,0.839,-0.151,29.817,-49.146,13.354
-0.903,0.943,-0.114,29.329,-52.073,19.939
-0.85,1.021,-0.088,27.805,-50.122,27.744
-0.777,1.08,-0.096,20.0,-46.829,34.207
