acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.284,0.693,0.43,-48.598,33.293,20.732
-0.261,0.695,0.411,-42.622,32.317,17.744
-0.235,0.739,0.384,-38.354,36.707,16.707
-0.224,0.788,0.365,-35.122,43.78,15.061
-0.234,0.805,0.352,-32.927,50.549,11.829
-0.238,0.798,0.326,-30.305,54.146,8.902
-0.253,0.795,0.339,-26.707,54.634,7.439
-0.24,0.781,0.393,-23.415,52.866,5.122
-0.229,0.74,0.434,-18.537,48.476,2.134
-0.274,0.687,0.462,-12.012,40.976,-0.732
-0.356,0.639,0.479,-5.244,27.134,-2.683
-0.395,0.613,0.457,0.976,11.707,-2.866
-0.397,0.622,0.399,6.037,1.341,-0.915
-0.398,0.677,0.345,7.866,-5.732,1.768
-0.398,0.748,0.282,8.171,-10.305,5.0
-0.386,0.818,0.256,7.561,-11.707,7.744
-0.378,0.862,0.256,5.122,-13.78,10.061
-0.37,0.875,0.246,2.866,-17.683,11.768
-0.396,0.878,0.249,-0.549,-25.0,13.232
-0.382,0.867,0.22,-3.476,-36.463,14.939
-0.297,0.856,0.162,-6.524,-48.293,15.183
-0.182,0.857,0.124,-9.207,-60.366,13.902
-0.122,0.842,0.156,-10.915,-69.207,12.073
-0.101,0.792,0.193,-11.463,-71.951,10.854
-0.132,0.758,0.197,-10.427,-69.634,12.5
-0.184,0.761,0.207,-8.232,-62.256,17.927
-0.194,0.778,0.229,-5.549,-49.207,23.659
-0.144,0.796,0.271,-2.012,-31.646,25.854
-0.048,0.798,0.304,1.098,-13.72,24.085
0.03,0.785,0.305,2.988,-1.768,21.646
0.101,0.788,0.291,3.841,3.902,17.378
0.171,0.807,0.323,4.329,7.012,10.793
0.22,0.831,0.366,5.366,10.244,2.683
0.206,0.859,0.379,7.5,16.28,-4.695
0.164,0.885,0.391,10.0,24.634,-11.646
0.124,0.896,0.425,12.927,35.427,-17.378
0.069,0.9,0.489,15.976,46.037,-21.463
-0.009,0.911,0.552,19.024,52.561,-24.878
-0.099,0.919,0.592,22.134,53.841,-27.744
-0.171,0.931,0.606,25.671,50.915,-30.427
-0.202,0.952,0.589,27.5,47.927,-32.927
-0.203,0.992,0.541,27.927,48.293,-34.451
-0.22,1.047,0.492,27.012,51.463,-35.366
-0.258,1.082,0.453,24.268,55.061,-36.037
-0.298,1.097,0.389,20.183,58.72,-35.122
-0.377,1.116,0.295,15.549,61.585,-31.585
-0.49,1.124,0.245,10.671,60.976,-26.585
-0.569,1.085,0.261,6.402,56.098,-21.22
-0.629,1.011,0.269,2.988,49.329,-14.329
-0.677,0.936,0.248,0.183,36.28,-7.988
-0.66,0.866,0.251,-1.585,15.244,-3.902
-0.58,0.775,0.294,-1.463,-7.134,-1.646
-0.503,0.707,0.325,0.122,-27.134,-0.122
-0.468,0.695,0.346,2.134,-43.963,3.72
-0.457,0.747,0.331,2.866,-55.793,9.634
-0.49,0.85,0.317,2.012,-61.524,16.402
-0.506,0.94,0.273,2.5,-60.366,22.073
-0.465,1.0,0.254,2.439,-51.89,27.256
-0.406,1.024,0.223,1.463,-41.159,32.744
-0.341,1.025,0.179,0.427,-31.524,38.841
-0.277,1.004,0.137,-2.683,-26.037,42.256
-0.21,0.95,0.084,-8.293,-29.207,41.22
-0.128,0.869,0.049,-14.146,-39.329,35.366
-0.021,0.776,0.035,-19.756,-53.293,25.305
0.08,0.684,0.038,-22.744,-64.207,16.037
0.121,0.626,0.062,-24.146,-63.598,12.744
0.107,0.622,0.09,-23.354,-51.402,15.61
0.082,0.67,0.128,-20.244,-29.329,20.305
0.067,0.735,0.186,-16.341,-2.195,21.829
0.063,0.782,0.217,-12.195,24.024,20.671
0.059,0.813,0.253,-8.537,42.195,16.951
0.086,0.829,0.293,-5.854,52.195,12.012
0.138,0.854,0.319,-4.695,58.11,3.659
0.18,0.882,0.375,-2.927,60.0,-6.402
0.143,0.896,0.487,-0.61,60.183,-15.915
0.034,0.912,0.614,3.902,57.317,-23.78
-0.095,0.939,0.741,8.902,51.463,-29.756
-0.226,0.967,0.792,13.841,45.061,-34.024
-0.316,1.011,0.766,18.354,35.915,-36.524
-0.323,1.08,0.685,21.037,28.902,-36.159
-0.321,1.146,0.59,21.646,28.232,-35.183
-0.373,1.176,0.502,18.659,29.39,-34.695
-0.477,1.167,0.425,14.451,29.695,-31.646
-0.607,1.121,0.335,9.878,26.951,-27.012
-0.703,1.064,0.259,4.329,18.415,-21.159
-0.736,0.975,0.196,-0.854,6.22,-14.634
-0.744,0.855,0.163,-4.939,-8.841,-8.659
-0.744,0.745,0.174,-8.78,-27.256,-1.89
-0.69,0.678,0.182,-11.524,-48.963,5.244
-0.565,0.68,0.195,-11.768,-66.646,12.683
-0.458,0.755,0.205,-10.793,-75.061,21.22
-0.4,0.872,0.218,-9.878,-75.061,30.0
-0.353,0.956,0.235,-9.451,-68.537,35.305
-0.326,0.979,0.235,-10.0,-59.085,38.902
-0.34,0.95,0.2,-11.646,-52.073,43.11
-0.338,0.91,0.176,-13.293,-50.61,47.683
-0.248,0.87,0.167,-15.549,-51.402,49.207
-0.084,0.838,0.134,-18.171,-52.439,46.524
0.082,0.807,0.12,-21.585,-53.963,40.61
0.179,0.761,0.132,-24.695,-54.756,33.659
0.192,0.71,0.158,-26.768,-55.976,27.195
0.144,0.679,0.205,-27.012,-56.829,21.829
0.095,0.675,0.261,-25.854,-55.915,17.378
0.075,0.705,0.301,-24.146,-53.902,12.683
0.06,0.75,0.302,-21.89,-50.732,6.768
0.024,0.78,0.344,-20.427,-47.134,-0.305
-0.034,0.781,0.408,-19.207,-42.744,-7.317
-0.125,0.753,0.476,-17.5,-41.89,-14.085
-0.216,0.699,0.541,-14.756,-45.854,-19.939
-0.287,0.646,0.568,-10.488,-52.5,-23.78
-0.311,0.629,0.575,-4.939,-62.622,-25.671
-0.3,0.653,0.579,1.159,-76.28,-25.488
-0.268,0.708,0.581,6.524,-93.11,-26.463
-0.225,0.751,0.597,9.024,-109.024,-31.463
