acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.172,0.597,0.463,-82.5,77.805,35.427
-0.184,0.6,0.477,-74.268,74.878,30.122
-0.223,0.606,0.483,-67.012,70.488,26.098
-0.249,0.624,0.487,-60.305,63.72,24.207
-0.243,0.643,0.482,-54.268,56.037,22.866
-0.219,0.671,0.485,-48.476,50.244,20.854
-0.213,0.7,0.497,-43.841,45.915,16.463
-0.226,0.71,0.515,-39.756,40.244,10.915
-0.249,0.703,0.527,-34.878,33.232,7.256
-0.261,0.703,0.538,-29.817,25.671,5.488
-0.249,0.722,0.544,-24.573,20.488,4.085
-0.25,0.743,0.552,-19.878,19.024,1.768
-0.255,0.748,0.559,-16.524,18.049,-0.366
-0.28,0.744,0.547,-12.683,14.146,-1.159
-0.309,0.744,0.549,-9.207,7.378,-1.646
-0.313,0.729,0.538,-5.854,-1.585,-3.537
-0.323,0.702,0.533,-3.232,-12.378,-5.061
-0.36,0.671,0.521,-0.732,-25.0,-5.549
-0.4,0.658,0.482,0.854,-39.268,-3.78
-0.397,0.688,0.432,2.195,-52.744,0.244
-0.316,0.77,0.376,2.988,-61.585,4.878
-0.244,0.857,0.342,1.707,-65.122,9.634
-0.219,0.922,0.341,-1.037,-68.537,13.049
-0.197,0.942,0.329,-4.146,-74.39,13.963
-0.184,0.92,0.308,-7.317,-81.28,13.476
-0.188,0.877,0.283,-10.732,-87.866,14.024
-0.17,0.835,0.251,-14.146,-93.171,15.549
-0.117,0.805,0.213,-15.976,-94.451,17.073
-0.051,0.788,0.192,-17.744,-89.146,17.927
0.01,0.759,0.192,-18.902,-81.402,16.707
0.049,0.726,0.193,-20.427,-73.293,14.878
0.081,0.694,0.197,-21.159,-65.793,13.537
0.112,0.676,0.213,-21.22,-59.573,12.378
0.144,0.669,0.229,-20.732,-53.476,11.037
0.148,0.681,0.252,-19.817,-43.902,10.0
0.137,0.708,0.318,-19.756,-31.28,8.171
0.118,0.723,0.394,-18.232,-18.598,6.707
0.095,0.735,0.452,-15.305,-9.512,4.573
0.092,0.749,0.495,-10.854,-3.049,2.256
0.1,0.774,0.536,-6.22,4.817,1.098
0.137,0.798,0.568,-1.037,15.793,0.549
0.196,0.814,0.595,5.427,26.951,-2.012
0.238,0.838,0.634,11.402,37.5,-6.707
0.237,0.841,0.681,16.402,49.024,-12.378
0.174,0.836,0.733,20.549,58.659,-16.524
0.079,0.833,0.765,25.122,63.72,-19.146
0.005,0.86,0.769,29.512,65.549,-21.646
-0.033,0.896,0.74,33.11,66.646,-25.244
-0.036,0.935,0.68,35.976,69.085,-28.11
-0.014,0.968,0.639,38.049,74.512,-28.841
0.008,0.989,0.604,38.659,81.28,-31.098
0.001,1.002,0.558,37.683,85.61,-33.354
-0.039,1.004,0.512,34.512,86.89,-34.817
-0.125,0.995,0.469,30.732,83.598,-34.756
-0.231,0.993,0.45,26.585,77.134,-34.024
-0.287,0.977,0.458,24.268,70.732,-32.073
-0.329,0.966,0.462,23.232,66.037,-27.866
-0.396,0.946,0.441,22.561,63.415,-21.829
-0.453,0.931,0.418,20.976,60.0,-15.488
-0.494,0.915,0.414,19.024,53.415,-8.598
-0.512,0.883,0.403,17.256,42.378,-3.232
-0.526,0.857,0.397,16.22,29.085,1.463
-0.501,0.842,0.397,14.695,15.488,5.244
-0.457,0.823,0.384,13.537,1.768,8.415
-0.434,0.814,0.38,12.5,-10.427,11.463
-0.407,0.823,0.385,10.61,-20.61,15.915
-0.378,0.856,0.366,9.329,-30.732,20.183
-0.346,0.906,0.338,8.232,-39.512,23.354
-0.323,0.954,0.321,6.28,-44.695,26.402
-0.325,0.981,0.31,4.573,-46.463,30.122
-0.355,0.995,0.303,2.134,-43.476,36.28
-0.396,1.018,0.289,-0.366,-41.402,42.744
-0.345,1.015,0.258,-2.866,-43.659,45.61
-0.265,0.974,0.214,-7.012,-45.122,44.512
-0.221,0.889,0.154,-12.012,-49.024,44.512
-0.188,0.821,0.103,-18.293,-57.439,44.085
-0.121,0.761,0.076,-24.634,-66.768,40.366
-0.049,0.707,0.063,-29.085,-75.305,35.488
0.013,0.669,0.079,-32.195,-83.598,30.854
0.071,0.636,0.113,-34.695,-89.756,27.744
0.106,0.618,0.129,-35.122,-89.695,26.951
0.12,0.632,0.171,-34.695,-86.098,26.402
0.141,0.663,0.192,-34.878,-77.744,23.78
0.154,0.691,0.19,-33.537,-65.122,20.061
0.196,0.72,0.248,-31.22,-52.561,16.402
0.248,0.74,0.315,-28.232,-36.524,13.293
0.254,0.751,0.357,-23.841,-17.195,10.122
0.223,0.772,0.411,-19.085,-0.61,7.683
0.205,0.798,0.47,-14.573,12.622,5.183
0.225,0.818,0.497,-9.878,24.573,0.244
0.253,0.842,0.52,-6.768,37.134,-5.549
0.245,0.869,0.566,-4.329,49.085,-11.159
0.191,0.889,0.639,-0.366,57.012,-14.817
0.141,0.9,0.748,5.366,60.549,-17.683
0.118,0.904,0.824,12.927,62.378,-21.402
0.113,0.904,0.828,21.402,63.72,-26.098
0.106,0.945,0.789,27.561,62.927,-31.28
0.081,0.991,0.743,31.463,60.915,-35.732
0.057,1.016,0.691,32.927,58.537,-40.366
0.022,1.032,0.647,32.683,56.098,-44.573
-0.018,1.04,0.616,30.915,54.39,-48.537
-0.072,1.028,0.549,27.5,53.049,-52.134
-0.154,1.029,0.474,23.293,53.476,-52.439
-0.249,1.048,0.431,17.439,55.915,-48.537
-0.351,1.056,0.409,11.951,57.378,-42.317
-0.442,1.027,0.406,8.476,55.671,-36.22
-0.539,0.966,0.402,6.707,51.037,-29.451
-0.627,0.877,0.384,5.366,41.524,-21.89
-0.671,0.799,0.385,3.049,25.732,-15.915
-0.654,0.708,0.395,1.768,4.329,-10.732
-0.591,0.622,0.368,1.585,-18.293,-5.793
-0.543,0.63,0.315,1.89,-43.78,2.073
