acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.159,0.754,0.432,-48.537,64.268,40.183
-0.165,0.769,0.436,-45.0,62.683,39.695
-0.152,0.788,0.423,-41.22,64.085,40.061
-0.146,0.808,0.421,-36.524,67.073,38.963
-0.139,0.838,0.424,-32.927,72.134,38.354
-0.141,0.841,0.43,-29.39,76.585,37.134
-0.144,0.833,0.425,-25.854,76.768,35.732
-0.138,0.839,0.422,-23.963,74.146,33.78
-0.122,0.842,0.44,-23.049,71.585,31.707
-0.117,0.82,0.456,-20.793,67.622,27.927
-0.134,0.811,0.463,-18.476,60.305,24.207
-0.145,0.827,0.464,-17.683,50.244,20.183
-0.152,0.835,0.467,-17.622,40.488,15.671
-0.152,0.826,0.473,-17.073,32.683,10.122
-0.154,0.814,0.481,-14.512,28.659,6.89
-0.153,0.824,0.495,-12.439,27.012,5.305
-0.163,0.819,0.489,-10.0,26.707,3.537
-0.19,0.793,0.484,-6.89,25.732,2.744
-0.225,0.76,0.491,-3.72,22.622,2.622
-0.262,0.729,0.507,-0.915,18.354,2.195
-0.301,0.696,0.512,2.866,11.951,2.622
-0.313,0.666,0.507,7.744,3.11,4.695
-0.298,0.693,0.491,10.793,-7.317,7.195
-0.259,0.743,0.461,13.049,-17.256,10.793
-0.203,0.817,0.421,13.11,-25.244,13.11
-0.146,0.892,0.396,12.744,-33.171,14.695
-0.124,0.975,0.365,11.707,-38.963,15.488
-0.136,1.003,0.343,11.463,-41.524,15.549
-0.141,1.006,0.301,10.732,-43.78,15.305
-0.141,0.998,0.247,8.78,-47.683,14.817
-0.131,0.981,0.199,5.0,-53.841,12.866
-0.115,0.935,0.129,0.122,-60.671,10.183
-0.101,0.863,0.075,-5.0,-66.829,7.927
-0.081,0.803,0.057,-10.122,-70.671,7.5
-0.051,0.761,0.066,-14.939,-71.951,6.646
-0.019,0.712,0.076,-17.805,-71.89,4.329
0.0,0.684,0.085,-19.817,-71.098,3.171
-0.005,0.676,0.105,-21.22,-69.085,4.39
0.001,0.678,0.122,-22.195,-66.89,6.463
0.006,0.694,0.129,-23.232,-64.939,7.622
0.001,0.727,0.137,-24.939,-62.439,8.171
0.014,0.77,0.172,-26.829,-59.634,9.085
0.034,0.818,0.225,-29.207,-52.134,10.915
0.048,0.835,0.305,-30.732,-40.244,11.829
0.067,0.843,0.38,-30.427,-29.939,9.451
0.08,0.855,0.428,-30.122,-20.0,6.829
0.116,0.845,0.468,-28.537,-9.634,4.634
0.151,0.839,0.486,-25.732,-0.122,2.134
0.193,0.855,0.511,-22.012,8.232,-1.341
0.257,0.874,0.563,-16.89,19.024,-4.756
0.294,0.877,0.654,-8.963,34.573,-7.5
0.284,0.867,0.773,0.61,51.768,-10.793
0.215,0.857,0.837,9.695,67.5,-15.0
0.102,0.846,0.811,18.049,77.622,-20.183
0.02,0.849,0.727,26.28,79.817,-23.659
-0.004,0.905,0.677,32.683,76.463,-24.878
0.021,0.963,0.673,36.22,74.39,-29.207
0.067,0.97,0.643,40.61,79.268,-34.939
0.061,0.967,0.573,43.049,88.476,-39.573
0.022,0.969,0.503,42.195,95.366,-41.341
-0.058,0.991,0.443,38.476,98.171,-40.854
-0.156,0.999,0.399,35.244,97.866,-39.085
-0.279,0.991,0.361,31.768,98.049,-35.305
-0.388,0.971,0.32,28.049,97.256,-30.793
-0.446,0.946,0.303,25.427,92.5,-24.573
-0.47,0.934,0.314,22.012,84.329,-19.39
-0.474,0.903,0.309,17.683,72.378,-15.122
-0.486,0.885,0.301,13.049,56.037,-10.732
-0.491,0.874,0.333,8.476,35.488,-6.28
-0.474,0.874,0.363,4.817,14.024,-2.439
-0.456,0.884,0.379,2.561,-6.707,0.732
-0.416,0.911,0.363,0.915,-25.732,3.171
-0.373,0.937,0.34,0.0,-40.244,6.28
-0.343,0.963,0.33,-0.427,-50.0,10.122
-0.326,0.976,0.321,-0.549,-55.305,14.817
-0.307,0.973,0.316,0.061,-57.683,19.268
-0.306,0.973,0.323,-0.244,-57.5,23.902
-0.308,0.965,0.326,-1.037,-56.402,28.232
-0.305,0.941,0.304,-1.524,-56.463,31.89
-0.283,0.922,0.255,-2.378,-54.878,36.28
-0.255,0.918,0.174,-5.793,-47.683,43.659
-0.237,0.958,0.087,-12.622,-44.024,46.89
-0.144,0.917,0.082,-17.256,-46.28,43.659
-0.059,0.862,0.05,-25.061,-47.317,36.098
-0.014,0.79,0.042,-33.415,-57.744,30.366
0.013,0.728,0.067,-39.634,-71.463,28.11
0.073,0.68,0.096,-44.878,-79.146,24.939
0.126,0.684,0.107,-48.78,-81.28,22.683
0.162,0.694,0.122,-51.098,-74.451,22.561
0.181,0.714,0.178,-51.707,-59.634,22.439
0.24,0.736,0.275,-50.915,-44.207,20.183
0.26,0.738,0.338,-48.72,-26.463,16.646
0.211,0.718,0.388,-44.268,-10.366,13.049
0.169,0.706,0.485,-39.024,-1.28,10.915
0.173,0.706,0.572,-32.317,4.268,9.268
0.182,0.708,0.606,-24.085,12.988,7.073
0.179,0.743,0.597,-16.89,25.305,3.72
0.155,0.805,0.614,-10.732,37.134,0.122
0.146,0.831,0.642,-3.537,47.378,-2.256
0.16,0.853,0.667,2.683,56.341,-5.183
0.18,0.867,0.684,9.207,62.805,-8.841
0.194,0.87,0.701,15.427,67.439,-13.293
0.166,0.884,0.703,19.268,67.927,-19.329
0.084,0.912,0.694,21.159,63.598,-24.878
-0.005,0.942,0.674,22.5,55.427,-28.415
-0.073,0.98,0.66,22.927,47.439,-30.793
-0.112,1.021,0.645,22.561,41.829,-33.171
-0.134,1.055,0.599,20.915,39.817,-34.573
-0.163,1.072,0.544,18.659,40.854,-35.0
-0.216,1.083,0.512,16.22,43.72,-32.439
-0.303,1.083,0.484,12.622,47.134,-27.5
-0.381,1.056,0.471,9.451,47.744,-21.159
-0.44,1.015,0.47,6.89,42.988,-16.098
-0.462,0.953,0.443,5.61,32.866,-12.5
-0.486,0.877,0.422,4.634,17.561,-10.305
-0.492,0.796,0.429,2.744,-1.707,-8.598
-0.473,0.715,0.443,2.927,-23.841,-7.866
-0.44,0.63,0.424,4.817,-43.171,-5.671
-0.412,0.646,0.364,6.585,-59.085,2.256
-0.378,0.724,0.314,8.354,-70.793,14.573
-0.323,0.888,0.298,6.524,-75.0,25.61
-0.289,1.014,0.31,3.902,-70.0,33.598
-0.261,1.048,0.324,3.476,-59.39,36.402
-0.252,1.019,0.297,5.061,-48.902,38.171
-0.28,0.997,0.247,2.988,-43.537,41.28
-0.277,0.959,0.208,-1.28,-46.159,45.793
-0.224,0.9,0.178,-7.195,-49.329,49.634
-0.128,0.833,0.148,-12.988,-50.427,48.659
-0.049,0.784,0.123,-20.183,-53.354,43.415
0.017,0.705,0.114,-24.817,-60.671,37.195
0.08,0.656,0.111,-29.146,-71.037,30.366
0.138,0.628,0.12,-32.256,-82.256,25.244
0.186,0.581,0.137,-32.073,-87.866,22.622
0.208,0.59,0.158,-30.122,-87.317,21.768
0.248,0.632,0.211,-28.354,-79.268,19.451
0.293,0.662,0.283,-27.256,-61.89,15.976
0.258,0.666,0.355,-24.817,-40.732,11.341
0.146,0.659,0.429,-21.402,-25.122,8.232
0.057,0.655,0.495,-18.537,-19.939,4.695
-0.01,0.647,0.533,-15.61,-23.476,0.854
-0.06,0.649,0.581,-12.378,-33.354,-3.598
-0.067,0.658,0.627,-8.963,-48.598,-9.39
-0.05,0.679,0.642,-4.451,-67.134,-14.695
-0.033,0.721,0.651,0.488,-85.183,-17.927
-0.009,0.788,0.669,3.11,-104.695,-20.549
0.02,0.827,0.695,5.122,-126.342,-23.476
0.037,0.825,0.719,8.415,-146.951,-27.256
0.087,0.818,0.685,14.634,-167.012,-31.89
0.138,0.833,0.636,23.598,-187.195,-33.659
0.139,0.888,0.606,29.085,-206.281,-34.085
0.153,0.944,0.578,29.512,-219.512,-37.561
0.176,0.954,0.556,30.488,-227.622,-44.817
0.181,0.939,0.539,32.378,-237.927,-53.476
0.174,0.932,0.506,31.829,-249.39,-61.098
0.192,0.931,0.444,31.89,-257.073,-63.659
0.235,0.937,0.401,31.829,-258.537,-63.537
0.238,0.948,0.377,30.427,-256.646,-66.159
0.213,0.95,0.374,27.195,-254.634,-69.207
0.22,0.954,0.379,21.707,-251.22,-72.927
0.225,0.924,0.388,16.646,-247.134,-77.683
0.225,0.885,0.394,11.098,-242.256,-82.073
0.241,0.85,0.389,4.878,-233.72,-86.098
0.281,0.816,0.356,2.439,-220.0,-85.793
