acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.285,0.654,0.093,-28.537,102.805,-9.329
-0.303,0.688,0.084,-27.5,98.293,-12.195
-0.355,0.706,0.06,-28.963,87.988,-16.951
-0.422,0.731,0.022,-31.89,70.183,-21.951
-0.498,0.751,0.031,-35.183,52.683,-24.207
-0.569,0.773,0.032,-37.378,39.085,-25.244
-0.599,0.803,0.051,-33.476,31.585,-21.89
-0.617,0.792,0.104,-25.61,31.829,-15.976
-0.654,0.777,0.178,-14.695,31.159,-11.037
-0.694,0.767,0.277,-2.744,19.939,-6.89
-0.758,0.766,0.393,7.622,-8.598,-4.146
-0.831,0.775,0.451,17.317,-53.049,-2.927
-0.883,0.773,0.474,18.72,-85.61,2.134
-0.825,0.825,0.453,17.561,-87.378,7.378
-0.636,0.875,0.352,22.805,-71.098,11.768
-0.511,0.865,0.206,26.89,-58.293,13.171
-0.516,0.909,0.076,23.354,-50.183,15.854
-0.525,0.99,-0.015,13.902,-42.012,19.634
-0.498,1.054,-0.052,5.244,-35.244,21.28
-0.464,1.059,0.001,0.915,-36.524,20.793
-0.477,1.037,0.086,-3.476,-45.793,19.268
-0.472,1.043,0.158,-7.561,-57.744,15.122
-0.401,1.062,0.236,-8.841,-62.134,13.659
-0.286,1.063,0.313,-9.634,-54.756,12.317
-0.152,1.081,0.375,-8.476,-45.427,8.049
-0.081,1.09,0.428,-7.012,-40.488,2.744
-0.074,1.088,0.46,-5.61,-37.439,-0.427
-0.102,1.063,0.443,-4.085,-34.634,-3.476
-0.138,1.028,0.402,-1.402,-31.402,-6.463
-0.136,0.988,0.386,0.976,-23.354,-5.976
-0.143,0.953,0.34,1.463,-10.488,-4.878
-0.186,0.92,0.257,0.732,5.061,-2.195
-0.193,0.901,0.211,-1.829,21.341,-1.159
-0.182,0.89,0.13,-2.561,32.744,-0.488
-0.196,0.845,0.098,-4.451,41.768,-0.671
-0.191,0.813,0.057,-5.915,45.061,-4.817
-0.188,0.784,0.027,-8.049,44.39,-6.89
-0.187,0.75,0.042,-12.195,44.39,-8.354
-0.183,0.736,0.075,-11.951,46.89,-9.756
-0.205,0.68,0.083,-9.756,53.293,-10.305
-0.247,0.646,0.05,-8.232,57.012,-11.768
-0.298,0.641,0.012,-6.829,54.878,-13.659
-0.334,0.634,-0.008,-5.732,52.378,-14.878
-0.372,0.628,-0.029,-4.573,48.72,-16.951
-0.393,0.622,-0.021,-3.963,42.134,-19.573
-0.434,0.632,0.005,-5.183,31.341,-22.439
-0.508,0.658,0.037,-4.024,22.622,-20.671
-0.533,0.688,0.045,-3.78,25.915,-15.61
-0.586,0.757,0.063,1.22,23.78,-12.439
-0.684,0.791,0.172,6.951,19.207,-5.61
-0.764,0.816,0.268,12.622,11.037,0.549
-0.777,0.854,0.343,19.878,-0.488,7.439
-0.777,0.885,0.347,22.439,-14.085,15.122
-0.837,0.937,0.349,19.573,-38.598,20.244
-0.904,0.999,0.263,12.317,-68.537,22.378
-0.916,1.068,0.107,4.39,-88.659,27.012
-0.751,1.123,0.075,-1.037,-88.902,30.976
-0.597,1.103,0.105,-1.098,-80.305,31.402
-0.479,1.048,0.128,0.244,-70.61,30.61
-0.354,1.027,0.133,1.89,-62.561,29.451
-0.285,1.016,0.199,1.402,-56.768,23.963
-0.248,1.018,0.241,0.183,-48.72,17.5
-0.13,1.047,0.271,-1.463,-33.232,15.122
-0.034,1.068,0.298,-2.195,-17.866,10.244
-0.045,1.076,0.351,-1.28,-9.573,4.512
-0.052,1.069,0.382,0.366,-3.232,1.768
-0.048,1.05,0.38,3.78,5.366,1.402
-0.103,1.023,0.377,5.976,15.732,1.037
-0.167,1.008,0.365,5.488,28.11,1.402
-0.198,0.991,0.336,4.878,42.378,2.012
-0.201,0.95,0.27,5.061,55.671,2.561
-0.22,0.911,0.188,2.073,66.463,2.988
-0.24,0.907,0.124,0.244,72.439,3.659
-0.229,0.875,0.105,-6.098,76.28,1.768
-0.227,0.864,0.052,-7.988,66.341,-4.024
-0.24,0.804,0.02,-11.159,54.085,-6.402
-0.206,0.793,-0.004,-14.817,48.354,-7.317
-0.184,0.788,-0.012,-17.134,45.854,-9.939
-0.193,0.74,-0.012,-17.378,41.707,-13.963
-0.213,0.688,-0.03,-20.427,37.927,-17.317
-0.265,0.692,-0.064,-25.305,32.5,-21.098
