acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.219,0.556,0.518,21.22,81.768,-0.122
-0.302,0.582,0.405,22.378,73.171,-1.89
-0.348,0.646,0.27,19.573,65.0,-2.744
-0.39,0.704,0.171,14.939,61.22,-2.378
-0.383,0.74,0.124,10.366,62.439,-2.378
-0.361,0.765,0.102,7.439,65.793,-1.646
-0.38,0.782,0.118,5.305,68.171,-0.122
-0.447,0.808,0.159,6.646,59.634,0.61
-0.527,0.832,0.255,8.171,38.963,1.037
-0.625,0.873,0.378,8.537,10.488,3.11
-0.712,0.901,0.484,8.232,-20.549,5.427
-0.717,0.915,0.56,7.439,-44.634,9.207
-0.654,0.935,0.568,8.232,-60.549,13.72
-0.561,0.966,0.515,9.085,-68.537,19.329
-0.51,1.008,0.459,8.171,-73.415,22.927
-0.479,1.065,0.429,5.793,-73.049,26.402
-0.436,1.102,0.433,2.256,-65.671,27.378
-0.328,1.112,0.429,1.159,-57.866,23.72
-0.209,1.088,0.444,0.488,-51.829,20.183
-0.126,1.065,0.484,-1.829,-43.354,17.378
-0.071,1.044,0.533,-2.439,-34.024,10.427
-0.026,1.009,0.562,-0.671,-25.061,3.659
0.0,0.972,0.581,0.122,-14.512,-0.61
0.006,0.96,0.566,3.476,-4.634,-4.634
0.005,0.934,0.553,6.159,10.793,-5.488
-0.021,0.906,0.499,8.476,27.378,-7.317
-0.052,0.878,0.438,8.963,42.744,-8.171
-0.074,0.862,0.38,8.415,57.561,-8.72
-0.088,0.84,0.326,9.451,67.256,-11.829
-0.101,0.791,0.307,9.573,71.098,-14.817
-0.125,0.756,0.279,8.598,74.878,-16.159
-0.158,0.713,0.193,9.817,79.085,-18.476
-0.143,0.663,0.174,10.61,82.683,-22.012
-0.125,0.644,0.185,10.732,85.61,-22.683
-0.167,0.625,0.185,10.183,88.659,-21.707
-0.208,0.613,0.168,10.244,90.854,-20.244
-0.267,0.618,0.127,10.671,88.476,-19.573
-0.329,0.646,0.093,9.878,79.39,-19.817
-0.399,0.686,0.078,6.829,66.28,-18.841
-0.454,0.738,0.061,2.805,55.244,-18.415
-0.47,0.774,0.08,-1.22,46.22,-18.476
-0.47,0.789,0.099,-4.695,36.768,-19.207
-0.464,0.799,0.108,-7.5,26.098,-20.793
-0.434,0.812,0.134,-9.756,24.695,-17.683
-0.404,0.846,0.158,-11.402,30.793,-17.5
-0.467,0.884,0.171,-9.207,29.939,-15.915
-0.567,0.883,0.238,-7.439,27.866,-11.341
-0.599,0.908,0.303,-4.451,21.829,-7.927
-0.63,0.913,0.364,1.829,13.11,-1.22
-0.67,0.916,0.386,4.756,7.683,7.195
-0.655,0.951,0.431,8.232,-0.61,13.902
-0.646,0.932,0.427,12.561,-13.415,16.707
-0.641,0.922,0.383,12.317,-28.841,23.049
-0.651,0.952,0.358,8.11,-44.207,29.573
-0.661,0.981,0.314,5.122,-61.646,29.024
-0.641,0.994,0.27,3.902,-81.28,25.488
-0.54,1.002,0.25,2.195,-92.927,25.0
-0.424,0.997,0.313,1.707,-90.854,23.598
-0.306,0.983,0.378,4.085,-79.024,19.329
-0.188,0.965,0.429,6.22,-62.317,18.902
-0.137,0.959,0.481,6.22,-48.354,17.256
-0.181,0.988,0.469,6.463,-43.963,12.805
-0.196,1.022,0.433,4.939,-40.488,10.183
-0.178,1.037,0.411,4.451,-34.024,8.78
-0.152,1.01,0.411,1.89,-22.378,6.89
-0.142,0.995,0.364,-0.61,-10.793,4.39
-0.132,0.969,0.322,-2.866,-2.012,2.073
-0.152,0.938,0.283,-4.268,3.78,-0.305
-0.163,0.902,0.283,-4.451,10.244,-3.049
-0.144,0.849,0.302,-2.256,18.476,-5.915
-0.14,0.784,0.322,0.976,25.854,-9.329
-0.139,0.736,0.319,3.232,33.415,-12.012
-0.133,0.708,0.297,4.451,45.0,-12.805
-0.127,0.683,0.257,6.037,55.427,-16.037
-0.12,0.668,0.208,6.159,63.598,-18.232
-0.145,0.67,0.165,3.293,67.988,-21.037
-0.17,0.688,0.115,1.402,69.085,-24.268
-0.202,0.688,0.068,-1.402,69.024,-27.378
-0.243,0.711,0.03,-5.122,65.915,-30.854
-0.294,0.744,0.005,-8.232,59.39,-34.024
-0.295,0.775,0.002,-11.585,56.098,-36.524
-0.311,0.792,0.037,-11.768,52.683,-36.89
-0.406,0.761,0.104,-10.244,49.207,-34.817
-0.479,0.735,0.153,-8.293,50.671,-30.244
-0.543,0.746,0.176,-5.488,50.732,-25.122
-0.629,0.771,0.203,-5.793,46.829,-19.085
-0.729,0.805,0.206,-2.805,38.232,-11.951
-0.773,0.832,0.202,-2.256,23.476,-6.829
-0.768,0.872,0.243,-2.561,1.768,-1.098
-0.772,0.872,0.268,-0.732,-19.451,3.72
-0.716,0.887,0.291,2.256,-34.329,11.159
-0.629,0.888,0.317,6.707,-43.902,16.829
-0.59,0.884,0.353,9.756,-44.939,22.866
-0.569,0.892,0.369,10.0,-41.463,27.988
-0.545,0.914,0.335,9.268,-42.012,27.439
-0.52,0.947,0.285,8.415,-45.305,25.122
-0.442,0.99,0.269,6.341,-46.098,24.268
-0.352,0.988,0.299,5.488,-42.5,23.598
-0.325,0.961,0.344,4.695,-36.829,20.915
-0.307,0.972,0.369,5.488,-32.439,18.72
-0.279,0.993,0.404,5.976,-28.598,17.683
-0.269,1.005,0.407,6.402,-24.756,15.244
-0.242,1.015,0.419,5.305,-22.439,13.354
-0.256,1.011,0.44,4.756,-23.598,11.22
-0.288,0.997,0.424,4.024,-21.646,10.793
-0.274,0.995,0.427,2.622,-15.915,9.939
-0.257,0.987,0.41,2.256,-8.171,8.598
-0.272,0.959,0.367,1.524,2.439,9.207
-0.266,0.95,0.338,-0.915,15.122,10.366
-0.242,0.937,0.303,-2.683,24.451,9.451
-0.254,0.895,0.251,-4.085,28.78,7.195
-0.258,0.854,0.233,-4.817,28.841,4.756
-0.252,0.828,0.236,-3.232,27.927,2.378
-0.227,0.794,0.25,-0.244,30.122,0.244
