acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.374,0.767,0.319,-52.317,98.659,28.476
-0.423,0.786,0.303,-49.39,88.293,25.122
-0.42,0.81,0.289,-46.89,78.11,22.866
-0.416,0.828,0.283,-45.854,71.768,21.707
-0.412,0.837,0.298,-43.049,66.28,20.427
-0.389,0.826,0.327,-38.171,61.707,19.329
-0.388,0.813,0.333,-33.049,57.561,19.451
-0.391,0.811,0.327,-29.573,55.244,20.427
-0.379,0.824,0.307,-27.317,52.561,19.878
-0.364,0.832,0.293,-25.854,45.305,16.951
-0.391,0.824,0.279,-26.037,33.232,12.805
-0.423,0.824,0.272,-26.524,22.561,10.793
-0.42,0.822,0.275,-28.293,18.476,9.024
-0.393,0.824,0.24,-28.537,19.329,7.927
-0.372,0.806,0.231,-29.207,19.451,4.451
-0.334,0.803,0.242,-32.317,17.988,-0.976
-0.323,0.809,0.262,-34.207,17.378,-5.427
-0.314,0.8,0.266,-35.488,23.171,-7.439
-0.287,0.785,0.204,-34.939,31.524,-9.268
-0.252,0.765,0.177,-30.854,35.305,-12.561
-0.256,0.741,0.208,-26.524,35.671,-14.207
-0.26,0.733,0.239,-23.72,35.427,-15.915
-0.286,0.728,0.276,-18.78,33.293,-17.378
-0.344,0.691,0.314,-12.012,27.622,-17.744
-0.381,0.66,0.337,-5.366,17.256,-16.768
-0.425,0.651,0.347,-0.488,5.671,-13.72
-0.498,0.661,0.306,3.11,-3.963,-10.244
-0.542,0.685,0.247,5.549,-11.829,-6.707
-0.56,0.724,0.185,5.183,-17.622,-2.195
-0.596,0.775,0.133,3.841,-22.805,2.134
-0.629,0.809,0.11,4.085,-26.951,6.707
-0.628,0.818,0.118,4.634,-29.451,10.61
-0.601,0.837,0.134,3.963,-31.829,14.756
-0.586,0.876,0.179,1.89,-32.988,19.085
-0.554,0.908,0.254,1.341,-31.098,22.622
-0.493,0.918,0.312,2.256,-27.073,23.78
-0.452,0.929,0.334,3.902,-25.976,22.683
-0.433,0.951,0.381,5.427,-27.073,22.622
-0.409,0.984,0.396,3.659,-27.744,21.098
-0.353,1.026,0.395,2.683,-33.476,15.671
-0.318,1.036,0.432,2.378,-42.256,11.037
-0.311,1.027,0.471,2.134,-47.134,9.207
-0.286,1.023,0.498,0.793,-48.598,6.707
-0.241,1.019,0.545,0.366,-48.293,3.598
-0.21,0.996,0.551,2.134,-46.707,-0.488
-0.221,0.965,0.5,4.451,-45.366,-2.988
-0.26,0.947,0.466,3.659,-43.11,-2.805
-0.284,0.96,0.448,2.805,-39.085,-2.744
-0.28,0.962,0.401,2.866,-29.634,-2.012
-0.278,0.945,0.321,2.073,-14.939,0.427
-0.253,0.938,0.271,0.122,-0.366,0.976
-0.228,0.942,0.243,-3.415,7.805,-0.122
-0.244,0.924,0.193,-5.671,6.89,-2.073
-0.273,0.9,0.177,-9.451,5.427,-2.195
-0.272,0.894,0.165,-14.512,5.976,-4.39
-0.23,0.878,0.183,-15.732,8.049,-7.622
-0.199,0.822,0.202,-16.28,15.671,-9.207
-0.192,0.771,0.199,-15.183,24.024,-11.89
-0.166,0.727,0.242,-14.207,32.927,-14.695
-0.165,0.696,0.274,-11.524,38.841,-17.561
-0.193,0.668,0.263,-7.378,42.683,-18.476
-0.234,0.639,0.216,-4.695,49.939,-17.317
-0.259,0.639,0.191,-2.256,56.89,-17.622
-0.263,0.647,0.197,1.098,58.659,-18.598
-0.303,0.646,0.2,4.207,52.195,-19.146
