acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.333,0.741,0.427,-53.415,70.732,34.451
-0.302,0.754,0.438,-47.134,68.841,31.341
-0.326,0.762,0.429,-41.463,62.256,29.268
-0.389,0.764,0.426,-37.927,52.988,29.512
-0.415,0.787,0.401,-35.793,47.561,30.488
-0.402,0.814,0.377,-33.659,44.695,31.159
-0.343,0.823,0.382,-31.585,46.28,30.244
-0.347,0.813,0.37,-27.805,44.817,27.927
-0.368,0.797,0.357,-26.463,36.524,26.89
-0.384,0.804,0.34,-27.866,26.402,25.793
-0.399,0.815,0.325,-28.598,16.768,22.073
-0.365,0.797,0.316,-25.061,9.39,17.805
-0.308,0.735,0.338,-18.476,7.195,14.39
-0.264,0.673,0.38,-9.512,12.866,12.012
-0.213,0.62,0.426,-0.427,28.354,9.207
-0.159,0.584,0.411,8.293,46.951,6.28
-0.15,0.55,0.38,13.354,58.963,3.476
-0.202,0.56,0.289,12.256,59.268,-0.061
-0.277,0.617,0.182,6.89,50.488,-3.841
-0.356,0.667,0.098,1.402,39.939,-7.073
-0.416,0.692,0.054,-3.415,29.451,-10.488
-0.435,0.708,0.073,-6.646,16.098,-12.683
-0.473,0.714,0.114,-7.134,-0.732,-13.171
-0.543,0.721,0.197,-6.098,-20.915,-12.927
-0.588,0.75,0.3,-4.695,-41.89,-11.585
-0.623,0.796,0.364,-2.744,-51.585,-8.476
-0.623,0.869,0.395,-0.854,-46.22,-4.451
-0.546,0.956,0.458,3.841,-32.439,1.22
-0.481,0.989,0.534,10.427,-18.902,7.195
-0.466,0.988,0.57,15.244,-17.195,10.976
-0.481,0.997,0.562,15.976,-25.427,17.5
-0.523,1.021,0.497,10.793,-34.207,24.634
-0.538,1.086,0.396,4.634,-41.646,27.988
-0.503,1.147,0.316,-1.098,-42.744,28.293
-0.415,1.163,0.309,-4.878,-32.744,26.951
-0.283,1.133,0.34,-6.159,-17.073,23.659
-0.159,1.079,0.386,-5.976,-5.854,16.646
-0.088,1.017,0.417,-5.915,-4.024,7.256
-0.012,0.973,0.453,-7.622,-1.098,-1.707
0.068,0.946,0.474,-6.524,6.341,-8.476
