acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.414,0.568,0.312,7.5,21.585,-15.549
-0.353,0.599,0.291,-1.28,27.805,-15.183
-0.291,0.655,0.235,-9.756,34.939,-16.159
-0.331,0.675,0.189,-16.89,38.963,-17.012
-0.421,0.699,0.16,-21.768,35.061,-16.951
-0.503,0.699,0.14,-29.512,20.671,-16.951
-0.67,0.686,0.175,-37.988,0.183,-15.671
-0.799,0.685,0.259,-39.573,-23.415,-14.329
-0.785,0.667,0.322,-30.061,-52.744,-11.22
-0.817,0.605,0.388,-18.841,-73.11,-4.878
-0.865,0.513,0.529,-10.549,-74.207,0.366
-0.816,0.516,0.687,-3.78,-59.451,2.683
-0.742,0.509,0.81,-2.012,-41.28,4.39
-0.707,0.505,0.832,-0.915,-25.305,6.829
-0.7,0.531,0.779,3.72,-15.915,8.354
-0.696,0.551,0.683,10.183,-16.037,9.573
-0.698,0.564,0.594,18.049,-26.89,8.415
-0.703,0.617,0.542,27.317,-38.963,9.146
-0.689,0.659,0.485,34.878,-49.817,10.671
-0.647,0.681,0.429,39.329,-60.061,12.317
-0.658,0.748,0.36,40.0,-64.756,16.463
-0.663,0.808,0.299,39.329,-61.646,21.768
-0.617,0.836,0.3,38.171,-51.951,27.195
-0.577,0.857,0.332,35.732,-38.902,31.768
-0.503,0.877,0.366,31.646,-26.098,34.512
-0.476,0.892,0.36,23.476,-14.878,33.415
-0.443,0.908,0.32,12.195,-8.11,28.354
-0.35,0.921,0.225,-0.305,-3.293,20.854
-0.248,0.91,0.179,-12.805,1.646,10.61
-0.168,0.885,0.169,-22.439,7.134,0.549
-0.152,0.835,0.151,-31.28,12.927,-8.293
-0.179,0.786,0.162,-38.049,20.0,-17.622
-0.182,0.758,0.235,-40.793,30.061,-26.89
-0.227,0.696,0.345,-42.256,40.0,-38.659
-0.234,0.636,0.436,-38.72,45.183,-47.256
-0.217,0.607,0.5,-28.232,43.171,-46.829
-0.338,0.524,0.592,-19.146,30.427,-42.866
-0.63,0.483,0.702,-11.037,9.146,-39.085
-0.939,0.473,0.774,-4.207,-17.317,-33.354
-1.063,0.5,0.723,3.659,-41.098,-24.878
-1.089,0.541,0.653,8.902,-49.329,-17.073
-1.05,0.591,0.662,12.988,-47.866,-8.902
-0.956,0.648,0.629,16.28,-39.451,-0.915
-0.861,0.71,0.564,17.317,-28.537,5.183
-0.725,0.781,0.516,15.915,-23.049,8.72
-0.658,0.827,0.428,15.061,-21.037,10.854
-0.599,0.855,0.396,14.695,-24.207,12.683
-0.531,0.865,0.384,13.476,-30.366,14.634
-0.459,0.883,0.336,12.683,-33.354,15.183
