acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.306,0.684,0.316,-1.585,26.89,-24.39
-0.302,0.72,0.271,-10.244,15.183,-28.293
-0.463,0.726,0.262,-17.256,11.463,-28.537
-0.544,0.721,0.306,-22.927,11.098,-25.976
-0.583,0.717,0.326,-25.61,6.646,-18.049
-0.708,0.685,0.319,-24.268,1.646,-8.476
-0.796,0.665,0.32,-22.805,-6.098,-0.549
-0.872,0.695,0.308,-19.39,-20.915,5.854
-0.984,0.712,0.294,-15.549,-34.268,10.0
-0.965,0.688,0.361,-12.683,-40.427,13.902
-0.839,0.676,0.458,-9.085,-41.524,16.707
-0.749,0.665,0.513,-2.988,-41.829,17.073
-0.646,0.65,0.512,4.512,-41.22,16.829
-0.535,0.633,0.498,10.854,-40.061,14.817
-0.418,0.677,0.472,14.512,-39.878,12.439
-0.35,0.74,0.454,17.5,-40.671,11.402
-0.327,0.788,0.438,20.0,-41.707,11.402
-0.365,0.834,0.431,20.549,-40.671,11.585
-0.449,0.847,0.419,18.049,-32.134,10.793
-0.473,0.843,0.395,11.037,-15.122,8.598
-0.418,0.86,0.331,-0.671,2.988,5.0
-0.375,0.859,0.243,-14.207,19.451,1.524
-0.358,0.824,0.181,-27.988,27.683,-2.073
-0.378,0.782,0.133,-39.146,26.524,-5.061
-0.448,0.704,0.105,-46.829,20.183,-7.866
-0.471,0.634,0.128,-44.39,14.451,-10.0
-0.508,0.556,0.206,-34.085,11.646,-10.793
-0.517,0.466,0.356,-21.585,10.366,-11.037
-0.538,0.431,0.578,-10.427,10.549,-12.5
-0.592,0.415,0.746,-4.146,9.146,-13.598
-0.689,0.43,0.775,-1.951,6.28,-13.902
-0.719,0.466,0.697,-1.28,4.878,-15.244
-0.708,0.497,0.568,-1.707,3.354,-16.89
-0.679,0.52,0.427,-1.89,0.366,-15.732
-0.725,0.588,0.318,-0.061,-2.073,-13.963
-0.753,0.66,0.275,3.841,-4.878,-11.585
-0.764,0.722,0.259,7.195,-9.451,-8.72
-0.775,0.772,0.264,11.341,-14.512,-4.756
-0.772,0.823,0.293,15.793,-19.451,-1.646
-0.733,0.871,0.311,20.854,-24.39,3.598
-0.712,0.902,0.306,23.415,-28.354,8.598
-0.668,0.969,0.313,24.146,-30.061,12.622
-0.624,1.021,0.364,24.39,-29.634,16.463
-0.559,0.991,0.397,22.561,-24.39,18.354
-0.473,0.987,0.431,18.963,-17.439,17.927
-0.398,0.993,0.455,16.341,-9.634,15.671
-0.326,0.951,0.44,13.902,-0.305,11.829
-0.249,0.913,0.427,12.073,8.598,8.049
-0.23,0.874,0.43,11.22,15.488,4.939
-0.272,0.845,0.391,9.268,23.598,0.976
-0.322,0.823,0.322,2.195,33.171,-3.415
-0.333,0.789,0.298,-7.561,39.451,-7.866
-0.347,0.76,0.308,-16.707,40.549,-12.378
-0.39,0.716,0.264,-23.78,36.768,-17.378
-0.418,0.665,0.195,-26.646,29.451,-19.573
-0.479,0.588,0.152,-25.976,18.659,-17.378
-0.571,0.5,0.151,-22.5,3.841,-13.11
-0.766,0.412,0.226,-17.317,-9.756,-7.195
-0.925,0.349,0.367,-12.256,-14.451,-2.744
-0.903,0.391,0.487,-7.988,-8.659,-1.402
-0.783,0.462,0.565,-2.5,1.159,-2.317
-0.65,0.484,0.57,1.159,8.598,-2.805
-0.586,0.534,0.495,3.049,10.549,-3.659
-0.604,0.61,0.398,2.744,6.768,-3.659
-0.643,0.685,0.317,1.22,0.427,-3.293
-0.655,0.738,0.282,0.305,-5.61,-3.415
-0.657,0.75,0.28,1.037,-9.512,-2.744
-0.671,0.763,0.298,3.902,-10.854,-0.488
-0.642,0.79,0.33,7.195,-11.524,1.463
