acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.432,0.843,0.52,14.695,23.963,12.561
-0.372,0.856,0.419,9.573,26.585,9.695
-0.321,0.877,0.361,5.122,27.744,5.061
-0.293,0.839,0.281,-1.159,23.11,-0.488
-0.379,0.771,0.208,-7.805,17.256,-3.232
-0.501,0.718,0.185,-16.585,8.537,-4.207
-0.559,0.653,0.132,-24.634,-5.0,-4.024
-0.599,0.603,0.145,-28.72,-21.098,-1.22
-0.63,0.579,0.164,-29.512,-33.841,1.037
-0.665,0.546,0.175,-26.585,-34.634,0.671
-0.564,0.54,0.301,-18.963,-26.89,-2.378
-0.444,0.525,0.495,-9.268,-13.232,-7.012
-0.364,0.454,0.642,-5.183,-3.171,-10.427
-0.391,0.47,0.685,-3.963,0.976,-12.866
-0.472,0.518,0.628,-1.707,-1.037,-14.268
-0.55,0.538,0.511,0.671,-6.951,-14.451
-0.667,0.567,0.391,-0.793,-13.476,-14.207
-0.698,0.62,0.273,-3.232,-18.354,-14.512
-0.708,0.693,0.238,-6.463,-20.0,-13.415
-0.702,0.729,0.253,-8.841,-20.366,-10.366
-0.701,0.75,0.314,-7.683,-22.317,-6.829
-0.683,0.767,0.382,-1.463,-23.232,-4.024
-0.675,0.812,0.45,7.683,-25.427,-1.098
-0.661,0.837,0.501,15.366,-30.061,1.829
-0.62,0.853,0.452,18.72,-35.122,3.354
-0.56,0.919,0.396,20.61,-41.951,3.415
-0.566,0.927,0.37,21.402,-46.646,5.0
-0.555,0.9,0.344,19.268,-45.976,5.427
-0.483,0.917,0.302,16.22,-40.61,5.0
-0.427,0.923,0.288,14.756,-31.524,4.756
-0.398,0.899,0.314,12.378,-20.183,4.695
-0.346,0.882,0.334,9.451,-10.183,3.476
-0.319,0.892,0.333,6.89,-2.073,0.915
-0.302,0.89,0.343,4.39,1.341,-2.317
-0.319,0.868,0.339,2.805,3.598,-4.268
-0.347,0.851,0.333,1.098,6.768,-5.61
-0.353,0.841,0.322,-2.012,11.463,-7.073
-0.353,0.831,0.302,-7.927,17.439,-8.963
-0.363,0.813,0.288,-15.976,22.378,-11.341
-0.387,0.781,0.301,-22.866,27.256,-15.122
-0.382,0.766,0.324,-26.098,30.976,-19.024
-0.404,0.722,0.323,-24.268,32.073,-21.585
-0.445,0.655,0.338,-19.268,28.232,-21.341
-0.51,0.617,0.368,-13.415,20.488,-17.622
-0.636,0.568,0.43,-6.951,10.366,-11.28
-0.778,0.527,0.474,-1.585,0.061,-4.207
-0.901,0.528,0.477,1.463,-6.22,1.037
-0.92,0.533,0.454,2.5,-7.012,4.024
-0.833,0.548,0.4,1.524,-3.598,3.963
-0.706,0.568,0.361,-0.61,1.098,2.317
-0.601,0.581,0.332,-2.561,2.073,0.305
-0.54,0.599,0.303,-1.951,-1.768,-1.707
-0.538,0.624,0.281,2.927,-5.976,-3.537
