acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.461,0.813,0.382,4.207,31.037,31.463
-0.392,0.815,0.302,2.866,28.963,30.061
-0.334,0.792,0.272,2.439,25.0,27.134
-0.271,0.744,0.292,3.841,20.915,23.232
-0.208,0.697,0.264,8.354,17.195,17.195
-0.153,0.636,0.266,13.354,16.159,10.854
-0.103,0.565,0.364,12.256,21.89,3.354
-0.044,0.532,0.496,8.049,34.39,-5.305
-0.032,0.52,0.646,3.78,55.671,-12.866
-0.047,0.531,0.664,-0.671,82.256,-20.671
-0.059,0.604,0.538,-4.756,114.329,-27.683
-0.029,0.64,0.432,-6.768,144.268,-32.927
-0.024,0.643,0.32,-9.085,164.695,-37.073
-0.025,0.692,0.223,-14.756,168.598,-42.317
-0.066,0.71,0.174,-24.451,152.866,-46.768
-0.271,0.716,0.19,-30.671,130.427,-48.841
-0.442,0.705,0.288,-32.805,104.512,-47.805
-0.671,0.682,0.346,-33.476,78.11,-40.671
-0.784,0.713,0.35,-27.988,49.756,-30.488
-0.969,0.721,0.382,-20.122,22.744,-18.659
-1.087,0.717,0.49,-12.744,-5.122,-6.707
-1.17,0.709,0.594,-6.341,-38.354,2.744
-1.219,0.689,0.664,0.183,-72.317,8.293
-1.124,0.645,0.678,7.378,-94.573,11.524
-0.935,0.669,0.633,13.72,-102.561,14.817
-0.758,0.705,0.543,19.512,-101.585,19.451
-0.682,0.731,0.466,23.293,-95.366,24.634
-0.64,0.779,0.393,24.695,-92.927,30.854
-0.652,0.835,0.356,23.232,-95.915,37.317
-0.657,0.866,0.376,19.695,-107.073,42.622
-0.65,0.896,0.398,15.305,-126.829,45.793
-0.567,0.925,0.384,11.159,-150.854,48.232
-0.482,0.936,0.38,8.659,-151.768,48.841
-0.307,0.956,0.413,5.061,-140.244,45.854
-0.112,0.959,0.412,3.537,-133.537,41.28
-0.093,0.926,0.386,1.829,-118.476,34.024
0.02,0.879,0.451,-1.098,-92.805,24.695
0.13,0.826,0.53,-2.744,-61.098,14.939
0.162,0.771,0.576,-1.768,-20.183,6.098
0.185,0.729,0.53,0.183,27.561,-3.537
0.252,0.728,0.434,2.622,77.927,-13.537
0.25,0.727,0.371,1.22,125.244,-22.744
0.17,0.705,0.285,-2.378,160.793,-29.878
0.007,0.691,0.206,-6.646,182.622,-35.976
-0.082,0.672,0.223,-9.024,188.476,-40.0
-0.146,0.605,0.22,-10.0,180.427,-44.085
-0.214,0.544,0.207,-11.341,162.927,-47.744
-0.264,0.508,0.193,-14.207,144.207,-49.573
-0.326,0.514,0.146,-17.5,121.951,-52.683
-0.491,0.526,0.135,-21.159,106.159,-53.902
-0.542,0.546,0.158,-23.72,91.524,-53.902
-0.668,0.575,0.184,-25.671,76.829,-49.085
-0.777,0.611,0.241,-22.012,62.988,-41.463
-0.945,0.644,0.388,-12.744,42.134,-31.037
-1.105,0.588,0.617,-3.72,10.183,-21.524
-1.215,0.592,0.764,5.244,-29.268,-12.805
-1.253,0.63,0.801,13.232,-61.524,-2.256
-1.174,0.683,0.766,20.671,-79.146,9.756
-1.03,0.755,0.704,24.268,-86.402,22.805
-0.974,0.844,0.577,24.817,-85.427,34.878
-0.934,0.959,0.432,23.78,-81.463,45.793
-0.862,0.992,0.405,20.61,-81.159,53.841
-0.793,1.037,0.37,18.537,-85.61,57.378
-0.661,1.04,0.359,17.134,-92.195,56.707
-0.459,1.016,0.399,16.098,-99.329,51.89
-0.256,0.991,0.447,15.61,-100.488,44.39
-0.094,0.962,0.449,13.963,-91.524,36.098
0.036,0.938,0.44,11.28,-71.159,28.476
0.113,0.911,0.466,9.878,-41.951,19.451
0.14,0.845,0.449,8.963,-11.646,9.634
0.127,0.776,0.416,8.598,17.439,-0.427
0.092,0.738,0.38,9.207,50.915,-9.634
0.083,0.703,0.315,7.378,82.073,-17.683
0.068,0.697,0.213,3.354,100.915,-25.061
-0.038,0.677,0.142,-0.915,110.427,-31.646
-0.116,0.649,0.13,-4.756,114.817,-37.195
-0.18,0.623,0.143,-8.78,111.646,-42.256
-0.275,0.589,0.157,-12.622,108.232,-45.122
-0.305,0.551,0.194,-15.366,105.366,-45.793
-0.412,0.548,0.211,-16.037,100.183,-45.549
-0.551,0.543,0.248,-13.049,95.976,-44.634
-0.578,0.527,0.295,-11.89,90.305,-38.78
-0.704,0.61,0.371,-9.329,78.963,-30.305
-0.963,0.632,0.441,-6.098,62.866,-21.585
-1.043,0.64,0.512,-2.134,40.427,-13.659
-1.052,0.714,0.501,1.463,9.268,-6.037
-1.101,0.741,0.505,4.573,-21.402,0.732
-1.084,0.746,0.541,8.598,-49.085,8.598
-1.032,0.74,0.586,13.78,-69.451,17.561
-0.968,0.762,0.623,17.927,-81.829,27.256
-0.919,0.822,0.595,21.341,-82.195,37.195
-0.867,0.906,0.527,23.659,-74.512,46.159
-0.77,0.952,0.478,24.39,-67.622,52.683
-0.706,0.994,0.421,24.268,-65.976,55.976
-0.615,0.992,0.376,24.878,-69.207,57.012
-0.487,0.969,0.355,25.183,-73.841,54.634
-0.32,0.937,0.333,23.354,-79.329,49.573
-0.209,0.917,0.342,22.5,-77.317,40.671
-0.034,0.87,0.338,21.22,-64.268,32.134
0.09,0.835,0.348,18.72,-40.915,21.951
0.125,0.811,0.305,15.183,-10.549,10.671
0.136,0.779,0.25,11.524,18.11,-0.671
0.093,0.751,0.182,8.963,42.805,-11.646
0.052,0.714,0.153,6.707,62.5,-21.402
0.019,0.663,0.187,3.841,73.78,-28.598
-0.084,0.634,0.207,-0.61,76.768,-34.207
-0.179,0.627,0.213,-5.061,75.305,-39.756
-0.247,0.628,0.248,-9.024,72.622,-44.451
-0.292,0.59,0.276,-14.39,63.963,-49.085
-0.367,0.561,0.254,-20.549,56.707,-53.415
-0.413,0.569,0.248,-25.061,50.427,-55.854
-0.523,0.582,0.273,-27.5,48.476,-55.183
-0.565,0.623,0.31,-25.854,46.646,-51.951
-0.649,0.647,0.351,-22.622,41.646,-45.061
-0.785,0.688,0.438,-18.902,27.866,-35.122
-0.999,0.75,0.539,-13.354,6.524,-23.232
-1.167,0.799,0.623,-6.951,-10.732,-12.195
-1.061,0.847,0.684,-2.012,-31.22,-0.427
-1.066,0.89,0.693,0.976,-54.329,10.61
-1.093,0.927,0.667,4.756,-72.439,21.463
-1.016,0.932,0.632,8.963,-84.695,31.951
-0.926,0.945,0.587,13.78,-90.976,41.341
-0.851,0.958,0.515,17.744,-90.061,48.598
-0.725,0.979,0.45,20.976,-87.561,52.988
-0.617,0.973,0.397,21.646,-82.012,52.439
-0.468,0.937,0.377,21.28,-76.098,47.866
-0.33,0.866,0.368,20.305,-71.341,41.22
-0.209,0.826,0.325,17.805,-61.037,31.037
-0.093,0.81,0.272,13.659,-43.293,18.415
0.044,0.741,0.226,8.659,-22.805,6.89
0.107,0.707,0.194,2.317,-0.61,-4.451
0.094,0.68,0.164,-4.085,25.0,-17.5
0.093,0.615,0.158,-9.573,52.317,-29.817
0.084,0.57,0.16,-13.72,75.732,-39.878
-0.018,0.548,0.144,-17.866,91.402,-47.744
-0.124,0.541,0.175,-20.976,94.939,-53.841
-0.218,0.528,0.209,-24.329,86.463,-58.659
-0.304,0.502,0.224,-29.329,73.598,-62.256
-0.321,0.506,0.259,-33.415,58.841,-64.329
-0.427,0.509,0.319,-36.524,46.341,-63.537
-0.556,0.527,0.363,-38.232,39.146,-60.793
-0.644,0.545,0.429,-34.329,36.524,-55.488
-0.711,0.501,0.544,-28.415,32.561,-47.195
-0.833,0.5,0.613,-16.951,17.012,-39.39
-1.016,0.493,0.632,-4.512,2.378,-33.78
-0.881,0.506,0.582,3.78,-11.22,-31.28
-0.758,0.558,0.548,11.585,-24.634,-31.22
-0.691,0.534,0.526,17.317,-33.354,-33.598
-0.575,0.541,0.505,19.512,-36.037,-37.683
-0.515,0.567,0.441,20.122,-32.561,-43.232
-0.477,0.596,0.395,20.427,-25.549,-48.78
-0.458,0.585,0.394,22.073,-16.829,-54.329
-0.434,0.551,0.414,25.427,-11.22,-60.305
-0.415,0.521,0.416,31.22,-13.232,-67.195
-0.413,0.498,0.417,39.878,-22.012,-74.39
-0.429,0.502,0.439,48.72,-32.683,-81.646
-0.445,0.518,0.519,58.659,-43.78,-87.988
-0.422,0.476,0.622,68.598,-56.402,-94.329
