acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.278,0.596,0.707,-20.488,19.207,33.902
-0.284,0.6,0.727,-16.463,17.073,30.854
-0.238,0.589,0.764,-10.366,18.11,28.841
-0.236,0.565,0.773,-2.866,17.927,26.524
-0.241,0.568,0.719,5.183,17.683,24.878
-0.246,0.578,0.679,12.256,25.671,22.805
-0.177,0.593,0.667,17.073,37.744,20.0
-0.115,0.611,0.639,18.598,52.805,16.463
-0.06,0.631,0.581,16.707,68.963,10.305
-0.008,0.636,0.52,14.573,87.744,2.805
0.003,0.623,0.439,9.817,106.707,-5.0
0.035,0.634,0.329,5.427,124.939,-11.768
0.043,0.631,0.255,1.098,137.683,-18.415
0.022,0.602,0.281,-4.146,138.537,-25.305
-0.104,0.595,0.373,-10.732,129.024,-30.549
-0.271,0.597,0.456,-15.732,113.902,-33.72
-0.438,0.607,0.539,-17.073,102.073,-34.024
-0.517,0.639,0.597,-15.671,94.146,-31.463
-0.546,0.658,0.601,-14.024,83.476,-26.159
-0.626,0.72,0.547,-9.634,69.695,-19.817
-0.699,0.75,0.485,-6.524,53.354,-14.329
-0.775,0.789,0.46,-4.085,33.171,-9.573
-0.806,0.797,0.488,-2.256,9.146,-5.244
-0.84,0.79,0.549,-0.793,-17.439,-0.854
-0.837,0.792,0.62,-0.488,-47.317,4.207
-0.838,0.775,0.676,0.671,-73.232,10.061
-0.791,0.771,0.704,5.183,-90.366,16.402
-0.745,0.767,0.704,11.098,-93.171,23.841
-0.673,0.792,0.674,16.707,-86.22,31.524
-0.595,0.85,0.606,21.22,-78.72,39.39
-0.563,0.906,0.522,22.683,-72.439,46.098
-0.522,0.952,0.442,21.463,-69.268,49.39
-0.433,0.951,0.391,18.598,-69.024,49.878
-0.322,0.931,0.376,15.122,-66.524,47.256
-0.168,0.911,0.377,11.951,-65.488,39.939
-0.016,0.889,0.381,9.085,-67.805,30.122
0.097,0.838,0.395,6.402,-64.207,19.085
0.181,0.788,0.434,4.512,-47.622,9.268
0.216,0.739,0.428,3.537,-23.049,0.915
0.167,0.725,0.358,2.744,6.524,-5.244
0.103,0.722,0.326,1.89,35.549,-11.646
0.054,0.705,0.323,2.256,59.451,-17.378
-0.02,0.675,0.306,2.866,78.049,-22.256
-0.049,0.651,0.331,3.598,88.476,-25.0
-0.118,0.63,0.361,5.305,95.122,-27.134
-0.16,0.614,0.397,5.061,100.61,-30.671
-0.178,0.588,0.403,2.744,101.463,-33.963
-0.212,0.57,0.342,-1.22,96.768,-36.585
-0.316,0.586,0.306,-5.854,90.732,-38.537
-0.426,0.611,0.306,-7.927,87.561,-38.902
-0.468,0.622,0.334,-8.11,85.122,-37.927
-0.523,0.667,0.394,-7.073,84.573,-35.305
-0.563,0.697,0.458,-5.671,82.378,-31.463
-0.628,0.729,0.527,-4.573,72.378,-28.049
-0.761,0.761,0.573,-4.878,53.841,-23.78
-0.818,0.784,0.611,-3.72,29.085,-17.378
-0.868,0.82,0.647,-2.866,0.244,-8.902
-0.968,0.859,0.684,-0.793,-26.524,0.427
-0.98,0.897,0.703,2.5,-48.659,11.402
-0.944,0.928,0.676,6.89,-64.329,23.354
-0.886,0.949,0.627,11.463,-70.122,35.366
-0.791,0.964,0.583,14.451,-70.244,46.524
