acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.048,0.464,0.866,36.524,100.061,12.622
-0.143,0.529,0.653,27.012,112.195,7.439
-0.187,0.642,0.417,17.317,126.524,1.037
-0.129,0.681,0.237,8.354,142.5,-5.122
-0.052,0.677,0.142,-0.793,150.488,-11.951
0.022,0.643,0.123,-9.695,142.988,-19.756
-0.048,0.608,0.184,-17.805,126.159,-28.232
-0.171,0.583,0.31,-22.744,109.817,-35.244
-0.246,0.576,0.43,-24.634,97.317,-38.72
-0.354,0.557,0.564,-23.72,86.22,-37.134
-0.478,0.595,0.629,-19.756,75.305,-33.232
-0.591,0.642,0.633,-15.244,68.049,-27.927
-0.64,0.684,0.691,-10.244,58.293,-22.378
-0.737,0.713,0.709,-7.5,46.22,-17.378
-0.765,0.754,0.645,-6.22,30.793,-12.561
-0.757,0.809,0.57,-6.22,11.646,-6.829
-0.789,0.847,0.521,-5.61,-8.537,-0.122
-0.788,0.87,0.565,-4.207,-32.744,6.951
-0.818,0.856,0.643,-3.293,-61.585,14.329
-0.827,0.846,0.702,-0.366,-92.5,22.5
-0.813,0.821,0.745,5.549,-118.171,32.439
-0.749,0.827,0.754,11.646,-129.573,44.39
-0.658,0.866,0.705,17.805,-128.476,54.695
-0.581,0.878,0.619,22.5,-118.842,61.159
-0.466,0.894,0.534,22.744,-108.598,64.512
-0.37,0.93,0.457,20.488,-97.195,62.805
-0.287,0.931,0.387,17.317,-80.488,53.841
-0.076,0.879,0.376,12.866,-66.585,41.098
0.142,0.81,0.372,8.963,-54.817,27.012
0.268,0.741,0.366,4.878,-35.671,12.256
0.389,0.682,0.409,1.402,-11.463,-2.561
0.402,0.656,0.406,-0.244,16.646,-15.793
0.331,0.648,0.34,-1.159,47.866,-27.378
0.278,0.672,0.262,-1.768,79.512,-35.549
0.176,0.678,0.176,-2.805,110.122,-41.098
0.097,0.684,0.147,-3.537,129.39,-44.146
-0.019,0.679,0.162,-5.366,137.195,-45.61
-0.092,0.661,0.218,-8.354,136.281,-46.707
-0.125,0.621,0.279,-11.402,130.183,-47.012
-0.196,0.614,0.306,-12.866,122.561,-48.537
-0.334,0.63,0.338,-14.451,118.598,-47.439
-0.416,0.624,0.369,-12.866,123.476,-42.134
-0.507,0.71,0.406,-7.622,122.5,-35.61
-0.732,0.655,0.418,-4.756,115.427,-28.049
-0.747,0.673,0.477,-2.012,96.159,-22.378
-0.799,0.679,0.51,-0.915,65.0,-18.232
-0.912,0.707,0.581,-0.793,27.561,-13.354
-0.962,0.708,0.66,-0.549,-10.244,-6.463
-1.023,0.735,0.692,-1.707,-45.61,3.171
-1.031,0.769,0.693,0.244,-71.22,14.39
-0.975,0.784,0.67,5.366,-79.512,26.22
-0.87,0.816,0.628,11.463,-73.659,37.439
-0.783,0.866,0.587,16.28,-61.951,46.524
-0.745,0.895,0.563,17.378,-56.463,52.683
-0.702,0.911,0.532,17.622,-57.866,54.939
-0.614,0.9,0.487,16.037,-62.012,54.146
-0.43,0.88,0.472,13.476,-69.207,49.451
-0.27,0.888,0.407,11.707,-74.268,40.427
-0.061,0.85,0.373,11.707,-68.659,26.768
0.192,0.792,0.37,10.244,-52.988,15.183
0.321,0.759,0.399,7.378,-26.829,4.573
0.277,0.77,0.379,3.537,9.451,-6.524
0.221,0.776,0.32,0.976,49.39,-18.537
0.155,0.771,0.23,-2.988,83.171,-29.329
0.091,0.765,0.166,-8.415,101.342,-38.476
0.014,0.722,0.173,-13.415,106.524,-46.524
-0.051,0.667,0.206,-16.951,103.354,-53.659
-0.097,0.624,0.268,-20.244,97.378,-59.512
-0.141,0.582,0.337,-24.451,86.585,-62.134
-0.32,0.565,0.374,-26.463,71.463,-60.488
-0.588,0.58,0.409,-25.793,60.0,-54.39
-0.79,0.631,0.489,-20.976,53.049,-43.963
-0.899,0.658,0.561,-15.732,39.085,-30.915
-1.06,0.711,0.621,-11.341,12.012,-18.049
-1.19,0.736,0.642,-7.866,-21.22,-6.037
-1.162,0.768,0.667,-4.878,-54.939,5.427
-1.097,0.798,0.679,-0.488,-82.073,15.915
-0.974,0.803,0.699,4.756,-100.0,24.939
-0.86,0.811,0.707,11.402,-109.939,33.11
-0.81,0.83,0.662,16.951,-110.732,41.646
-0.741,0.857,0.616,19.573,-105.0,48.476
-0.678,0.863,0.562,19.939,-95.305,52.988
-0.583,0.86,0.511,18.902,-85.122,54.695
-0.473,0.859,0.454,15.305,-80.854,51.89
-0.327,0.857,0.365,10.854,-82.805,41.28
-0.148,0.823,0.27,8.902,-81.098,26.646
0.182,0.716,0.267,6.89,-65.244,13.293
0.447,0.673,0.288,2.744,-41.402,-1.098
0.468,0.676,0.241,-2.683,-11.098,-13.598
0.361,0.682,0.188,-7.805,26.463,-24.451
0.223,0.694,0.174,-11.098,60.183,-33.78
0.065,0.695,0.181,-11.829,86.829,-41.22
0.003,0.655,0.236,-12.256,101.402,-46.646
-0.058,0.614,0.332,-12.195,103.598,-50.183
-0.134,0.592,0.403,-12.622,102.012,-52.561
-0.165,0.589,0.417,-13.841,98.293,-53.659
-0.206,0.63,0.36,-16.951,86.463,-53.963
-0.383,0.661,0.332,-21.585,70.549,-52.256
-0.562,0.697,0.398,-24.146,53.659,-47.256
-0.746,0.726,0.538,-23.963,35.427,-39.39
-0.984,0.736,0.685,-21.098,14.817,-29.573
-1.084,0.753,0.813,-16.585,-13.354,-17.561
-1.168,0.759,0.876,-10.122,-43.537,-4.207
-1.205,0.809,0.87,-1.341,-68.537,8.415
-1.113,0.834,0.867,8.354,-85.793,20.488
-0.994,0.834,0.833,15.915,-91.768,31.89
-0.847,0.861,0.786,21.89,-89.146,41.89
-0.781,0.875,0.714,25.305,-82.561,49.634
-0.723,0.878,0.636,26.951,-75.488,54.146
-0.643,0.856,0.563,26.463,-68.841,55.671
-0.527,0.824,0.489,23.354,-65.854,53.841
-0.407,0.793,0.409,18.293,-64.878,47.744
-0.234,0.771,0.336,11.951,-63.841,38.598
-0.093,0.744,0.284,6.463,-60.427,24.329
0.077,0.704,0.227,1.89,-53.049,10.183
0.24,0.648,0.207,-2.5,-35.915,-3.476
0.313,0.637,0.208,-5.427,-4.817,-15.61
0.331,0.616,0.211,-8.537,30.854,-26.524
