acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.144,0.598,0.603,18.841,92.5,7.683
-0.055,0.647,0.397,15.427,113.232,3.659
0.029,0.657,0.274,12.195,132.683,-0.488
0.037,0.666,0.197,7.012,144.756,-5.183
-0.009,0.667,0.198,0.488,142.5,-11.28
-0.169,0.673,0.331,-5.366,134.146,-16.585
-0.297,0.669,0.512,-9.695,123.354,-20.732
-0.387,0.662,0.618,-11.524,108.171,-21.768
-0.552,0.664,0.681,-11.707,87.317,-19.268
-0.693,0.706,0.712,-10.244,57.622,-13.476
-0.843,0.723,0.702,-6.89,23.476,-5.183
-0.93,0.753,0.688,-1.768,-9.634,2.805
-0.936,0.772,0.688,2.744,-37.988,10.122
-0.874,0.797,0.678,6.646,-62.805,17.622
-0.79,0.82,0.649,10.61,-77.927,25.305
-0.685,0.841,0.616,14.207,-85.061,31.829
-0.598,0.872,0.577,17.134,-88.11,37.256
-0.547,0.879,0.541,18.537,-87.073,42.134
-0.471,0.882,0.528,19.024,-82.927,44.634
-0.393,0.869,0.542,17.866,-81.037,44.878
-0.336,0.853,0.548,16.768,-79.756,43.78
-0.242,0.833,0.489,12.988,-73.598,41.28
-0.125,0.818,0.468,8.415,-63.72,34.756
-0.037,0.819,0.419,4.817,-52.622,23.293
0.146,0.744,0.374,0.671,-42.195,13.049
0.207,0.706,0.376,-3.476,-29.512,2.012
0.262,0.679,0.352,-6.22,-9.268,-6.829
0.301,0.658,0.314,-7.256,15.732,-14.024
0.275,0.679,0.298,-6.768,38.78,-19.146
0.148,0.7,0.317,-6.22,64.085,-23.963
0.076,0.705,0.377,-5.488,84.634,-28.415
-0.021,0.706,0.413,-3.78,97.988,-30.976
-0.114,0.696,0.411,-1.829,104.817,-33.476
-0.14,0.67,0.393,-2.195,104.634,-36.28
-0.159,0.634,0.363,-4.634,101.89,-37.622
-0.138,0.634,0.331,-6.463,93.902,-39.756
-0.237,0.62,0.294,-10.427,84.329,-41.951
