acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.041,0.483,0.811,40.915,85.061,23.78
-0.122,0.575,0.727,40.305,91.28,24.207
-0.18,0.672,0.598,34.634,95.488,22.317
-0.206,0.734,0.488,27.805,107.5,20.0
-0.153,0.732,0.428,19.085,121.402,16.037
-0.093,0.723,0.309,9.512,128.415,11.22
-0.088,0.723,0.207,0.854,132.622,3.902
-0.056,0.674,0.187,-5.427,129.573,-3.841
-0.099,0.619,0.224,-8.598,124.695,-10.976
-0.134,0.555,0.368,-9.329,120.305,-16.951
-0.205,0.516,0.53,-7.866,112.744,-20.671
-0.362,0.504,0.663,-6.463,101.89,-22.012
-0.483,0.533,0.72,-4.939,84.39,-20.732
-0.638,0.565,0.719,-3.902,62.134,-17.988
-0.764,0.609,0.72,-2.561,37.866,-14.146
-0.82,0.646,0.705,-0.915,13.963,-9.878
-0.812,0.677,0.681,0.305,-12.256,-5.183
-0.809,0.717,0.632,-0.305,-41.646,1.707
-0.789,0.753,0.595,0.854,-68.963,10.61
-0.739,0.791,0.604,4.878,-88.598,20.732
-0.694,0.823,0.623,10.366,-95.244,32.012
-0.645,0.858,0.616,14.329,-88.902,41.89
-0.55,0.907,0.59,17.195,-80.427,49.268
-0.489,0.952,0.558,18.232,-74.085,52.378
-0.387,0.989,0.521,17.988,-72.927,48.72
-0.222,0.968,0.5,16.341,-72.317,38.902
0.019,0.896,0.541,13.171,-65.061,27.195
0.255,0.849,0.636,9.939,-53.476,17.134
0.272,0.815,0.637,5.427,-36.89,7.866
0.203,0.815,0.561,2.439,-14.146,-0.488
0.111,0.817,0.468,1.402,11.524,-5.854
0.01,0.81,0.361,2.317,35.427,-9.024
-0.058,0.809,0.288,5.0,56.341,-10.732
-0.086,0.774,0.297,7.256,72.988,-11.646
-0.102,0.754,0.337,7.439,80.549,-13.232
-0.141,0.723,0.384,6.22,81.159,-14.573
-0.2,0.679,0.455,4.939,79.939,-15.793
-0.234,0.646,0.506,3.902,75.305,-17.012
-0.303,0.602,0.5,3.598,72.683,-18.354
-0.319,0.571,0.477,2.866,75.366,-18.659
-0.335,0.563,0.415,1.585,77.561,-18.841
-0.387,0.598,0.339,0.671,82.927,-19.695
-0.363,0.61,0.314,-1.951,85.793,-22.622
-0.342,0.602,0.295,-6.037,78.537,-26.646
-0.378,0.616,0.307,-9.512,67.805,-31.402
-0.353,0.637,0.359,-11.098,58.963,-35.732
-0.304,0.655,0.419,-12.134,46.037,-37.317
-0.397,0.703,0.443,-12.744,29.634,-36.22
-0.547,0.778,0.491,-11.585,15.183,-31.768
-0.676,0.815,0.586,-9.207,5.915,-24.939
-0.753,0.84,0.666,-5.61,3.902,-16.951
-0.759,0.871,0.71,-3.293,-2.866,-8.841
-0.815,0.911,0.677,-2.134,-19.268,-0.244
-0.915,0.932,0.667,-1.159,-39.695,8.049
-0.926,0.933,0.705,1.463,-60.671,16.829
-0.863,0.906,0.738,4.695,-79.939,25.854
-0.803,0.88,0.745,8.476,-97.134,33.841
-0.765,0.85,0.708,13.659,-109.39,41.159
-0.706,0.818,0.667,17.927,-118.354,46.585
-0.639,0.806,0.595,20.122,-123.72,49.451
-0.539,0.793,0.526,18.476,-122.866,49.024
-0.417,0.797,0.474,13.293,-113.659,43.963
-0.267,0.796,0.396,5.122,-96.341,35.549
-0.14,0.784,0.279,-1.159,-78.72,21.037
0.097,0.748,0.173,-8.354,-63.049,9.024
0.233,0.715,0.174,-13.78,-42.5,-3.171
0.308,0.688,0.211,-16.829,-10.732,-15.427
0.399,0.648,0.254,-17.683,21.341,-25.305
0.35,0.638,0.273,-17.256,47.439,-32.5
0.202,0.658,0.291,-16.463,69.268,-38.72
0.105,0.65,0.313,-16.829,81.159,-43.841
0.01,0.654,0.327,-17.195,84.329,-47.378
-0.073,0.653,0.352,-18.171,84.39,-50.854
-0.096,0.643,0.368,-20.0,81.402,-52.988
-0.134,0.645,0.358,-21.89,74.329,-54.207
-0.252,0.654,0.367,-24.207,66.951,-53.72
