acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.203,0.576,0.534,21.524,142.195,-3.049
-0.2,0.629,0.402,14.878,156.463,-5.671
-0.171,0.648,0.317,8.963,167.256,-9.146
-0.14,0.646,0.261,2.012,165.061,-13.11
-0.2,0.633,0.303,-4.634,152.134,-17.134
-0.345,0.609,0.481,-9.329,130.793,-20.244
-0.484,0.613,0.69,-12.073,99.695,-20.61
-0.631,0.659,0.727,-10.244,66.22,-17.683
-0.742,0.703,0.672,-6.463,38.11,-13.963
-0.747,0.755,0.619,-4.024,7.5,-9.268
-0.783,0.784,0.587,-3.659,-27.317,-4.329
-0.851,0.811,0.636,-3.841,-60.793,0.671
-0.863,0.806,0.703,-1.89,-84.939,6.159
-0.801,0.802,0.726,1.768,-91.159,13.049
-0.695,0.834,0.69,6.098,-85.671,20.244
-0.615,0.867,0.655,9.573,-77.805,27.683
-0.592,0.898,0.606,10.61,-67.805,33.598
-0.539,0.93,0.576,8.78,-61.524,36.768
-0.471,0.941,0.557,3.78,-60.976,36.707
-0.36,0.96,0.514,-0.854,-63.293,33.293
-0.213,0.957,0.466,-3.659,-64.695,25.732
-0.011,0.936,0.445,-4.39,-60.61,17.073
0.168,0.894,0.475,-4.756,-50.915,8.415
0.264,0.853,0.483,-4.939,-37.195,0.427
0.247,0.827,0.452,-4.207,-16.159,-7.256
0.206,0.796,0.431,-3.659,7.927,-14.573
0.134,0.758,0.396,-5.61,30.0,-21.341
0.041,0.754,0.363,-7.5,53.902,-27.012
0.001,0.735,0.363,-7.683,78.049,-30.915
-0.015,0.686,0.354,-6.707,98.415,-32.866
-0.089,0.639,0.325,-6.22,111.037,-33.902
-0.154,0.586,0.351,-7.317,117.5,-34.878
-0.19,0.537,0.381,-8.049,121.524,-35.305
-0.228,0.49,0.36,-7.805,115.915,-34.878
-0.427,0.491,0.294,-8.963,108.11,-36.89
-0.474,0.5,0.284,-11.28,101.646,-39.268
-0.405,0.495,0.266,-15.061,92.134,-39.695
-0.419,0.546,0.25,-17.927,78.415,-36.341
-0.586,0.644,0.293,-18.902,62.988,-32.012
-0.729,0.647,0.407,-19.207,41.707,-25.732
-0.83,0.657,0.55,-14.512,13.963,-18.11
-0.958,0.704,0.671,-10.244,-20.671,-9.695
-1.008,0.746,0.787,-5.122,-54.634,-0.427
-1.004,0.771,0.808,2.683,-76.22,8.659
-0.93,0.792,0.82,10.732,-84.39,17.927
-0.81,0.813,0.819,17.927,-79.939,28.171
-0.731,0.857,0.745,21.402,-69.512,37.927
-0.673,0.948,0.626,21.646,-61.341,45.366
-0.638,1.016,0.513,20.549,-56.341,50.0
-0.542,1.045,0.433,17.744,-54.268,51.22
-0.412,1.054,0.403,12.683,-56.28,47.561
-0.294,1.025,0.405,8.72,-56.037,40.488
-0.148,0.96,0.425,6.585,-53.72,30.915
-0.014,0.884,0.432,5.793,-49.085,20.0
0.061,0.808,0.435,6.341,-31.159,10.915
0.174,0.724,0.453,6.951,-2.012,2.073
0.23,0.692,0.438,7.195,29.573,-7.195
0.167,0.682,0.344,4.817,62.012,-16.768
0.124,0.684,0.225,1.037,86.463,-25.366
0.038,0.666,0.147,-3.171,100.732,-32.927
-0.03,0.641,0.14,-6.585,107.012,-39.512
-0.076,0.597,0.177,-10.732,108.902,-44.695
-0.098,0.558,0.227,-16.829,106.22,-49.085
-0.159,0.545,0.259,-22.073,94.756,-51.341
-0.385,0.546,0.28,-25.0,78.232,-51.28
-0.6,0.576,0.36,-25.122,61.037,-46.098
-0.749,0.583,0.483,-22.317,41.646,-34.756
-0.952,0.635,0.617,-15.61,19.451,-21.524
-1.148,0.675,0.695,-7.866,1.098,-7.378
-1.09,0.722,0.775,0.0,-19.207,6.707
-1.116,0.754,0.796,6.037,-38.049,18.72
-1.085,0.809,0.792,11.951,-56.463,29.146
-1.014,0.816,0.745,16.829,-69.207,38.78
-0.913,0.853,0.682,19.756,-75.366,46.829
-0.778,0.883,0.629,20.732,-76.89,52.683
-0.659,0.894,0.574,20.0,-74.207,54.939
-0.528,0.909,0.513,17.927,-70.366,54.634
-0.408,0.915,0.458,14.634,-63.598,50.366
-0.252,0.901,0.435,10.366,-56.037,42.012
-0.105,0.875,0.394,6.768,-46.28,29.207
0.043,0.84,0.322,5.122,-30.061,14.146
0.235,0.76,0.32,2.988,-7.317,0.915
0.333,0.707,0.348,1.829,19.695,-10.122
0.288,0.681,0.334,0.244,49.695,-19.817
0.191,0.665,0.271,-2.561,70.427,-27.317
0.039,0.66,0.208,-6.098,80.366,-33.11
-0.08,0.655,0.179,-9.268,81.22,-36.707
-0.149,0.625,0.188,-11.89,79.085,-39.329
-0.173,0.601,0.248,-13.354,77.256,-41.28
-0.191,0.584,0.3,-16.037,72.256,-42.683
-0.307,0.583,0.292,-19.695,64.695,-42.5
-0.461,0.603,0.337,-21.037,54.695,-39.573
-0.659,0.606,0.47,-19.207,44.634,-33.415
-0.786,0.62,0.602,-14.695,30.427,-23.659
-0.916,0.662,0.681,-9.268,9.817,-12.805
-1.054,0.716,0.714,-3.415,-10.427,-2.561
-1.044,0.753,0.742,2.439,-30.732,7.5
-1.005,0.789,0.775,7.988,-51.951,16.646
-0.973,0.813,0.776,12.439,-68.598,24.207
-0.877,0.843,0.728,15.793,-77.134,31.341
-0.783,0.888,0.695,17.561,-78.415,37.012
-0.718,0.896,0.633,17.805,-77.744,40.793
-0.664,0.896,0.545,18.171,-75.854,43.11
-0.595,0.892,0.479,18.476,-68.659,43.78
-0.438,0.902,0.448,18.11,-60.732,42.5
-0.304,0.903,0.394,16.585,-51.585,38.293
-0.19,0.89,0.361,13.78,-40.061,31.28
-0.05,0.863,0.354,11.951,-31.646,18.537
0.094,0.8,0.299,7.5,-20.671,3.72
0.277,0.738,0.317,1.951,-3.11,-10.061
