acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.329,0.766,0.42,3.963,51.159,21.646
-0.325,0.822,0.401,8.963,45.061,18.78
-0.383,0.885,0.341,11.159,32.683,16.28
-0.409,0.928,0.277,10.488,19.451,13.72
-0.438,0.961,0.21,8.232,3.841,10.61
-0.507,0.992,0.184,7.073,-12.134,11.22
-0.567,1.016,0.156,4.756,-16.463,13.963
-0.558,1.039,0.106,0.366,-8.78,15.732
-0.467,1.039,0.126,-1.829,3.232,17.134
-0.451,0.993,0.143,-1.89,13.78,20.549
-0.479,0.963,0.143,-3.11,23.171,24.329
-0.442,0.958,0.153,-4.634,32.561,26.768
-0.388,0.93,0.154,-5.366,42.012,28.171
-0.376,0.914,0.108,-7.622,44.878,26.341
-0.369,0.912,0.067,-10.366,35.244,21.159
-0.399,0.865,0.035,-9.39,17.561,18.415
-0.453,0.761,0.055,-4.268,0.61,18.537
-0.463,0.663,0.159,3.963,-8.72,19.085
-0.453,0.618,0.26,12.378,-5.976,20.61
-0.421,0.626,0.305,17.927,5.915,23.841
-0.391,0.692,0.298,23.11,18.78,27.439
-0.386,0.79,0.228,26.585,31.28,29.939
-0.368,0.877,0.085,21.646,36.951,27.927
-0.369,0.983,-0.031,14.512,31.037,22.195
-0.304,1.028,-0.132,6.037,24.939,13.232
-0.179,1.022,-0.186,-3.659,24.939,0.122
-0.01,0.979,-0.159,-10.793,36.22,-16.402
0.1,0.864,-0.096,-12.439,60.793,-29.878
0.017,0.693,-0.01,-10.427,88.841,-34.817
-0.207,0.541,0.069,-5.0,107.683,-36.524
-0.387,0.465,0.127,0.488,111.342,-44.268
-0.409,0.482,0.084,1.89,97.012,-56.89
-0.346,0.558,0.015,2.378,68.293,-67.5
-0.261,0.61,-0.042,2.805,40.366,-78.415
-0.201,0.617,-0.102,4.512,24.085,-86.585
-0.224,0.611,-0.16,6.646,15.732,-88.232
-0.336,0.676,-0.229,2.866,9.695,-81.159
-0.591,0.836,-0.282,-3.963,0.976,-65.061
-0.856,1.006,-0.244,-11.098,-9.146,-47.805
-1.007,1.123,-0.088,-12.744,-19.878,-32.378
-1.063,1.148,0.121,-9.573,-23.232,-12.134
-1.013,1.118,0.24,-7.744,-19.268,10.671
-0.982,1.137,0.307,-3.11,-17.683,30.854
-0.967,1.179,0.342,0.244,-16.951,47.439
-0.91,1.24,0.351,0.305,-22.317,57.805
-0.793,1.289,0.353,0.183,-37.622,60.244
-0.647,1.277,0.35,3.841,-55.061,55.061
-0.417,1.192,0.418,8.11,-67.622,45.427
-0.272,1.081,0.499,12.439,-84.207,39.451
-0.397,0.98,0.422,14.573,-98.171,42.866
-0.584,0.977,0.168,11.037,-90.061,47.927
-0.467,1.081,0.034,1.585,-53.11,46.768
-0.245,1.137,-0.022,-10.061,-16.22,38.841
-0.117,1.096,-0.093,-19.146,0.976,33.11
-0.133,1.036,-0.059,-25.366,0.244,25.793
-0.155,0.993,0.037,-24.085,1.646,14.207
-0.04,0.88,0.108,-18.11,20.244,1.585
0.068,0.74,0.229,-5.0,41.341,-10.122
0.077,0.588,0.401,14.756,57.805,-17.805
0.043,0.419,0.452,29.817,73.841,-20.732
-0.023,0.343,0.285,36.037,76.159,-24.878
-0.155,0.452,0.078,34.634,69.146,-28.963
-0.245,0.659,-0.187,24.146,70.305,-30.305
-0.275,0.822,-0.354,13.354,73.659,-33.171
-0.257,0.857,-0.345,7.317,81.22,-35.183
-0.321,0.767,-0.315,0.732,91.829,-33.72
-0.397,0.689,-0.307,-3.902,102.195,-32.622
-0.439,0.651,-0.278,-5.427,106.037,-32.256
-0.489,0.635,-0.22,-6.768,97.683,-32.012
-0.579,0.619,-0.19,-5.61,71.829,-31.707
-0.694,0.605,-0.123,-2.805,38.415,-30.915
-0.729,0.622,-0.081,-5.305,8.293,-30.366
-0.77,0.658,-0.141,-6.159,-27.012,-30.061
-0.833,0.657,-0.156,-2.5,-50.244,-22.866
-0.902,0.681,-0.113,0.183,-46.829,-11.341
-0.791,0.799,-0.031,3.232,-28.72,0.061
-0.692,0.963,0.053,4.39,-20.732,12.378
-0.765,1.135,0.111,4.939,-22.988,26.829
-0.837,1.239,0.149,4.268,-23.659,38.293
-0.761,1.288,0.19,2.439,-28.72,43.11
-0.686,1.317,0.231,1.159,-40.488,46.159
-0.615,1.326,0.276,0.854,-50.061,46.159
-0.468,1.331,0.332,0.061,-51.159,41.89
-0.298,1.307,0.379,0.0,-51.951,34.451
-0.218,1.241,0.453,3.293,-56.463,27.561
-0.348,1.133,0.446,7.622,-58.78,26.463
-0.448,1.058,0.346,8.72,-47.805,29.085
