acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.397,0.93,0.245,18.72,22.744,34.817
-0.355,1.072,0.158,10.549,14.085,37.805
-0.452,1.129,0.065,1.951,-5.061,39.329
-0.597,1.108,0.033,-3.049,-29.39,40.671
-0.628,1.028,0.099,-5.061,-48.293,39.512
-0.576,0.925,0.133,-2.988,-52.378,35.671
-0.41,0.81,0.255,5.671,-35.61,30.183
-0.196,0.665,0.393,17.866,-3.598,21.89
-0.097,0.564,0.443,26.707,25.854,15.183
-0.13,0.585,0.352,26.524,37.805,12.317
-0.248,0.775,0.159,19.085,35.427,12.5
-0.37,0.998,-0.044,5.122,25.732,12.378
-0.425,1.148,-0.162,-6.341,14.695,10.488
-0.374,1.167,-0.147,-12.134,14.146,9.146
-0.281,1.085,-0.082,-14.878,33.049,8.841
-0.171,1.009,-0.021,-14.573,72.744,7.866
-0.005,0.929,0.08,-12.073,121.951,0.671
0.085,0.828,0.18,-6.829,157.256,-10.732
0.035,0.702,0.298,2.012,162.805,-20.366
-0.104,0.57,0.279,10.0,146.342,-27.195
-0.284,0.493,0.16,13.476,115.0,-35.366
-0.381,0.509,0.076,14.39,77.256,-46.646
-0.378,0.576,-0.017,13.598,49.207,-55.0
-0.31,0.635,-0.109,12.134,38.902,-57.561
-0.281,0.706,-0.149,8.293,39.512,-56.707
-0.322,0.798,-0.153,5.244,40.427,-55.122
-0.371,0.851,-0.12,4.207,38.72,-50.915
-0.416,0.854,-0.099,4.329,40.61,-41.89
-0.482,0.824,-0.08,4.817,47.439,-33.171
-0.483,0.783,-0.036,5.976,54.634,-26.768
-0.487,0.745,-0.021,5.915,53.171,-20.61
-0.536,0.718,-0.039,6.524,36.22,-15.793
-0.603,0.697,-0.041,8.171,7.561,-12.012
-0.639,0.674,-0.025,8.963,-19.817,-9.146
-0.649,0.661,-0.018,12.073,-35.244,-6.646
-0.625,0.691,0.009,15.671,-32.805,-2.805
-0.545,0.782,0.025,16.829,-21.585,-0.671
-0.435,0.907,0.061,16.463,-10.183,2.195
-0.438,0.989,0.062,13.293,-9.939,5.427
-0.542,1.069,0.066,9.085,-25.732,5.915
-0.623,1.132,0.104,4.207,-49.512,6.098
-0.673,1.196,0.08,-2.012,-62.744,8.78
-0.645,1.283,0.087,-7.317,-51.098,14.085
-0.423,1.317,0.184,-13.293,-21.28,13.72
-0.274,1.319,0.3,-15.793,0.488,12.195
-0.376,1.287,0.39,-14.268,-1.28,14.878
-0.548,1.252,0.441,-10.793,-13.537,15.915
-0.539,1.222,0.452,-7.134,-19.512,10.549
-0.389,1.172,0.42,-3.11,-22.744,2.195
