acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.461,0.705,0.418,26.22,19.085,24.329
-0.531,0.791,0.246,23.171,2.378,25.732
-0.481,0.931,0.077,13.963,1.951,25.183
-0.332,1.048,-0.031,5.976,13.415,21.768
-0.211,1.062,-0.054,-0.671,28.537,19.268
-0.191,1.018,-0.047,-5.732,39.634,17.988
-0.216,0.932,-0.029,-6.646,51.402,17.317
-0.232,0.82,0.054,-4.695,70.915,14.634
-0.188,0.718,0.117,-0.244,88.049,5.183
-0.142,0.628,0.201,9.512,97.073,-3.11
-0.139,0.521,0.284,18.476,95.732,-8.415
-0.155,0.468,0.25,23.598,86.098,-13.537
-0.221,0.529,0.155,24.451,74.451,-18.171
-0.286,0.665,0.052,23.476,72.256,-21.707
-0.258,0.789,-0.036,19.207,82.866,-27.744
-0.157,0.857,-0.08,14.085,93.841,-38.232
-0.097,0.854,-0.053,11.524,91.037,-48.11
-0.163,0.804,-0.042,9.512,76.646,-52.805
-0.294,0.776,-0.068,6.463,62.561,-55.549
-0.348,0.771,-0.096,3.11,50.793,-59.207
-0.375,0.77,-0.091,0.488,36.28,-60.122
-0.478,0.769,-0.093,-0.366,14.085,-58.598
-0.56,0.796,-0.046,-2.622,-13.72,-54.329
-0.652,0.866,-0.043,-6.951,-43.72,-43.598
-0.805,0.938,-0.039,-9.634,-72.073,-29.207
-0.901,1.016,0.035,-7.561,-81.341,-11.341
-0.911,1.116,0.19,-5.854,-63.902,9.085
-0.801,1.205,0.3,-6.524,-42.622,22.744
-0.749,1.257,0.352,-3.476,-34.817,37.561
-0.742,1.253,0.378,-2.012,-29.39,53.476
-0.69,1.271,0.362,-4.756,-28.11,59.756
-0.536,1.294,0.358,-6.585,-38.415,58.537
-0.415,1.25,0.36,-6.829,-58.537,55.061
-0.354,1.182,0.354,-4.39,-79.573,47.134
-0.217,1.129,0.408,0.671,-86.463,38.78
-0.083,1.077,0.446,1.28,-76.22,33.78
-0.04,1.101,0.309,1.585,-56.159,32.439
0.027,1.188,0.193,0.061,-25.122,31.585
0.101,1.237,0.226,-2.622,9.39,27.866
0.135,1.15,0.223,-5.732,30.854,19.146
0.061,1.03,0.136,-7.134,32.744,11.037
0.005,0.952,0.125,-10.244,37.866,1.646
0.063,0.871,0.127,-10.976,55.427,-15.305
0.182,0.708,0.133,-6.341,78.049,-31.951
0.154,0.5,0.162,-0.244,91.707,-41.829
-0.046,0.34,0.072,3.598,99.451,-44.085
