acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.339,1.011,0.109,16.829,-15.854,41.646
-0.314,1.131,0.082,3.72,-4.146,44.878
-0.395,1.173,0.074,-5.122,-1.89,48.293
-0.425,1.125,0.103,-12.012,0.427,49.512
-0.334,1.053,0.141,-14.695,11.402,43.963
-0.169,0.951,0.195,-10.122,34.39,35.244
0.007,0.808,0.364,0.366,66.829,25.488
0.119,0.654,0.517,10.61,96.585,11.768
0.125,0.531,0.501,20.061,117.195,0.671
0.051,0.465,0.343,25.305,132.256,-4.939
-0.09,0.518,0.222,25.488,143.902,-9.695
-0.196,0.635,0.135,23.841,151.829,-16.768
-0.238,0.689,0.051,21.28,151.646,-24.085
-0.245,0.692,0.013,17.5,139.085,-31.524
-0.265,0.701,-0.011,13.72,122.683,-38.049
-0.308,0.717,-0.063,9.024,110.183,-44.451
-0.252,0.725,-0.069,5.732,97.317,-54.268
-0.218,0.714,-0.046,5.061,83.598,-60.854
-0.337,0.679,-0.042,2.134,67.134,-61.524
-0.488,0.671,-0.05,-0.061,47.866,-59.634
-0.62,0.667,-0.035,-1.159,26.829,-55.244
-0.774,0.648,-0.018,-1.037,-2.439,-49.817
-0.872,0.699,0.01,-2.439,-30.427,-39.939
-0.947,0.803,0.039,-3.171,-41.159,-25.488
-0.92,0.898,0.126,-0.915,-32.378,-11.585
-0.753,0.975,0.225,1.159,-16.22,-0.061
-0.703,1.081,0.317,2.927,-10.671,13.232
-0.744,1.167,0.386,3.78,-19.451,27.5
-0.773,1.215,0.411,4.634,-40.366,36.159
-0.792,1.236,0.458,5.488,-65.549,40.244
-0.718,1.232,0.487,5.61,-82.988,41.646
-0.565,1.207,0.493,7.805,-90.793,41.159
-0.411,1.182,0.52,9.268,-90.244,37.683
-0.266,1.174,0.516,10.183,-81.341,33.841
-0.159,1.167,0.489,9.695,-62.927,34.451
-0.152,1.155,0.424,4.329,-46.463,35.427
-0.21,1.179,0.295,-2.5,-37.256,35.366
-0.278,1.206,0.158,-9.451,-26.402,36.585
-0.202,1.189,0.146,-14.695,-9.634,32.195
-0.088,1.089,0.18,-15.61,1.402,23.72
-0.077,0.96,0.174,-15.488,2.378,18.354
-0.131,0.909,0.155,-14.573,7.5,14.756
-0.079,0.896,0.17,-13.049,26.037,7.744
0.058,0.82,0.268,-5.549,43.354,-1.524
0.104,0.657,0.379,6.402,55.976,-6.524
-0.008,0.519,0.373,14.146,70.549,-6.159
-0.15,0.493,0.226,16.829,84.024,-7.988
-0.211,0.545,0.081,16.646,96.098,-12.5
-0.223,0.586,-0.018,13.232,106.037,-17.805
-0.218,0.591,-0.092,8.902,107.439,-25.366
-0.247,0.583,-0.107,5.549,102.5,-32.988
-0.28,0.561,-0.08,4.207,97.561,-39.268
-0.311,0.53,-0.057,4.39,96.341,-45.732
-0.331,0.521,-0.056,4.939,98.598,-51.768
-0.328,0.559,-0.104,3.963,96.524,-58.293
-0.338,0.623,-0.116,2.622,85.976,-63.598
-0.407,0.651,-0.1,2.5,67.927,-64.512
-0.523,0.63,-0.041,4.573,43.537,-61.768
-0.637,0.609,0.012,6.585,17.195,-56.646
-0.742,0.668,-0.007,3.78,-3.11,-47.988
-0.864,0.8,-0.051,0.427,-22.683,-37.805
-0.991,0.89,0.015,0.366,-40.549,-26.402
-1.025,0.915,0.057,-0.244,-48.72,-15.549
-0.963,0.94,0.104,0.61,-54.634,-5.915
-0.905,0.969,0.216,4.512,-57.866,6.402
-0.901,0.997,0.254,6.829,-57.073,18.902
-0.84,1.082,0.264,6.89,-57.317,28.659
-0.757,1.216,0.313,5.671,-61.402,37.195
-0.689,1.298,0.352,3.415,-71.037,43.902
-0.628,1.293,0.359,2.805,-86.829,44.939
-0.543,1.25,0.376,5.915,-93.902,45.0
-0.396,1.208,0.442,8.598,-88.11,42.256
