acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.413,0.144,0.092,27.805,124.573,11.463
-0.571,0.365,-0.117,23.415,114.817,8.232
-0.615,0.528,-0.249,15.427,101.098,6.159
-0.595,0.625,-0.266,5.793,90.183,-1.28
-0.597,0.655,-0.203,-1.098,75.488,-7.683
-0.709,0.74,-0.123,-7.805,43.72,-5.0
-0.826,0.895,0.032,-13.354,-7.317,-1.89
-0.903,1.071,0.165,-15.793,-57.256,3.598
-0.911,1.263,0.315,-17.805,-92.012,12.744
-0.769,1.408,0.555,-16.341,-105.0,19.634
-0.56,1.466,0.719,-12.012,-89.939,25.061
-0.398,1.489,0.737,-8.11,-54.512,32.744
-0.314,1.519,0.675,-6.951,-23.659,40.122
-0.333,1.525,0.615,-8.841,-16.28,40.183
-0.363,1.429,0.571,-10.0,-27.561,38.598
-0.313,1.296,0.533,-10.549,-43.963,34.329
-0.211,1.152,0.471,-9.634,-55.854,26.463
-0.122,1.022,0.455,-6.22,-61.646,21.524
0.0,0.955,0.398,-2.073,-51.037,19.512
0.167,0.926,0.223,-1.28,-21.463,15.976
0.179,0.799,0.166,0.549,10.549,4.268
0.094,0.573,0.17,7.012,35.61,-6.402
0.116,0.436,0.156,15.061,63.11,-11.585
0.059,0.465,-0.021,18.476,92.744,-12.866
-0.055,0.513,-0.107,15.244,106.037,-20.976
-0.175,0.465,-0.144,13.963,103.171,-29.756
-0.253,0.462,-0.233,9.939,92.256,-34.451
-0.301,0.459,-0.266,4.268,79.024,-41.951
-0.31,0.419,-0.27,2.012,70.976,-49.207
-0.318,0.453,-0.238,-0.732,67.073,-52.5
-0.356,0.523,-0.175,-3.232,65.915,-55.732
-0.414,0.586,-0.123,-4.817,65.976,-57.012
-0.556,0.634,-0.002,-3.537,59.085,-54.878
-0.727,0.641,0.114,1.585,44.512,-50.61
-0.786,0.672,0.106,4.512,27.805,-44.878
-0.891,0.797,0.094,3.902,10.427,-34.39
-1.004,0.926,0.098,2.683,-9.329,-21.28
-1.002,1.056,0.155,0.427,-21.159,-6.402
-0.954,1.16,0.214,-0.793,-24.756,8.476
-0.933,1.256,0.293,-1.951,-28.659,24.451
-0.909,1.333,0.4,-1.829,-38.049,38.72
-0.843,1.384,0.467,-2.073,-47.439,49.817
-0.703,1.407,0.471,-4.512,-56.524,56.951
-0.556,1.417,0.453,-8.598,-66.585,59.939
-0.401,1.401,0.432,-11.768,-75.976,59.756
-0.238,1.331,0.405,-14.329,-77.195,55.671
-0.086,1.221,0.396,-15.122,-70.793,50.183
0.038,1.108,0.41,-13.232,-62.195,43.171
0.127,1.021,0.391,-9.817,-48.11,34.146
0.181,0.953,0.331,-7.927,-31.28,23.415
0.179,0.824,0.284,-5.244,-21.098,6.89
0.171,0.636,0.26,1.159,-10.488,-8.598
0.23,0.513,0.247,9.085,15.061,-17.134
0.25,0.512,0.165,15.732,55.244,-22.378
0.159,0.533,0.057,17.073,92.012,-31.89
-0.03,0.467,-0.059,17.622,114.268,-40.0
-0.239,0.44,-0.294,13.902,120.61,-43.171
-0.386,0.487,-0.427,3.659,110.0,-48.537
-0.504,0.488,-0.399,-3.72,89.878,-52.561
-0.587,0.477,-0.336,-8.902,66.341,-52.866
-0.68,0.469,-0.146,-10.427,45.244,-52.195
-0.755,0.475,0.1,-3.841,30.061,-47.012
-0.794,0.54,0.209,3.476,21.28,-38.293
-0.903,0.648,0.165,7.073,11.707,-28.659
