acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.457,1.364,0.333,-32.927,-45.61,36.22
-0.397,1.291,0.415,-34.329,-62.195,35.0
-0.279,1.189,0.461,-32.378,-74.634,31.22
-0.118,1.083,0.487,-26.341,-76.951,24.024
-0.012,0.996,0.517,-17.378,-66.28,18.11
-0.006,0.917,0.533,-7.805,-49.329,13.476
-0.008,0.869,0.489,1.341,-25.183,9.512
0.036,0.881,0.338,5.854,6.28,7.073
-0.002,0.88,0.185,5.61,30.366,1.951
-0.116,0.813,0.083,3.963,37.317,-5.0
-0.168,0.737,0.017,1.463,33.78,-12.195
-0.144,0.687,-0.036,-0.671,27.378,-18.841
-0.132,0.649,-0.046,-1.463,19.939,-24.573
-0.146,0.615,-0.009,-1.585,14.512,-29.634
-0.114,0.581,0.035,0.0,19.39,-33.963
-0.091,0.542,0.052,3.476,35.244,-37.439
-0.15,0.532,-0.012,5.366,52.073,-39.146
-0.215,0.544,-0.059,6.402,64.207,-40.732
-0.285,0.581,-0.089,6.951,72.927,-41.463
-0.369,0.633,-0.097,4.939,74.207,-42.744
-0.453,0.65,-0.116,2.622,65.122,-43.476
-0.514,0.686,-0.097,0.0,48.171,-42.012
-0.604,0.729,-0.019,-1.463,27.5,-38.841
-0.669,0.748,0.022,-2.561,3.841,-34.878
-0.715,0.792,0.052,-3.11,-19.512,-29.39
-0.768,0.852,0.101,-2.5,-36.402,-19.512
-0.75,0.94,0.152,-3.171,-44.695,-10.305
-0.722,0.978,0.244,-1.098,-45.244,-2.561
-0.73,1.002,0.275,1.585,-39.512,6.585
-0.7,1.024,0.277,2.927,-34.634,14.878
-0.683,1.039,0.254,3.902,-31.22,22.988
-0.647,1.081,0.214,2.622,-30.183,31.28
-0.591,1.125,0.229,-0.366,-33.11,36.28
-0.56,1.139,0.245,-3.049,-41.037,39.268
-0.542,1.155,0.249,-6.768,-53.841,41.524
-0.489,1.171,0.268,-11.28,-66.463,41.951
-0.386,1.178,0.282,-15.061,-72.256,40.976
-0.22,1.172,0.314,-16.829,-67.134,38.659
-0.089,1.135,0.371,-15.366,-55.915,35.366
-0.022,1.09,0.413,-12.012,-43.72,30.549
0.029,1.033,0.452,-7.439,-31.402,23.232
0.064,0.965,0.493,-1.22,-18.659,16.341
0.073,0.923,0.463,3.841,-4.634,8.415
0.059,0.888,0.396,7.073,10.061,-0.488
0.04,0.846,0.313,9.939,23.171,-7.744
0.0,0.806,0.228,12.256,33.537,-15.061
-0.063,0.77,0.145,14.512,43.171,-21.28
-0.152,0.734,0.076,14.878,50.061,-25.793
-0.24,0.687,0.049,14.329,53.171,-31.098
-0.302,0.633,-0.012,13.537,52.622,-34.817
-0.332,0.62,-0.076,10.671,48.78,-36.89
-0.362,0.627,-0.093,6.585,42.744,-38.598
-0.405,0.619,-0.097,3.171,32.622,-40.549
-0.438,0.614,-0.1,-0.183,18.598,-42.256
-0.457,0.625,-0.074,-1.768,6.524,-42.012
-0.483,0.657,0.01,-2.5,-3.902,-40.671
-0.525,0.675,0.076,-2.134,-14.817,-39.329
-0.55,0.729,0.106,-1.341,-22.744,-34.878
-0.594,0.782,0.184,1.646,-25.915,-27.744
-0.614,0.828,0.213,4.817,-25.549,-21.341
-0.623,0.871,0.253,7.561,-20.915,-14.329
-0.595,0.91,0.265,11.159,-12.683,-6.646
-0.577,0.953,0.223,13.659,-5.244,0.427
-0.609,1.015,0.2,14.024,-3.293,7.622
-0.652,1.069,0.2,12.317,-6.707,15.0
-0.668,1.102,0.191,9.268,-13.11,21.585
-0.649,1.132,0.187,5.61,-23.11,27.805
-0.619,1.162,0.202,1.098,-35.0,33.598
-0.552,1.197,0.219,-4.268,-43.72,38.78
-0.438,1.233,0.233,-9.024,-45.061,43.171
-0.348,1.245,0.251,-12.805,-39.573,45.122
-0.287,1.211,0.276,-15.122,-33.11,45.366
-0.24,1.16,0.3,-16.463,-29.39,43.476
-0.194,1.099,0.32,-16.28,-28.841,38.476
-0.114,1.035,0.349,-14.146,-27.683,30.427
-0.012,0.96,0.414,-9.512,-23.171,21.28
0.085,0.877,0.472,-2.012,-13.841,12.866
0.124,0.813,0.463,5.854,2.622,6.159
0.077,0.787,0.374,11.463,22.561,0.061
-0.007,0.763,0.261,15.061,40.671,-6.646
-0.086,0.73,0.148,16.951,55.671,-12.561
-0.167,0.693,0.061,16.402,65.427,-18.049
-0.231,0.643,-0.018,15.305,69.207,-23.354
-0.296,0.608,-0.081,13.476,64.207,-27.561
-0.359,0.585,-0.091,10.427,50.915,-32.378
-0.408,0.563,-0.111,6.707,33.963,-35.549
-0.445,0.556,-0.136,1.951,17.378,-37.622
-0.462,0.568,-0.133,-2.439,4.512,-39.817
-0.486,0.597,-0.095,-5.671,-3.78,-40.61
-0.524,0.629,-0.014,-6.829,-8.415,-40.061
-0.545,0.669,0.047,-6.159,-9.451,-37.927
-0.565,0.755,0.075,-5.0,-8.476,-34.085
-0.609,0.857,0.125,-4.146,-6.768,-28.293
-0.664,0.933,0.195,-2.805,-3.72,-20.61
-0.702,0.988,0.256,-0.549,-1.707,-11.463
-0.724,1.054,0.308,1.22,-2.683,-1.707
-0.759,1.123,0.327,2.256,-9.146,9.512
-0.751,1.193,0.349,2.134,-19.512,20.671
-0.681,1.256,0.375,1.646,-30.549,29.451
-0.605,1.28,0.403,1.402,-41.89,36.22
