acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.157,0.565,0.458,-1.707,35.732,15.61
-0.122,0.513,0.528,5.61,44.085,12.195
-0.163,0.538,0.497,10.305,47.866,8.354
-0.222,0.622,0.403,9.817,47.683,3.415
-0.26,0.68,0.328,7.439,42.683,-1.524
-0.301,0.695,0.235,6.28,32.988,-4.146
-0.335,0.747,0.175,2.012,25.793,-6.037
-0.282,0.822,0.237,-6.768,23.232,-6.951
-0.228,0.843,0.334,-13.902,22.134,-6.585
-0.229,0.826,0.36,-15.61,21.463,-6.585
-0.263,0.839,0.301,-11.524,19.329,-5.122
-0.281,0.907,0.226,-7.927,18.902,-2.561
-0.283,0.971,0.201,-3.72,19.39,0.0
-0.293,0.989,0.226,1.402,19.024,2.683
-0.293,0.981,0.287,6.28,17.317,4.39
-0.295,0.951,0.339,7.988,14.512,5.671
-0.302,0.942,0.41,3.72,12.134,6.768
-0.346,0.901,0.424,0.854,9.085,6.402
-0.377,0.816,0.333,1.646,7.256,7.622
-0.378,0.794,0.232,-0.915,7.378,9.878
-0.362,0.819,0.263,-5.0,7.134,10.122
-0.341,0.766,0.304,-6.341,5.244,10.122
-0.319,0.737,0.274,-6.89,0.244,10.488
-0.318,0.78,0.253,-9.024,-9.634,9.451
-0.353,0.812,0.236,-9.512,-22.683,6.951
-0.323,0.823,0.183,-6.037,-32.622,6.28
-0.211,0.872,0.143,-3.11,-31.646,5.854
-0.125,0.915,0.147,-3.598,-25.061,5.427
-0.078,0.921,0.195,-2.195,-17.744,4.146
-0.012,0.918,0.236,-2.927,-9.756,2.378
0.022,0.929,0.269,-6.341,-1.159,-1.829
-0.011,0.887,0.267,-7.988,7.012,-7.012
-0.066,0.847,0.244,-9.39,15.671,-11.524
-0.088,0.853,0.237,-10.732,24.939,-14.39
-0.092,0.86,0.276,-12.927,33.354,-15.793
-0.125,0.855,0.316,-14.085,37.805,-17.378
-0.185,0.845,0.304,-12.5,38.049,-17.378
-0.224,0.875,0.313,-11.646,40.793,-16.829
-0.233,0.895,0.313,-10.976,45.244,-15.976
-0.274,0.881,0.254,-7.683,50.427,-13.78
-0.263,0.913,0.282,-8.415,60.366,-11.89
-0.278,0.914,0.259,-10.854,66.829,-10.793
-0.346,0.891,0.241,-10.0,62.805,-10.244
-0.417,0.875,0.257,-7.256,49.878,-11.037
-0.466,0.85,0.248,-2.805,30.61,-11.037
