acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.048,0.644,0.282,-29.268,84.756,4.634
-0.097,0.624,0.259,-26.341,89.146,-1.463
-0.106,0.582,0.264,-23.537,96.646,-5.0
-0.102,0.605,0.284,-23.049,102.866,-7.988
-0.158,0.622,0.265,-21.28,103.781,-11.951
-0.215,0.612,0.233,-18.78,102.012,-15.854
-0.235,0.607,0.192,-15.488,100.549,-19.817
-0.223,0.63,0.167,-12.927,102.683,-24.207
-0.223,0.631,0.121,-10.122,107.439,-28.415
-0.221,0.645,0.108,-10.0,110.732,-32.256
-0.236,0.671,0.125,-11.037,109.939,-36.22
-0.271,0.655,0.158,-10.488,105.671,-39.817
-0.294,0.653,0.211,-9.146,100.305,-43.11
-0.356,0.676,0.227,-6.89,93.415,-46.037
-0.425,0.7,0.229,-2.927,87.927,-47.134
-0.454,0.763,0.239,0.488,87.256,-45.183
-0.564,0.829,0.237,3.415,82.5,-40.488
-0.694,0.856,0.25,9.39,67.561,-35.305
-0.688,0.896,0.279,14.573,50.427,-31.159
-0.708,0.943,0.335,16.951,31.524,-27.683
-0.746,0.938,0.388,21.89,8.049,-23.78
-0.708,0.932,0.401,27.378,-10.671,-18.963
-0.634,0.963,0.425,26.037,-24.634,-14.939
-0.626,0.984,0.428,24.634,-37.988,-12.439
-0.6,0.969,0.419,25.488,-44.451,-10.244
-0.563,0.962,0.387,24.146,-42.5,-7.317
-0.571,0.979,0.356,20.915,-40.61,-4.268
-0.606,0.991,0.343,19.512,-43.049,-1.89
-0.587,0.989,0.347,18.171,-45.366,1.037
-0.524,0.974,0.36,17.256,-43.049,5.061
-0.487,0.96,0.353,17.561,-38.659,10.183
-0.462,0.979,0.343,16.707,-36.768,15.732
-0.44,0.995,0.337,15.915,-36.159,20.793
-0.421,0.991,0.328,13.659,-34.512,24.695
-0.394,0.982,0.371,8.902,-32.561,27.378
-0.416,0.943,0.397,5.854,-36.28,27.988
-0.425,0.912,0.382,3.659,-40.793,28.171
-0.356,0.921,0.346,0.793,-37.988,29.451
-0.308,0.929,0.317,-2.073,-29.146,31.463
-0.264,0.929,0.312,-4.634,-17.622,32.805
-0.218,0.933,0.304,-7.012,-6.89,32.683
-0.22,0.925,0.271,-9.695,-1.28,32.5
-0.214,0.898,0.248,-12.195,0.122,33.049
-0.187,0.882,0.26,-13.598,0.671,32.805
-0.179,0.864,0.246,-12.622,2.439,32.744
-0.126,0.876,0.238,-14.573,9.085,32.073
-0.117,0.885,0.24,-16.951,16.646,30.427
-0.112,0.884,0.238,-20.427,24.268,27.5
-0.104,0.88,0.266,-26.098,30.671,23.049
-0.127,0.854,0.282,-29.878,34.573,18.598
-0.108,0.825,0.276,-31.524,41.159,14.024
-0.079,0.819,0.236,-33.78,49.39,10.366
-0.112,0.821,0.176,-34.451,55.305,6.159
-0.158,0.796,0.132,-33.232,60.305,2.073
-0.174,0.785,0.167,-34.817,67.195,-1.524
-0.244,0.766,0.202,-34.207,70.976,-4.146
-0.284,0.725,0.208,-32.073,73.963,-5.488
-0.278,0.715,0.211,-30.061,76.28,-5.732
-0.288,0.714,0.189,-26.463,74.878,-6.768
-0.305,0.704,0.174,-20.488,69.268,-8.171
-0.292,0.717,0.163,-15.549,64.634,-10.061
-0.257,0.734,0.187,-12.927,64.024,-12.988
-0.271,0.713,0.19,-9.695,62.134,-16.098
-0.313,0.701,0.184,-5.976,58.72,-19.756
-0.308,0.709,0.178,-3.598,56.89,-24.024
-0.326,0.724,0.168,-1.89,54.512,-28.476
-0.363,0.738,0.157,0.61,50.976,-31.707
-0.389,0.754,0.141,3.049,48.232,-33.598
-0.402,0.763,0.167,4.451,46.768,-34.573
-0.446,0.767,0.19,6.28,45.427,-35.305
-0.476,0.772,0.19,6.28,44.939,-34.939
