acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.277,0.762,0.411,-23.841,58.232,39.268
-0.222,0.725,0.506,-21.402,53.537,34.939
-0.222,0.651,0.548,-16.159,47.378,29.695
-0.25,0.602,0.536,-7.256,37.988,23.537
-0.219,0.589,0.529,0.671,28.78,17.683
-0.208,0.604,0.5,7.439,22.988,11.463
-0.17,0.644,0.435,10.183,23.598,5.854
-0.147,0.679,0.349,10.366,28.354,0.244
-0.142,0.688,0.271,9.634,31.768,-5.793
-0.125,0.726,0.21,5.61,35.0,-9.268
-0.022,0.795,0.258,-4.451,46.098,-12.927
0.03,0.807,0.289,-14.512,56.341,-19.268
-0.008,0.735,0.235,-19.268,63.902,-24.878
0.028,0.75,0.186,-26.463,74.939,-29.756
0.007,0.796,0.158,-31.951,85.671,-36.098
-0.05,0.788,0.147,-33.841,90.549,-41.768
-0.07,0.759,0.157,-31.341,91.829,-44.939
-0.086,0.741,0.206,-27.195,96.768,-46.585
-0.107,0.729,0.285,-25.0,104.573,-46.159
-0.221,0.704,0.313,-21.098,108.476,-45.061
-0.359,0.675,0.322,-19.329,107.317,-42.988
-0.52,0.671,0.296,-16.402,95.122,-41.585
-0.622,0.679,0.254,-10.0,75.793,-39.878
-0.589,0.731,0.226,-5.366,60.244,-37.378
-0.55,0.773,0.175,-2.561,49.451,-33.415
-0.531,0.826,0.176,-3.11,40.976,-29.207
-0.564,0.836,0.222,-2.561,31.159,-26.768
-0.595,0.83,0.283,-0.793,19.268,-26.098
-0.604,0.823,0.313,2.866,7.134,-25.671
-0.584,0.818,0.381,5.122,-4.268,-24.268
-0.615,0.807,0.45,9.39,-19.207,-22.744
-0.625,0.803,0.468,14.39,-33.293,-20.488
-0.581,0.861,0.433,16.463,-43.415,-17.866
-0.57,0.908,0.408,16.951,-49.512,-14.878
-0.526,0.937,0.415,16.159,-48.537,-10.854
-0.534,0.969,0.398,14.329,-44.695,-7.134
-0.564,0.989,0.393,13.537,-42.866,-4.329
-0.562,0.966,0.407,15.244,-42.561,-1.341
-0.538,0.955,0.438,17.195,-43.476,2.317
-0.533,0.969,0.426,17.744,-47.256,6.402
-0.537,0.958,0.426,19.695,-53.171,10.0
-0.481,0.967,0.426,19.329,-54.207,13.841
-0.459,0.988,0.399,17.012,-51.585,16.829
-0.448,0.966,0.396,15.488,-49.146,19.451
-0.395,0.937,0.414,14.207,-46.768,21.829
-0.343,0.931,0.431,12.134,-42.744,24.146
-0.31,0.932,0.426,9.817,-38.049,25.427
-0.296,0.932,0.384,6.341,-33.537,26.951
-0.301,0.938,0.368,1.037,-31.341,27.561
-0.317,0.924,0.385,-4.695,-30.122,27.012
-0.306,0.911,0.392,-11.707,-25.305,26.28
-0.287,0.893,0.389,-18.293,-18.841,25.122
-0.251,0.857,0.37,-22.988,-10.671,25.427
-0.18,0.847,0.346,-26.829,-1.402,26.098
-0.149,0.858,0.31,-27.988,4.024,26.22
-0.156,0.845,0.236,-24.512,8.171,26.22
-0.107,0.852,0.222,-23.293,16.402,25.488
-0.068,0.87,0.269,-24.939,26.524,22.073
-0.076,0.853,0.263,-27.744,36.28,17.5
-0.074,0.823,0.229,-32.012,46.89,13.232
-0.048,0.795,0.242,-36.829,59.024,8.902
-0.078,0.752,0.274,-40.366,71.463,4.573
-0.145,0.701,0.281,-41.707,82.378,0.854
-0.246,0.649,0.236,-39.878,84.207,-0.854
-0.358,0.647,0.243,-35.427,77.012,-3.049
-0.429,0.664,0.255,-29.146,66.646,-6.951
-0.41,0.665,0.221,-23.354,57.866,-9.329
-0.364,0.698,0.226,-19.451,52.927,-11.646
-0.301,0.731,0.269,-18.841,51.829,-14.939
-0.304,0.717,0.278,-16.463,50.0,-18.598
-0.308,0.687,0.263,-12.195,47.561,-23.232
-0.291,0.697,0.267,-8.659,44.268,-28.78
-0.284,0.698,0.243,-5.427,41.951,-34.512
-0.246,0.681,0.193,-3.049,41.768,-39.329
-0.248,0.699,0.179,-1.28,43.841,-43.963
-0.255,0.729,0.17,-2.134,51.646,-47.5
-0.298,0.723,0.186,-4.085,61.829,-49.512
-0.409,0.71,0.24,-4.451,65.427,-50.244
-0.514,0.72,0.284,-3.171,59.756,-51.22
-0.617,0.731,0.338,-0.427,47.317,-52.561
-0.679,0.745,0.346,4.878,37.012,-51.89
-0.735,0.779,0.384,8.293,32.378,-47.561
-0.855,0.806,0.431,10.732,22.927,-40.427
-0.893,0.826,0.468,13.354,7.134,-33.963
-0.875,0.848,0.444,18.171,-9.451,-29.329
-0.812,0.859,0.397,22.561,-21.707,-24.329
-0.766,0.883,0.374,25.305,-31.098,-19.146
-0.709,0.896,0.403,27.256,-35.915,-13.537
-0.67,0.897,0.417,29.024,-37.5,-9.207
-0.639,0.882,0.415,30.671,-35.671,-4.451
-0.607,0.899,0.379,29.817,-32.5,0.427
-0.658,0.933,0.34,29.451,-33.902,3.415
-0.65,0.92,0.355,30.732,-38.537,6.341
-0.604,0.916,0.39,31.524,-43.171,10.122
-0.59,0.917,0.388,30.671,-50.183,14.39
-0.588,0.961,0.443,25.122,-59.512,15.854
-0.576,0.971,0.468,22.256,-67.622,14.573
-0.528,0.929,0.413,21.402,-69.634,15.549
-0.458,0.94,0.409,16.098,-63.902,17.805
-0.478,0.957,0.413,9.939,-59.39,18.537
-0.5,0.921,0.397,6.951,-58.537,20.305
-0.452,0.899,0.401,4.756,-55.488,23.415
-0.383,0.912,0.44,0.549,-48.415,26.22
-0.375,0.914,0.465,-3.415,-42.256,27.927
-0.396,0.885,0.413,-4.024,-40.793,29.878
-0.358,0.884,0.389,-4.512,-37.988,31.22
-0.303,0.869,0.402,-6.037,-31.28,31.707
-0.281,0.834,0.385,-7.073,-25.305,33.72
-0.289,0.842,0.361,-8.232,-21.22,34.451
-0.293,0.83,0.354,-10.122,-17.256,34.695
-0.305,0.806,0.353,-10.976,-14.085,34.878
-0.308,0.803,0.371,-12.317,-9.024,34.512
-0.257,0.791,0.377,-14.573,-1.22,34.573
-0.236,0.776,0.366,-15.488,4.512,34.573
-0.224,0.786,0.382,-17.073,8.537,32.927
-0.236,0.769,0.36,-17.195,9.329,31.037
-0.225,0.763,0.359,-17.378,11.22,28.841
-0.222,0.771,0.351,-18.11,15.793,25.854
-0.223,0.767,0.311,-18.293,23.415,23.11
-0.197,0.775,0.291,-19.512,33.171,20.732
-0.21,0.783,0.257,-20.427,43.476,18.232
-0.204,0.79,0.255,-23.049,53.415,15.976
-0.204,0.797,0.286,-26.341,60.244,13.78
-0.238,0.762,0.327,-26.829,64.024,10.854
-0.273,0.718,0.339,-24.573,65.671,8.78
-0.306,0.702,0.319,-19.817,65.61,7.012
-0.308,0.709,0.304,-14.939,65.915,5.244
-0.302,0.701,0.286,-10.366,66.098,4.573
-0.3,0.694,0.271,-5.427,64.024,4.146
