acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.227,0.321,0.234,-2.439,49.634,10.122
-0.247,0.31,0.279,6.22,39.695,5.0
-0.349,0.313,0.321,12.744,36.28,3.841
-0.464,0.347,0.297,13.72,40.427,5.305
-0.532,0.427,0.228,9.268,45.427,7.317
-0.661,0.53,0.122,3.11,46.037,9.573
-0.878,0.621,0.017,-6.646,35.61,10.488
-1.043,0.726,-0.075,-17.561,16.22,9.573
-1.107,0.836,-0.041,-25.976,-3.78,11.037
-1.067,0.939,0.081,-30.915,-21.646,15.183
-1.004,1.051,0.24,-33.72,-40.0,20.244
-0.915,1.159,0.426,-32.256,-53.537,24.817
-0.776,1.217,0.608,-26.646,-55.366,27.561
-0.573,1.21,0.778,-18.232,-47.134,27.988
-0.354,1.165,0.893,-8.232,-35.793,26.463
-0.177,1.139,0.964,1.524,-25.671,26.098
-0.073,1.14,0.976,7.927,-21.22,24.573
-0.002,1.126,0.957,14.329,-17.134,20.488
0.039,1.096,0.938,19.512,-9.268,17.439
0.121,1.05,0.824,20.732,1.402,15.732
0.147,1.012,0.639,19.207,18.78,16.951
0.088,1.001,0.342,16.829,32.988,12.866
0.053,0.939,0.109,15.671,36.89,2.988
0.007,0.834,0.052,16.098,36.28,-7.317
0.017,0.698,0.089,17.195,38.11,-16.585
0.085,0.576,0.151,18.598,43.902,-23.232
0.143,0.499,0.171,19.573,52.5,-25.732
0.163,0.463,0.107,20.549,63.354,-25.488
0.11,0.469,-0.048,17.988,70.183,-27.5
-0.019,0.518,-0.235,12.256,70.61,-31.341
-0.179,0.549,-0.342,2.561,65.0,-34.207
-0.349,0.589,-0.401,-8.232,54.268,-37.744
-0.598,0.64,-0.386,-18.841,36.402,-38.537
-0.874,0.682,-0.327,-27.073,13.049,-32.439
-1.09,0.722,-0.288,-32.805,-5.427,-21.402
-1.216,0.796,-0.138,-37.195,-15.244,-6.768
-1.212,0.864,0.083,-38.415,-24.573,7.073
-1.158,0.915,0.262,-35.305,-35.549,18.537
-1.104,1.012,0.417,-28.415,-47.805,28.902
-0.964,1.102,0.599,-19.024,-59.39,37.805
-0.811,1.128,0.755,-13.598,-65.854,40.976
-0.651,1.164,0.849,-9.817,-66.951,40.488
-0.423,1.179,0.859,-3.11,-64.512,40.732
-0.18,1.159,0.798,3.841,-53.415,40.976
0.025,1.169,0.748,11.22,-26.585,38.415
0.278,1.15,0.798,17.012,12.195,34.268
0.474,1.061,0.856,22.012,45.488,25.061
0.566,1.016,0.801,28.902,66.098,14.39
0.53,0.93,0.706,35.0,76.098,6.707
0.442,0.83,0.557,38.902,79.268,-0.427
0.335,0.733,0.335,39.512,80.976,-8.537
0.24,0.637,0.094,36.463,89.207,-17.561
0.161,0.579,-0.046,29.085,107.805,-25.793
0.129,0.576,-0.214,18.049,125.793,-35.488
0.089,0.625,-0.422,7.561,131.585,-45.671
-0.077,0.639,-0.517,-5.183,125.671,-50.0
-0.306,0.624,-0.557,-19.451,114.573,-48.537
-0.579,0.628,-0.538,-29.939,96.28,-41.585
-0.885,0.654,-0.439,-32.012,64.695,-29.756
-1.278,0.678,-0.277,-27.195,21.463,-14.756
-1.622,0.673,-0.047,-21.098,-27.988,-0.915
-1.769,0.671,0.127,-10.976,-70.305,7.927
