acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.357,0.448,0.009,-28.476,19.146,-16.585
-0.415,0.485,-0.019,-27.317,5.0,-22.683
-0.499,0.528,-0.009,-23.354,-3.049,-24.207
-0.621,0.565,0.027,-18.293,2.439,-20.305
-0.692,0.609,0.101,-12.683,17.317,-12.988
-0.7,0.643,0.169,-7.622,30.793,-3.72
-0.822,0.704,0.194,-4.695,35.793,4.573
-0.961,0.799,0.227,-4.939,30.671,10.366
-1.004,0.926,0.292,-6.768,19.573,16.098
-1.022,1.053,0.34,-8.476,5.854,20.793
-0.952,1.124,0.4,-9.817,-10.671,23.598
-0.814,1.161,0.468,-8.841,-25.976,25.183
-0.687,1.161,0.538,-6.829,-36.22,25.305
-0.511,1.146,0.619,-2.378,-38.415,24.817
-0.342,1.116,0.699,3.659,-35.366,24.085
-0.184,1.088,0.765,10.488,-29.817,22.5
-0.068,1.067,0.801,17.439,-20.0,22.927
0.01,1.041,0.77,22.195,-4.024,23.963
0.102,1.017,0.687,26.159,16.524,24.756
0.122,0.969,0.495,25.915,35.427,23.841
0.078,0.91,0.236,21.951,50.671,17.073
0.059,0.847,0.072,16.829,63.598,8.232
0.075,0.763,-0.052,12.378,77.561,-0.366
0.102,0.723,-0.167,6.89,88.354,-10.183
0.116,0.7,-0.265,0.793,93.232,-20.976
0.091,0.641,-0.334,-5.427,93.171,-30.549
0.056,0.571,-0.358,-10.671,91.585,-38.11
-0.012,0.519,-0.304,-14.756,87.256,-43.72
-0.142,0.475,-0.25,-17.622,77.439,-47.439
-0.362,0.458,-0.218,-19.146,62.683,-46.402
-0.637,0.468,-0.176,-19.39,41.098,-39.634
-0.951,0.526,-0.16,-18.171,10.122,-29.512
-1.222,0.603,-0.12,-13.415,-21.22,-16.646
-1.398,0.691,-0.041,-7.805,-45.183,-3.049
-1.406,0.788,0.034,-1.707,-55.732,8.72
-1.258,0.893,0.167,2.744,-60.305,19.634
-1.015,0.993,0.339,7.5,-62.927,29.512
-0.835,1.049,0.473,9.512,-64.512,35.183
-0.654,1.1,0.567,13.598,-66.402,35.671
-0.492,1.12,0.609,17.683,-65.305,33.902
-0.355,1.138,0.641,19.39,-59.817,31.585
-0.247,1.161,0.691,21.951,-51.098,30.122
-0.141,1.153,0.679,24.573,-34.817,30.549
-0.01,1.151,0.621,23.963,-9.634,29.939
0.136,1.152,0.551,25.183,18.415,23.476
0.25,1.093,0.497,29.512,46.829,14.329
0.318,1.001,0.425,32.317,76.89,5.976
0.355,0.886,0.267,29.817,104.024,-2.5
0.361,0.797,0.038,25.671,124.207,-12.622
0.31,0.752,-0.15,22.866,134.268,-22.866
0.193,0.713,-0.299,16.402,130.915,-34.268
0.017,0.672,-0.375,7.5,121.585,-45.366
-0.106,0.621,-0.386,-3.049,113.11,-52.378
-0.215,0.572,-0.412,-15.61,99.939,-54.512
