acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.141,0.517,0.5,1.585,101.707,21.707
0.082,0.435,0.471,11.829,102.5,16.28
-0.033,0.395,0.409,22.317,94.634,9.756
-0.123,0.403,0.323,30.061,82.439,1.89
-0.075,0.44,0.235,33.11,73.72,-4.085
-0.001,0.475,0.165,31.707,69.451,-9.939
-0.023,0.512,0.076,25.488,63.232,-15.061
-0.108,0.562,-0.012,17.744,51.22,-18.841
-0.179,0.633,-0.105,8.11,30.976,-21.098
-0.278,0.71,-0.114,-5.122,12.5,-23.659
-0.38,0.745,-0.078,-16.22,-6.037,-27.683
-0.551,0.743,-0.052,-22.988,-26.951,-25.427
-0.628,0.796,0.102,-26.768,-42.317,-16.89
-0.568,0.856,0.254,-26.646,-45.122,-8.049
-0.381,0.915,0.348,-22.927,-34.024,-0.488
-0.124,1.005,0.44,-23.171,-21.951,4.756
-0.014,1.023,0.499,-24.573,-23.537,9.573
0.042,1.032,0.567,-21.524,-38.049,12.866
0.232,1.121,0.699,-20.427,-57.195,8.963
0.36,1.171,0.85,-18.78,-71.707,4.817
0.352,1.173,0.93,-14.329,-73.537,7.378
0.39,1.202,0.943,-12.683,-67.012,10.122
0.467,1.205,0.9,-12.378,-53.049,13.78
0.495,1.176,0.831,-7.195,-39.756,16.646
0.457,1.15,0.773,-1.585,-30.915,15.366
0.427,1.082,0.76,4.024,-22.317,9.817
0.396,0.948,0.715,13.354,-13.415,2.988
0.308,0.857,0.589,20.061,-5.915,-4.207
0.215,0.813,0.464,23.049,2.256,-6.402
0.065,0.752,0.332,25.915,4.207,-7.744
-0.111,0.708,0.154,29.39,1.22,-9.39
-0.077,0.738,0.074,30.61,3.963,-8.232
0.021,0.749,0.087,30.0,10.549,-8.232
-0.009,0.747,0.047,27.439,10.854,-10.488
-0.115,0.789,-0.023,19.39,0.976,-9.268
-0.199,0.784,-0.055,9.817,-10.488,-5.366
-0.224,0.743,-0.073,1.951,-18.659,-2.317
-0.229,0.728,-0.087,-6.159,-15.549,-1.829
-0.259,0.743,-0.074,-13.415,-4.817,-2.378
-0.357,0.756,-0.08,-19.268,9.695,1.951
-0.36,0.79,-0.079,-24.207,23.293,10.366
-0.312,0.842,0.002,-28.841,33.11,20.305
-0.199,0.855,0.268,-30.793,39.695,26.463
-0.06,0.822,0.564,-33.171,40.976,26.524
-0.002,0.739,0.7,-37.622,26.951,28.171
0.036,0.709,0.761,-28.598,-0.366,26.28
0.048,0.909,0.914,-22.012,-35.061,18.354
0.15,1.106,0.963,-20.183,-64.146,16.463
0.308,1.223,0.919,-17.195,-79.329,18.293
0.421,1.296,0.834,-16.707,-82.378,18.171
0.518,1.284,0.765,-16.22,-79.512,15.549
0.587,1.203,0.74,-13.415,-73.659,14.939
0.63,1.092,0.742,-6.707,-62.622,12.866
0.655,0.978,0.77,3.293,-46.89,6.098
0.647,0.864,0.733,12.988,-24.939,-2.378
0.579,0.768,0.577,22.134,-1.341,-10.976
0.409,0.701,0.435,30.732,15.122,-18.659
0.176,0.661,0.307,36.159,27.317,-20.793
0.003,0.642,0.197,37.805,31.829,-28.11
-0.006,0.601,0.09,38.415,39.024,-34.146
-0.052,0.59,-0.032,30.976,53.963,-34.512
-0.164,0.561,-0.18,22.134,58.78,-34.39
-0.333,0.618,-0.348,7.378,55.793,-28.72
-0.437,0.715,-0.368,-12.622,56.28,-23.598
-0.5,0.736,-0.296,-29.268,57.5,-21.098
-0.539,0.726,-0.201,-39.695,48.902,-16.829
-0.514,0.792,-0.017,-47.561,34.695,-10.122
-0.464,0.867,0.224,-50.732,20.976,0.732
-0.39,0.924,0.517,-47.012,6.707,10.122
-0.236,1.006,0.762,-39.756,-4.207,20.854
-0.047,1.088,0.967,-29.329,-16.585,27.134
0.103,1.145,1.101,-19.573,-34.573,27.256
0.274,1.17,1.124,-11.28,-55.244,25.915
0.374,1.164,1.086,-3.659,-76.28,26.829
0.395,1.184,0.992,0.0,-95.793,31.098
0.486,1.203,0.877,1.341,-108.781,31.829
0.663,1.154,0.81,5.427,-105.915,25.732
0.795,1.035,0.717,11.829,-88.476,17.622
0.77,0.915,0.577,16.463,-65.61,8.659
0.628,0.777,0.521,24.329,-39.756,0.0
0.453,0.652,0.411,33.049,-11.159,-3.354
0.239,0.615,0.208,35.976,15.427,-8.537
0.114,0.57,0.107,37.988,37.5,-15.427
0.08,0.517,-0.007,38.598,58.598,-19.39
0.088,0.52,-0.161,33.171,73.354,-22.256
0.051,0.57,-0.281,21.768,79.085,-24.512
-0.093,0.644,-0.371,2.5,71.341,-28.232
-0.208,0.675,-0.406,-18.537,58.293,-31.829
-0.245,0.698,-0.33,-33.476,52.927,-30.854
-0.352,0.745,-0.181,-44.512,54.146,-25.976
-0.503,0.79,0.024,-50.732,54.878,-16.646
-0.579,0.825,0.269,-46.402,51.89,-2.317
