acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.407,0.565,0.537,-37.012,64.756,25.976
-0.487,0.516,0.549,-24.878,67.317,22.561
-0.485,0.516,0.562,-12.805,69.451,20.671
-0.412,0.528,0.563,-1.524,73.232,18.476
-0.339,0.53,0.537,6.89,80.549,16.524
-0.313,0.541,0.518,11.829,88.476,14.329
-0.329,0.549,0.488,13.963,93.659,12.012
-0.347,0.544,0.458,13.598,95.854,7.927
-0.354,0.533,0.461,12.805,97.317,3.11
-0.338,0.525,0.454,10.427,97.317,-1.646
-0.313,0.509,0.457,6.707,96.585,-6.22
-0.292,0.493,0.46,4.024,94.451,-8.598
-0.284,0.497,0.437,3.415,91.22,-9.207
-0.286,0.516,0.433,4.024,88.415,-9.085
-0.271,0.552,0.435,4.573,81.159,-8.963
-0.248,0.615,0.394,6.463,68.902,-7.5
-0.242,0.675,0.297,8.171,56.951,-5.183
-0.228,0.718,0.212,8.902,47.134,-2.805
-0.216,0.724,0.166,7.927,36.28,-0.122
-0.234,0.71,0.104,5.366,22.073,1.098
-0.259,0.708,0.061,1.951,4.39,1.28
-0.305,0.711,0.025,-2.012,-15.305,1.524
-0.386,0.693,0.048,-6.159,-37.439,2.5
-0.455,0.656,0.098,-9.939,-59.451,5.488
-0.617,0.625,0.148,-12.439,-73.415,9.695
-0.771,0.609,0.238,-15.122,-74.817,14.695
-0.794,0.628,0.296,-19.512,-68.415,20.122
-0.74,0.678,0.282,-22.439,-62.256,22.5
-0.695,0.759,0.211,-21.829,-63.171,19.939
-0.666,0.831,0.158,-19.695,-66.707,14.085
-0.646,0.866,0.134,-17.073,-62.988,7.134
-0.656,0.889,0.135,-13.049,-52.439,-0.427
-0.68,0.915,0.168,-7.073,-41.341,-7.683
-0.683,0.97,0.222,0.183,-29.512,-11.951
-0.64,1.029,0.288,6.585,-13.78,-13.659
-0.565,1.056,0.356,11.951,2.805,-13.476
-0.502,1.082,0.372,16.524,16.341,-11.159
-0.445,1.113,0.335,17.561,25.488,-8.476
-0.356,1.101,0.354,15.854,30.793,-6.524
-0.233,1.051,0.435,12.317,33.902,-5.915
-0.098,1.011,0.547,7.622,35.122,-7.073
-0.001,0.967,0.636,3.72,31.951,-8.78
0.012,0.903,0.673,1.463,25.061,-9.939
-0.024,0.867,0.659,1.829,22.439,-10.793
-0.068,0.851,0.606,2.622,26.768,-10.61
-0.146,0.842,0.547,4.085,34.756,-10.793
-0.267,0.841,0.451,5.854,45.732,-11.037
-0.348,0.85,0.346,7.378,56.89,-11.707
-0.361,0.878,0.24,9.207,63.78,-12.866
-0.33,0.904,0.171,9.817,66.098,-14.39
-0.279,0.912,0.136,9.085,65.976,-16.768
-0.279,0.895,0.13,8.171,64.512,-18.78
-0.316,0.869,0.126,7.073,62.927,-20.427
-0.337,0.803,0.143,5.793,62.012,-21.098
-0.347,0.729,0.147,4.756,59.146,-19.634
-0.349,0.683,0.184,3.78,54.878,-17.134
-0.326,0.673,0.219,3.415,48.902,-13.598
-0.298,0.679,0.218,3.659,40.976,-9.573
-0.313,0.674,0.201,4.39,30.61,-5.915
-0.333,0.676,0.141,5.0,18.171,-2.195
-0.332,0.688,0.079,5.244,4.085,0.854
-0.347,0.693,0.054,5.244,-10.61,3.232
-0.38,0.701,0.057,4.756,-24.207,5.793
-0.448,0.709,0.084,3.537,-35.488,8.171
-0.537,0.729,0.121,1.037,-44.512,10.549
-0.591,0.759,0.151,-1.829,-50.244,13.11
-0.624,0.783,0.171,-4.939,-54.451,15.0
-0.661,0.807,0.192,-7.988,-58.415,17.134
-0.707,0.815,0.216,-10.915,-61.89,18.598
-0.733,0.826,0.241,-13.171,-65.061,19.146
-0.735,0.842,0.243,-14.573,-68.841,18.902
-0.728,0.858,0.232,-15.366,-71.768,17.683
-0.689,0.878,0.215,-14.939,-70.732,14.756
-0.627,0.918,0.193,-13.293,-65.671,10.366
-0.593,0.962,0.179,-10.305,-57.988,5.305
-0.581,0.982,0.181,-6.402,-47.378,0.549
-0.58,0.979,0.189,-2.744,-33.841,-3.232
-0.601,0.973,0.212,1.098,-18.232,-5.793
-0.576,0.977,0.261,4.451,-3.415,-7.256
-0.527,0.98,0.307,6.524,7.683,-7.5
-0.452,0.989,0.333,7.012,14.695,-7.317
-0.374,0.988,0.335,6.159,17.927,-7.622
-0.287,0.974,0.368,3.78,17.256,-8.72
-0.215,0.943,0.415,2.012,14.756,-9.573
-0.164,0.919,0.464,1.037,13.049,-10.183
-0.132,0.896,0.5,1.402,13.902,-10.854
-0.106,0.884,0.506,3.232,17.927,-10.671
-0.114,0.885,0.504,5.244,24.939,-10.427
