acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.819,0.984,0.381,-5.671,-83.415,46.098
-0.795,1.029,0.487,0.549,-107.012,52.988
-0.705,1.044,0.564,4.268,-111.951,57.683
-0.567,1.062,0.557,6.585,-105.122,57.5
-0.381,1.113,0.502,7.744,-91.098,55.122
-0.18,1.165,0.485,8.598,-72.744,47.622
0.007,1.159,0.489,12.012,-53.537,35.549
0.162,1.099,0.517,17.134,-38.232,22.683
0.264,1.006,0.55,21.768,-24.878,10.671
0.288,0.91,0.554,24.878,-8.598,-1.707
0.278,0.857,0.529,26.22,14.207,-16.524
0.26,0.852,0.458,25.671,42.073,-27.988
0.265,0.847,0.371,22.744,68.78,-37.866
0.248,0.796,0.237,19.207,87.805,-47.744
0.176,0.743,0.112,13.293,100.061,-54.573
0.084,0.693,-0.001,7.622,107.744,-60.366
-0.022,0.664,-0.101,3.72,104.329,-69.573
-0.144,0.63,-0.144,-0.61,90.427,-79.512
-0.206,0.563,-0.182,-9.39,82.012,-77.744
-0.219,0.532,-0.209,-22.134,88.232,-64.939
-0.255,0.611,-0.255,-28.354,89.512,-56.037
-0.432,0.741,-0.23,-27.927,83.902,-45.0
-0.622,0.792,-0.094,-25.122,75.549,-27.256
-0.727,0.81,0.042,-22.683,56.707,-8.902
-0.828,0.86,0.158,-19.024,20.427,6.28
-0.911,0.968,0.281,-15.0,-23.171,19.939
-0.921,1.054,0.359,-10.671,-64.451,30.427
-0.873,1.111,0.406,-4.756,-96.159,37.683
-0.805,1.155,0.484,1.22,-109.268,44.756
-0.706,1.177,0.575,5.305,-104.939,52.256
-0.557,1.172,0.635,7.5,-89.756,57.012
-0.407,1.156,0.632,9.146,-70.854,57.5
-0.272,1.147,0.552,11.22,-58.598,51.037
-0.17,1.138,0.509,12.317,-53.78,39.146
-0.064,1.114,0.468,13.841,-49.939,27.073
0.082,1.067,0.426,14.756,-43.902,13.72
0.202,0.994,0.375,13.232,-34.878,-3.11
0.276,0.937,0.333,10.183,-19.146,-22.744
0.302,0.908,0.279,7.5,7.195,-37.622
0.331,0.9,0.226,5.488,34.634,-49.695
0.295,0.84,0.153,2.622,61.951,-60.061
0.191,0.729,0.084,-2.5,95.915,-63.659
0.115,0.652,0.016,-8.354,124.085,-66.524
0.045,0.637,-0.071,-10.488,127.012,-80.854
-0.08,0.606,-0.118,-10.61,118.537,-88.72
-0.149,0.534,-0.099,-16.829,123.72,-73.415
-0.16,0.504,-0.1,-23.902,126.524,-55.732
-0.334,0.593,-0.125,-23.537,106.463,-48.537
-0.641,0.63,-0.111,-23.293,79.695,-42.073
-0.853,0.629,-0.135,-28.659,56.89,-29.817
-0.937,0.76,-0.128,-35.732,36.28,-12.012
-0.916,0.977,-0.006,-37.5,12.256,5.549
-0.879,1.117,0.121,-34.756,-13.841,21.463
-0.854,1.14,0.236,-29.817,-35.0,31.524
-0.841,1.142,0.395,-23.293,-40.061,37.744
-0.768,1.188,0.551,-13.72,-32.805,45.915
-0.599,1.195,0.718,-4.634,-26.951,52.927
-0.446,1.105,0.82,2.195,-25.366,55.976
-0.369,1.021,0.781,5.671,-25.549,57.195
-0.3,1.019,0.648,6.585,-24.634,52.012
-0.235,1.069,0.519,8.537,-17.256,38.476
-0.144,1.101,0.441,13.354,-8.841,25.488
0.051,1.028,0.443,17.744,-5.305,15.854
0.181,0.877,0.471,16.707,-4.39,2.317
0.136,0.774,0.453,16.585,-2.622,-13.415
0.089,0.783,0.299,16.22,2.073,-22.134
0.035,0.765,0.196,10.671,23.049,-30.61
-0.075,0.733,0.121,3.78,56.89,-43.293
-0.091,0.746,0.008,-1.159,85.305,-59.146
-0.026,0.706,-0.076,-7.134,109.695,-65.183
0.056,0.646,-0.097,-17.805,130.244,-57.317
0.1,0.682,-0.08,-22.5,131.402,-52.927
-0.169,0.737,-0.148,-20.549,118.842,-48.841
-0.518,0.659,-0.13,-18.293,103.293,-41.646
-0.661,0.595,-0.102,-16.89,82.256,-31.707
-0.742,0.643,-0.037,-19.512,55.976,-20.854
-0.816,0.748,0.034,-23.476,29.39,-9.451
-0.832,0.883,0.054,-25.671,4.268,0.793
-0.804,0.989,0.091,-25.61,-20.61,8.293
-0.781,1.027,0.17,-24.451,-40.427,16.768
-0.754,1.021,0.287,-21.707,-52.866,24.817
-0.718,1.013,0.376,-18.476,-59.085,31.585
-0.682,1.021,0.45,-13.171,-60.244,36.585
-0.633,1.039,0.514,-5.854,-58.902,41.159
-0.561,1.025,0.571,2.5,-57.439,45.671
-0.491,0.977,0.626,11.28,-58.232,47.805
-0.449,0.91,0.645,20.427,-61.585,47.012
