acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.352,0.842,0.605,30.305,-45.488,36.89
-0.385,0.937,0.399,30.366,-27.866,49.146
-0.419,0.998,0.26,29.573,-14.329,56.768
-0.36,1.016,0.229,27.927,-11.829,56.585
-0.2,0.963,0.208,25.427,-20.61,51.341
-0.004,0.907,0.215,23.293,-29.268,45.732
0.13,0.845,0.246,21.402,-32.195,39.39
0.22,0.802,0.252,17.988,-26.22,30.854
0.34,0.816,0.197,13.72,-9.756,18.476
0.482,0.854,0.124,10.976,12.5,5.732
0.608,0.861,0.095,9.146,35.976,-7.805
0.658,0.894,0.115,7.805,59.512,-21.768
0.562,0.898,0.126,6.829,81.341,-32.988
0.452,0.886,0.111,5.671,98.415,-45.854
0.396,0.884,0.103,1.402,102.256,-58.598
0.303,0.874,0.152,-5.854,86.768,-71.28
0.155,0.874,0.26,-13.598,57.378,-82.561
-0.054,0.868,0.371,-20.305,28.415,-81.28
-0.301,0.886,0.39,-27.866,7.317,-71.829
-0.504,0.974,0.3,-28.415,-7.317,-59.695
-0.666,0.979,0.25,-27.622,-16.951,-40.732
-0.752,1.011,0.259,-24.634,-28.171,-18.841
-0.841,1.06,0.309,-18.659,-39.146,5.0
-0.88,1.07,0.419,-9.756,-47.439,25.0
-0.786,1.034,0.525,1.341,-51.524,40.549
-0.605,0.98,0.614,11.28,-60.061,52.439
-0.468,0.926,0.657,19.695,-75.549,58.78
-0.365,0.892,0.587,30.488,-75.0,61.768
-0.155,0.86,0.533,34.329,-47.927,68.537
-0.014,0.887,0.339,33.232,-21.098,65.488
0.135,0.933,0.024,25.793,2.256,55.976
0.32,0.938,-0.084,17.195,12.805,39.512
0.479,0.872,-0.152,6.646,17.134,23.537
0.588,0.834,-0.147,-4.939,22.805,6.89
0.599,0.833,-0.123,-14.451,28.171,-11.585
0.608,0.835,-0.087,-20.854,31.463,-31.037
0.589,0.846,0.027,-24.573,35.671,-52.5
0.484,0.816,0.135,-29.39,43.232,-65.488
0.412,0.795,0.147,-31.341,35.366,-77.622
0.23,0.825,0.307,-28.354,11.341,-85.549
-0.055,0.75,0.521,-26.28,2.012,-72.256
-0.294,0.822,0.523,-21.341,-9.878,-62.378
-0.658,0.888,0.543,-14.207,-25.549,-44.634
-0.824,0.887,0.51,-9.451,-29.146,-20.549
-0.906,1.027,0.416,-2.988,-30.793,2.927
-0.966,1.114,0.393,3.598,-28.293,26.707
-0.832,1.156,0.435,11.707,-24.939,45.244
-0.617,1.121,0.531,18.659,-29.756,58.841
-0.484,1.043,0.598,24.085,-45.854,64.939
-0.396,0.968,0.566,33.902,-57.866,64.146
-0.155,0.88,0.537,42.195,-45.061,70.671
0.017,0.832,0.497,39.695,-26.22,73.659
0.02,0.938,0.184,34.817,-10.671,59.634
0.249,0.913,0.032,26.159,1.646,45.549
0.485,0.87,-0.046,18.963,11.28,32.927
0.553,0.834,-0.076,11.463,21.037,18.659
0.505,0.847,-0.054,5.793,31.89,4.024
0.541,0.824,-0.036,1.159,40.732,-10.183
0.59,0.824,-0.002,-3.11,41.646,-24.695
0.492,0.831,0.053,-7.5,40.671,-40.305
0.384,0.842,0.086,-12.134,45.122,-56.098
0.342,0.859,0.109,-15.671,53.049,-69.512
0.277,0.833,0.156,-20.122,60.305,-72.744
0.15,0.816,0.172,-27.561,54.268,-72.5
-0.056,0.885,0.12,-36.037,35.488,-65.915
-0.319,0.987,0.131,-35.549,2.805,-61.037
-0.612,0.918,0.342,-30.0,-29.207,-47.5
-0.756,0.826,0.546,-20.732,-49.756,-28.72
-0.859,0.878,0.655,-7.439,-61.098,-7.439
-0.916,0.938,0.743,6.585,-62.5,13.78
-0.829,0.988,0.756,19.268,-56.646,30.488
-0.636,1.028,0.685,27.683,-46.585,46.098
-0.464,1.058,0.573,32.744,-41.707,59.756
-0.387,1.057,0.465,37.744,-45.244,66.524
-0.287,1.033,0.403,43.598,-39.573,71.159
-0.118,0.97,0.387,43.78,-26.098,75.488
0.011,0.957,0.237,40.915,-17.622,69.329
0.142,0.934,0.11,34.39,-14.085,57.927
0.308,0.891,0.011,27.622,-4.512,45.732
0.48,0.844,-0.021,18.659,5.793,30.183
0.52,0.821,-0.076,10.0,14.939,14.573
0.569,0.816,-0.124,2.378,26.829,-2.134
0.648,0.851,-0.103,-3.598,38.659,-17.012
0.624,0.861,-0.073,-8.598,51.159,-30.366
0.528,0.877,-0.049,-12.439,62.927,-43.78
0.418,0.866,0.001,-16.098,68.415,-55.61
0.292,0.846,0.093,-19.512,61.463,-63.171
0.104,0.818,0.196,-23.537,46.341,-65.061
-0.072,0.844,0.26,-29.512,31.037,-60.305
-0.262,0.924,0.253,-34.451,14.573,-50.244
-0.468,0.99,0.261,-32.988,-10.61,-38.902
-0.699,0.967,0.435,-23.78,-42.927,-24.817
-0.904,0.897,0.641,-11.098,-69.024,-7.866
-0.913,0.886,0.72,0.549,-82.805,9.756
-0.78,0.972,0.682,10.915,-83.11,27.805
-0.627,1.048,0.608,19.573,-72.439,43.598
-0.424,1.067,0.527,27.256,-55.915,54.146
-0.24,1.046,0.46,34.329,-37.378,60.976
-0.104,0.989,0.398,37.805,-17.744,63.78
0.021,0.949,0.298,35.732,-3.963,58.293
0.164,0.918,0.151,30.61,0.061,44.939
0.349,0.861,0.043,23.415,6.585,33.78
