acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.152,0.759,0.377,31.341,105.732,9.085
0.252,0.768,0.277,29.329,136.707,0.488
0.303,0.833,0.122,22.256,158.842,-11.463
0.267,0.891,0.015,10.0,161.89,-24.817
0.146,0.909,-0.093,-4.634,144.451,-35.854
-0.024,0.914,-0.147,-16.098,121.159,-44.268
-0.103,0.922,-0.075,-23.72,100.854,-49.512
-0.168,0.917,0.055,-24.573,83.78,-43.841
-0.423,0.879,0.208,-17.195,68.11,-29.207
-0.711,0.852,0.446,-3.659,46.28,-11.22
-0.973,0.85,0.694,7.622,10.976,6.037
-1.128,0.867,0.772,13.354,-27.073,20.183
-1.04,0.909,0.684,15.366,-56.159,32.195
-0.766,0.974,0.537,18.11,-72.5,42.988
-0.543,1.012,0.473,23.598,-81.707,54.39
-0.469,0.972,0.454,29.634,-82.683,67.927
-0.469,0.955,0.396,33.598,-71.707,76.89
-0.309,0.966,0.34,30.976,-59.695,83.354
-0.206,1.012,0.157,25.183,-55.366,80.0
-0.029,1.013,-0.002,17.317,-49.39,71.341
0.226,0.985,-0.045,7.988,-41.951,56.463
0.322,0.923,-0.056,-1.951,-40.0,42.622
0.435,0.904,-0.161,-10.61,-34.085,28.11
0.537,0.922,-0.176,-15.976,-25.915,14.634
0.572,0.896,-0.15,-16.829,-19.634,4.634
0.539,0.864,-0.052,-15.061,-13.841,-5.122
0.479,0.874,0.071,-10.61,-1.463,-13.902
0.409,0.872,0.148,-5.305,22.256,-20.61
0.397,0.852,0.168,-0.488,48.293,-28.963
0.363,0.852,0.172,2.256,64.329,-42.195
0.266,0.835,0.168,0.732,68.049,-56.22
0.17,0.817,0.207,-2.622,65.976,-66.829
0.051,0.82,0.294,-5.488,52.439,-76.463
-0.051,0.836,0.386,-8.598,27.256,-83.354
-0.212,0.845,0.482,-14.695,3.841,-72.805
-0.434,0.913,0.413,-17.5,-16.098,-65.122
-0.702,1.023,0.348,-17.927,-29.573,-52.561
-0.779,1.029,0.294,-18.72,-37.561,-30.915
-0.831,1.094,0.22,-18.476,-44.329,-8.293
-0.859,1.161,0.227,-13.902,-52.866,11.159
-0.857,1.142,0.38,-5.671,-60.0,28.537
-0.731,1.053,0.486,4.085,-64.39,42.073
-0.552,0.999,0.512,15.549,-67.317,50.854
-0.377,0.947,0.515,27.805,-59.756,60.366
-0.197,0.898,0.48,31.341,-43.598,69.512
-0.116,0.939,0.283,30.793,-29.756,68.659
-0.001,0.98,0.066,23.78,-17.378,60.915
0.223,0.966,-0.032,14.268,-14.146,49.146
0.296,0.918,-0.114,3.902,-7.134,34.268
0.409,0.89,-0.111,-6.646,4.085,15.061
0.495,0.863,-0.131,-14.268,13.354,-3.476
0.559,0.823,-0.116,-19.268,18.902,-22.622
0.584,0.81,-0.014,-21.402,17.744,-42.317
0.515,0.755,0.141,-23.354,9.634,-59.817
0.378,0.731,0.246,-25.488,-0.427,-76.098
0.245,0.756,0.305,-24.39,-1.707,-86.341
0.098,0.758,0.354,-23.293,8.232,-85.427
-0.013,0.791,0.335,-22.317,17.317,-78.11
-0.241,0.904,0.326,-16.159,15.793,-68.354
-0.492,0.905,0.347,-12.195,3.78,-53.232
-0.631,0.93,0.373,-10.122,-19.634,-36.037
-0.765,0.994,0.342,-9.878,-44.329,-15.976
-0.814,1.116,0.299,-6.463,-67.012,0.793
-0.805,1.137,0.358,1.098,-75.366,20.061
-0.714,1.079,0.442,10.061,-63.293,36.28
-0.505,1.039,0.457,19.451,-38.293,49.024
-0.328,1.01,0.403,27.927,-13.293,58.171
-0.194,0.984,0.353,34.146,2.561,62.378
-0.1,0.951,0.33,35.305,8.293,64.146
-0.045,0.938,0.267,30.61,3.293,60.61
0.008,0.938,0.148,22.744,-4.512,52.439
0.105,0.908,0.058,13.354,-4.756,42.622
0.229,0.878,-0.002,4.268,-2.134,28.72
0.302,0.85,-0.056,-2.561,5.0,13.232
0.364,0.826,-0.056,-6.646,22.683,-2.683
0.451,0.801,-0.037,-8.232,46.463,-18.598
0.497,0.778,-0.006,-9.634,69.146,-32.5
0.452,0.769,0.051,-11.402,80.366,-43.78
0.333,0.774,0.105,-14.024,73.72,-56.646
0.216,0.792,0.192,-17.134,56.707,-66.707
0.079,0.793,0.308,-22.073,42.988,-67.256
-0.081,0.852,0.28,-24.695,24.817,-67.683
-0.38,0.904,0.286,-23.537,4.512,-59.634
-0.578,0.881,0.327,-20.732,-4.451,-42.378
-0.707,0.997,0.382,-11.159,-13.11,-21.402
-0.838,1.045,0.518,1.341,-27.195,3.354
-0.961,1.035,0.658,10.793,-45.122,25.61
-0.976,1.081,0.601,17.012,-61.89,41.037
-0.783,1.155,0.533,24.146,-69.695,53.598
-0.531,1.12,0.528,31.89,-71.585,65.732
-0.364,1.022,0.502,39.939,-68.354,73.11
-0.263,0.959,0.454,44.329,-47.683,78.049
-0.09,0.919,0.324,40.671,-24.085,76.524
0.108,0.935,0.075,32.988,-3.902,67.073
0.249,0.924,-0.071,20.854,10.244,50.427
0.377,0.888,-0.171,8.415,15.671,29.329
0.494,0.85,-0.181,-3.963,17.866,10.671
0.496,0.83,-0.157,-12.866,17.5,-7.317
0.487,0.805,-0.131,-17.744,18.72,-22.866
0.5,0.784,-0.058,-19.329,22.439,-36.707
0.451,0.768,0.053,-16.037,29.634,-49.939
0.357,0.735,0.163,-12.439,40.61,-62.439
0.279,0.701,0.208,-14.207,51.22,-71.28
0.113,0.733,0.144,-16.89,61.402,-77.805
-0.022,0.767,0.14,-20.854,65.854,-78.72
-0.125,0.783,0.154,-25.244,56.768,-74.085
-0.357,0.812,0.11,-32.439,42.622,-66.28
-0.53,0.908,0.046,-36.22,23.72,-58.659
-0.63,0.982,0.11,-35.122,2.805,-44.695
-0.698,1.002,0.281,-28.232,-18.902,-29.451
-0.763,1.016,0.509,-15.854,-36.707,-17.256
-0.725,1.001,0.732,-1.22,-50.549,-9.207
-0.582,0.957,0.871,10.671,-57.378,-0.915
-0.468,0.918,0.814,18.415,-52.378,6.341
-0.357,0.92,0.627,24.024,-43.476,12.988
-0.28,0.959,0.418,23.232,-38.902,20.793
-0.28,1.064,0.232,19.451,-38.11,25.488
-0.271,1.144,0.14,16.524,-39.329,29.573
-0.181,1.121,0.117,13.902,-43.963,32.378
-0.138,1.085,0.125,13.232,-47.622,29.085
-0.033,1.049,0.147,15.793,-37.012,22.012
0.239,1.004,0.172,16.951,-12.317,19.695
0.426,0.972,0.167,16.098,12.256,20.671
0.375,0.992,0.096,13.171,31.646,14.207
0.341,1.037,0.092,11.28,44.573,4.451
0.34,1.01,0.121,9.085,52.5,-3.72
0.318,0.975,0.142,6.22,59.268,-12.5
0.259,0.979,0.154,2.378,67.683,-21.402
0.179,0.947,0.137,-3.293,72.378,-28.232
0.045,0.891,0.036,-12.805,78.537,-34.146
-0.022,0.88,-0.078,-23.293,75.122,-39.39
-0.153,0.863,-0.071,-24.817,55.671,-40.854
-0.456,0.761,0.198,-20.0,33.171,-38.476
-0.596,0.665,0.438,-14.39,16.463,-30.183
-0.753,0.665,0.452,-7.622,6.829,-14.817
-0.925,0.684,0.397,-1.463,-5.0,-1.829
-0.964,0.734,0.396,3.72,-20.061,5.427
