acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.373,1.004,0.206,-77.683,144.573,49.329
-0.603,0.907,0.353,-63.293,85.122,46.098
-0.81,0.784,0.531,-48.72,47.866,52.744
-0.772,0.712,0.65,-42.683,45.854,56.28
-0.508,0.729,0.68,-44.878,68.963,50.061
-0.261,0.861,0.671,-50.976,90.244,37.683
-0.184,1.008,0.602,-54.146,97.256,29.939
-0.272,1.091,0.496,-51.829,92.256,27.866
-0.396,1.049,0.366,-45.976,82.561,25.183
-0.46,0.951,0.396,-39.207,68.841,16.768
-0.461,0.888,0.509,-30.61,54.451,8.171
-0.411,0.859,0.561,-20.488,41.89,6.341
-0.38,0.824,0.568,-13.415,25.244,8.72
-0.36,0.779,0.604,-8.476,11.28,7.744
-0.327,0.801,0.519,-7.683,6.646,4.024
-0.348,0.882,0.407,-12.134,7.317,3.232
-0.395,0.96,0.306,-17.073,7.744,4.329
-0.407,0.994,0.25,-20.488,1.402,4.39
-0.401,0.974,0.234,-25.366,-13.598,4.817
-0.407,0.955,0.159,-28.537,-25.549,4.878
-0.418,0.966,0.029,-24.817,-20.061,2.805
-0.371,0.953,0.023,-22.683,-1.159,-0.976
-0.249,0.874,0.184,-21.098,19.634,-4.024
-0.136,0.818,0.284,-19.39,28.841,-2.927
-0.184,0.756,0.303,-16.951,21.037,2.134
-0.298,0.721,0.293,-13.78,5.061,6.463
-0.374,0.732,0.207,-11.22,-3.841,8.659
-0.4,0.786,0.116,-9.329,0.793,8.598
-0.337,0.85,0.127,-7.317,15.549,6.707
-0.232,0.88,0.192,-6.646,31.22,4.878
-0.193,0.851,0.247,-7.622,40.793,6.646
-0.231,0.799,0.253,-8.78,41.646,8.963
-0.313,0.758,0.21,-6.524,34.817,7.561
-0.367,0.754,0.217,-0.671,22.927,5.244
-0.393,0.741,0.248,5.61,13.049,5.915
-0.415,0.699,0.204,10.549,13.171,7.866
-0.391,0.678,0.168,13.78,24.634,5.732
-0.285,0.692,0.167,14.329,40.732,-0.183
-0.178,0.729,0.159,11.159,54.939,-5.244
-0.139,0.754,0.082,6.037,57.256,-7.134
-0.187,0.75,0.01,2.195,46.098,-6.341
-0.266,0.732,-0.033,-0.549,23.476,-3.598
-0.407,0.676,-0.11,-0.671,-8.354,0.305
-0.588,0.605,-0.172,4.39,-40.793,3.049
-0.666,0.568,-0.143,12.439,-54.207,5.366
-0.577,0.561,0.014,15.488,-36.951,10.793
-0.442,0.594,0.161,10.61,1.768,17.805
-0.347,0.707,0.239,6.951,46.768,19.268
-0.202,0.908,0.409,6.037,80.793,12.622
-0.076,1.15,0.607,6.646,80.305,2.195
-0.102,1.422,0.777,6.646,31.28,-5.61
-0.264,1.594,0.884,7.744,-45.793,-7.866
-0.426,1.557,0.792,6.463,-123.415,-3.963
-0.593,1.387,0.586,2.622,-180.915,1.463
-0.676,1.269,0.421,-0.793,-194.573,4.573
-0.6,1.211,0.345,-6.22,-157.317,9.207
-0.435,1.145,0.316,-13.659,-83.78,14.207
-0.241,1.108,0.327,-14.634,-16.463,9.878
-0.075,1.051,0.407,-7.622,7.012,-1.22
-0.03,0.917,0.491,-1.646,-9.207,-5.122
-0.142,0.823,0.415,1.707,-38.232,2.134
-0.293,0.875,0.335,3.78,-60.61,11.402
-0.367,0.981,0.345,-2.866,-66.951,14.939
-0.333,1.049,0.246,-12.683,-47.744,9.329
-0.158,1.095,0.071,-19.207,-8.598,-2.378
0.0,1.033,0.022,-21.159,27.561,-12.378
0.052,0.875,0.06,-21.341,46.402,-17.5
0.026,0.725,0.082,-18.963,52.073,-18.354
-0.091,0.597,0.057,-14.085,48.415,-17.134
-0.244,0.508,0.05,-7.256,38.293,-15.427
-0.351,0.491,0.087,1.524,25.61,-12.317
-0.433,0.51,0.147,8.354,22.561,-10.305
-0.451,0.517,0.153,11.159,41.951,-11.646
-0.364,0.523,0.135,8.476,75.244,-16.098
-0.249,0.568,0.112,3.537,103.415,-25.549
-0.116,0.664,0.1,1.646,112.195,-36.89
-0.007,0.746,0.077,0.793,98.11,-43.78
-0.054,0.741,0.034,0.488,67.378,-43.902
-0.273,0.691,-0.028,1.585,32.134,-37.744
-0.524,0.682,-0.062,6.341,3.598,-25.854
-0.665,0.708,0.003,11.524,-12.683,-12.805
-0.676,0.733,0.117,14.024,-6.098,-2.988
-0.575,0.781,0.188,13.659,18.963,1.341
-0.482,0.843,0.25,13.11,40.427,5.732
-0.463,0.943,0.41,11.159,36.098,14.207
-0.535,1.046,0.517,7.988,0.183,23.354
-0.657,1.118,0.527,7.561,-51.585,25.366
-0.694,1.156,0.475,9.573,-95.244,25.0
-0.65,1.169,0.463,7.5,-120.732,29.39
-0.612,1.195,0.428,3.415,-122.195,35.793
-0.501,1.278,0.419,-3.171,-101.768,40.671
