acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.288,0.846,0.287,-45.488,32.561,35.244
-0.216,0.827,0.31,-42.134,45.061,29.146
-0.158,0.801,0.419,-33.354,44.329,22.683
-0.139,0.747,0.531,-22.073,29.634,17.317
-0.174,0.679,0.583,-11.585,9.329,13.354
-0.222,0.651,0.589,-4.085,-6.037,10.976
-0.244,0.658,0.52,0.793,-13.963,8.72
-0.256,0.67,0.47,3.841,-12.683,6.159
-0.216,0.711,0.474,2.012,-1.585,5.0
-0.164,0.76,0.419,-5.549,15.061,7.317
-0.152,0.834,0.297,-13.537,27.134,11.22
-0.17,0.924,0.261,-17.805,26.707,14.329
-0.222,0.945,0.254,-18.049,14.878,15.854
-0.286,0.913,0.227,-15.427,-3.11,14.939
-0.328,0.876,0.251,-10.976,-20.427,13.354
-0.326,0.847,0.276,-5.854,-30.549,13.476
-0.302,0.816,0.318,-1.402,-27.134,12.561
-0.237,0.781,0.377,4.878,-8.537,7.622
-0.141,0.742,0.445,11.159,15.0,1.22
-0.083,0.689,0.527,13.963,34.695,-3.963
-0.06,0.65,0.479,13.963,46.585,-6.707
-0.059,0.664,0.362,10.976,49.634,-10.183
-0.071,0.689,0.252,6.646,43.232,-17.317
-0.09,0.71,0.132,3.354,27.622,-25.122
-0.143,0.724,0.063,3.354,13.293,-28.537
-0.218,0.726,0.06,4.939,10.854,-27.378
-0.274,0.706,0.134,6.829,22.622,-25.427
-0.245,0.71,0.262,8.232,38.415,-25.061
-0.211,0.72,0.344,10.061,43.902,-25.671
-0.216,0.725,0.383,11.037,37.195,-26.524
-0.249,0.742,0.362,8.476,22.805,-26.829
-0.324,0.773,0.248,4.512,6.341,-27.439
-0.369,0.829,0.187,1.22,-13.171,-27.256
-0.394,0.884,0.221,1.646,-32.134,-22.317
-0.443,0.923,0.312,2.866,-48.171,-10.305
-0.559,0.95,0.413,2.683,-61.463,5.244
-0.664,1.013,0.459,3.171,-68.537,17.744
-0.66,1.107,0.478,3.476,-62.256,26.829
-0.556,1.175,0.51,-0.061,-46.159,36.22
-0.424,1.186,0.518,-6.829,-32.439,44.329
-0.332,1.183,0.507,-14.024,-31.098,49.451
-0.319,1.185,0.444,-16.707,-48.537,51.707
-0.346,1.184,0.401,-15.183,-80.061,49.207
-0.344,1.136,0.446,-11.28,-118.963,43.476
-0.343,1.041,0.459,-4.756,-152.378,34.512
-0.273,0.974,0.473,3.11,-156.89,25.549
-0.093,0.913,0.493,6.768,-120.793,19.39
0.107,0.862,0.496,5.732,-53.354,16.037
0.283,0.883,0.512,2.561,23.11,10.915
0.41,0.926,0.505,-1.524,78.72,1.341
0.441,0.936,0.472,-5.183,93.72,-10.488
0.37,0.903,0.412,-3.902,75.061,-23.476
0.239,0.867,0.327,0.549,41.159,-34.451
0.066,0.822,0.292,3.659,13.659,-43.049
-0.034,0.775,0.234,3.171,9.329,-49.695
-0.066,0.749,0.169,0.305,29.878,-53.476
-0.054,0.729,0.167,-2.744,65.427,-53.598
-0.018,0.716,0.205,-6.524,100.366,-47.866
-0.038,0.693,0.215,-11.159,118.476,-39.39
-0.15,0.661,0.185,-13.293,112.012,-32.134
-0.318,0.649,0.137,-11.707,84.878,-26.28
-0.48,0.659,0.104,-7.378,49.024,-22.378
-0.583,0.67,0.086,-0.427,14.817,-20.854
-0.593,0.669,0.155,4.268,-7.134,-19.451
-0.536,0.627,0.261,5.549,-8.902,-17.744
-0.471,0.578,0.283,5.793,4.878,-15.793
-0.428,0.593,0.307,3.598,25.061,-11.951
-0.395,0.666,0.322,1.037,44.817,-6.646
-0.368,0.74,0.274,-0.61,52.256,-2.622
-0.369,0.81,0.26,0.244,46.585,0.061
-0.361,0.885,0.282,2.561,34.512,3.476
-0.375,0.926,0.343,3.415,18.476,9.268
-0.414,0.977,0.461,3.841,-0.732,17.622
-0.448,1.068,0.536,3.72,-21.646,27.378
-0.486,1.167,0.575,3.11,-37.439,37.317
-0.524,1.226,0.577,-1.037,-41.707,47.134
-0.543,1.237,0.548,-8.902,-34.512,55.0
-0.498,1.243,0.491,-15.366,-25.915,60.122
-0.413,1.244,0.439,-15.183,-30.061,61.768
-0.358,1.205,0.469,-10.732,-49.329,61.646
-0.365,1.101,0.53,-5.427,-75.244,57.561
-0.374,1.0,0.512,1.585,-92.378,48.049
-0.245,0.959,0.515,10.488,-87.805,36.89
-0.046,0.894,0.544,16.829,-64.146,25.915
0.102,0.82,0.59,19.634,-24.817,16.098
0.213,0.809,0.558,15.61,24.024,7.439
0.286,0.84,0.445,5.976,61.098,-0.549
0.305,0.909,0.313,-2.317,69.695,-8.841
0.249,0.942,0.176,-4.878,50.122,-17.073
0.083,0.885,0.076,-3.232,20.732,-25.061
-0.061,0.798,0.06,-1.098,1.585,-32.683
-0.113,0.715,0.098,-0.976,2.317,-39.268
-0.116,0.636,0.132,-1.098,22.744,-43.476
-0.087,0.587,0.167,0.0,55.61,-44.939
-0.088,0.561,0.216,0.427,87.561,-43.659
-0.102,0.561,0.286,-1.341,107.439,-40.427
-0.142,0.574,0.279,-4.939,106.402,-37.744
-0.256,0.605,0.172,-7.012,86.768,-36.28
-0.362,0.667,0.093,-6.585,61.646,-33.72
-0.428,0.726,0.078,-4.634,41.463,-29.634
-0.471,0.757,0.135,-2.439,33.963,-24.329
-0.502,0.762,0.221,-2.683,38.354,-19.573
-0.496,0.757,0.318,-3.049,47.744,-14.085
-0.449,0.793,0.396,-1.829,46.402,-6.646
-0.507,0.831,0.462,2.012,28.476,5.427
-0.635,0.896,0.525,4.695,-1.037,21.098
-0.772,0.972,0.514,4.207,-35.61,34.451
-0.822,1.074,0.465,3.902,-63.049,43.659
-0.721,1.182,0.444,3.415,-74.634,52.378
-0.571,1.183,0.456,-1.341,-74.024,63.049
-0.517,1.128,0.485,-7.073,-73.049,70.915
-0.543,1.142,0.45,-5.366,-80.366,72.805
-0.469,1.204,0.463,-1.646,-90.732,70.061
-0.338,1.128,0.527,-0.61,-104.451,62.317
-0.263,1.011,0.455,5.122,-107.927,47.561
-0.023,0.99,0.495,12.744,-88.232,28.78
0.226,0.892,0.548,14.024,-47.317,12.561
0.345,0.809,0.547,10.854,4.695,1.585
0.396,0.853,0.479,8.232,46.463,-4.939
0.394,0.941,0.39,6.646,60.427,-9.268
0.286,0.963,0.307,6.098,51.098,-14.878
0.135,0.919,0.239,4.878,37.439,-22.317
0.03,0.834,0.179,1.22,29.39,-31.28
-0.025,0.762,0.107,-3.11,28.171,-40.427
-0.038,0.733,0.06,-5.122,35.61,-47.561
-0.027,0.713,0.054,-5.122,50.0,-51.28
-0.043,0.665,0.105,-5.549,67.012,-53.171
-0.089,0.609,0.144,-5.976,88.476,-56.098
-0.123,0.574,0.145,-5.244,113.537,-56.037
-0.14,0.588,0.146,-6.402,128.354,-49.085
-0.192,0.628,0.209,-7.012,119.695,-41.768
-0.335,0.627,0.2,-5.183,95.305,-36.341
-0.516,0.621,0.185,0.122,71.098,-24.756
-0.679,0.665,0.194,5.122,47.5,-10.0
-0.805,0.71,0.282,7.866,27.866,2.134
-0.829,0.757,0.341,8.11,14.695,11.707
-0.798,0.818,0.333,6.098,4.451,20.915
-0.74,0.907,0.36,4.146,-3.78,30.305
-0.661,1.004,0.393,4.268,-15.671,40.488
-0.624,1.092,0.472,4.939,-36.829,49.878
-0.641,1.134,0.542,3.415,-63.659,57.378
-0.655,1.153,0.548,1.524,-90.61,61.402
-0.625,1.202,0.45,3.171,-109.573,61.159
-0.484,1.238,0.448,3.415,-115.671,62.5
-0.375,1.154,0.493,-2.195,-117.378,60.366
-0.341,1.09,0.421,-3.293,-107.134,51.463
-0.119,1.125,0.382,-0.061,-80.976,39.939
0.147,1.063,0.426,2.683,-50.0,26.829
0.301,0.963,0.492,5.488,-16.646,10.061
0.391,0.903,0.534,8.171,17.256,-5.244
0.404,0.87,0.489,7.195,39.695,-13.902
0.349,0.884,0.422,5.305,45.732,-18.171
0.26,0.911,0.303,4.512,40.122,-24.451
0.152,0.896,0.193,1.768,34.939,-35.0
0.086,0.847,0.123,-3.415,38.78,-45.366
0.06,0.803,0.037,-7.134,50.366,-51.341
0.01,0.766,-0.009,-7.256,67.195,-52.805
-0.05,0.708,0.026,-6.402,86.037,-52.073
-0.124,0.634,0.073,-7.988,101.646,-51.463
-0.182,0.576,0.104,-7.012,112.622,-51.22
-0.208,0.542,0.107,-5.183,112.622,-46.585
-0.314,0.514,0.185,-3.415,95.244,-37.805
-0.499,0.51,0.188,0.244,68.354,-29.817
-0.661,0.548,0.192,4.329,46.037,-21.646
-0.743,0.599,0.235,7.378,27.683,-14.085
-0.772,0.652,0.277,9.573,7.866,-8.537
