acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.35,0.643,-0.178,-0.305,138.537,-2.988
-0.549,0.619,-0.2,-5.366,119.695,-6.402
-0.74,0.602,-0.125,-6.829,94.39,-7.073
-0.865,0.586,-0.065,-4.268,64.085,-5.061
-1.01,0.583,-0.001,2.012,30.976,-2.378
-1.14,0.605,0.078,11.098,-1.402,-1.707
-1.161,0.64,0.151,26.037,-24.207,-1.768
-1.06,0.652,0.213,40.122,-35.244,1.402
-0.929,0.642,0.229,48.415,-36.829,6.585
-0.833,0.668,0.253,52.561,-38.11,7.927
-0.782,0.731,0.296,50.366,-46.829,8.415
-0.779,0.79,0.296,41.829,-57.927,11.159
-0.837,0.855,0.267,30.244,-66.22,13.72
-0.872,0.919,0.248,19.573,-72.744,18.78
-0.866,0.96,0.197,7.927,-72.988,25.976
-0.867,0.991,0.116,0.854,-68.902,31.829
-0.856,1.053,-0.013,-2.012,-64.207,35.427
-0.771,1.135,-0.124,-3.963,-60.854,35.305
-0.565,1.151,-0.054,-3.598,-61.28,34.573
-0.423,1.093,0.077,-1.28,-59.695,30.976
-0.391,1.014,0.173,2.317,-54.39,26.159
-0.296,0.959,0.273,4.268,-43.598,23.415
-0.214,0.892,0.387,3.049,-27.195,19.451
-0.247,0.836,0.455,0.488,-4.939,17.622
-0.31,0.819,0.407,-1.098,23.171,18.476
-0.329,0.789,0.305,-2.744,45.671,17.988
-0.302,0.782,0.16,-7.134,57.012,17.134
-0.25,0.782,0.02,-14.268,64.024,16.159
-0.27,0.764,-0.116,-24.329,67.134,11.768
-0.289,0.773,-0.236,-36.951,62.622,5.183
-0.268,0.806,-0.291,-47.622,57.988,-1.707
-0.285,0.798,-0.308,-54.695,62.866,-6.159
-0.362,0.748,-0.283,-56.402,79.329,-9.573
-0.379,0.688,-0.16,-48.963,98.354,-12.5
-0.338,0.613,-0.018,-36.28,109.39,-11.768
-0.411,0.5,0.125,-22.439,105.793,-11.037
-0.563,0.422,0.216,-8.841,81.402,-12.012
-0.658,0.441,0.177,1.402,44.146,-13.963
-0.728,0.505,0.111,5.915,8.841,-17.317
-0.788,0.586,0.057,11.89,-16.707,-20.732
-0.751,0.667,-0.007,15.671,-35.122,-24.024
-0.667,0.7,-0.08,13.293,-42.317,-23.78
-0.695,0.745,-0.051,10.549,-39.207,-23.415
-0.767,0.798,0.025,13.537,-34.329,-21.463
-0.758,0.817,0.077,19.451,-27.866,-16.341
-0.791,0.805,0.157,26.341,-25.061,-9.756
-0.856,0.81,0.285,32.073,-31.159,-3.415
-0.858,0.824,0.35,30.732,-43.11,4.39
-0.871,0.857,0.345,15.732,-57.866,13.841
-0.934,0.927,0.315,1.28,-80.671,23.78
-0.973,1.02,0.233,3.293,-105.061,27.561
-1.043,1.101,0.06,8.598,-115.183,22.378
-0.905,1.159,-0.008,6.89,-113.476,19.817
-0.392,1.146,0.149,2.012,-102.378,20.061
-0.18,1.049,0.334,-1.707,-77.317,17.622
-0.272,1.031,0.407,-2.927,-51.524,16.28
-0.29,1.064,0.392,-3.415,-31.28,18.354
-0.313,1.04,0.302,-5.915,-14.085,19.695
-0.386,1.002,0.241,-7.683,-3.659,19.329
-0.379,0.982,0.237,-7.805,-4.268,16.585
-0.381,0.931,0.221,-9.878,-3.598,14.207
-0.381,0.859,0.237,-13.11,2.744,9.939
-0.348,0.787,0.256,-14.207,14.817,5.305
-0.283,0.73,0.221,-14.451,32.073,0.61
-0.255,0.687,0.142,-13.72,51.22,-3.72
-0.252,0.656,-0.014,-15.732,69.024,-10.549
-0.203,0.633,-0.185,-21.951,79.085,-20.122
-0.14,0.653,-0.247,-27.683,77.622,-29.512
-0.147,0.679,-0.243,-31.037,73.78,-37.988
-0.226,0.654,-0.223,-32.378,75.732,-45.671
-0.304,0.636,-0.127,-28.537,81.89,-48.598
-0.362,0.621,-0.022,-19.512,94.878,-47.622
-0.431,0.55,0.073,-8.537,103.902,-47.317
-0.513,0.502,0.146,3.415,93.415,-47.195
-0.589,0.478,0.179,14.329,67.195,-47.622
-0.708,0.454,0.138,17.561,33.415,-46.768
-0.867,0.478,0.05,15.732,-3.11,-42.683
-1.005,0.585,0.053,17.927,-35.549,-36.524
-1.083,0.681,0.09,24.39,-54.146,-27.683
-1.122,0.703,0.101,31.098,-51.098,-16.89
-1.113,0.717,0.177,37.317,-36.829,-6.829
-1.031,0.774,0.33,40.671,-34.451,2.866
-0.916,0.813,0.474,31.768,-47.195,13.415
-0.935,0.843,0.506,12.988,-65.244,22.927
-1.036,0.94,0.44,9.634,-82.195,29.512
-1.071,1.079,0.242,13.049,-86.463,31.646
-0.99,1.182,-0.006,7.744,-80.793,30.671
-0.64,1.23,-0.013,4.695,-71.037,30.183
-0.347,1.178,0.127,5.488,-50.61,28.049
-0.287,1.071,0.222,7.683,-24.146,23.72
-0.151,1.003,0.322,10.366,-2.561,21.646
-0.084,0.941,0.375,11.341,20.732,20.61
-0.173,0.876,0.362,10.854,46.585,18.354
-0.276,0.85,0.331,11.768,65.915,14.756
-0.318,0.829,0.241,14.146,77.439,10.915
-0.328,0.78,0.114,15.305,86.28,7.5
-0.318,0.724,0.031,13.415,90.061,3.963
-0.308,0.675,-0.1,7.561,87.561,-0.976
-0.301,0.649,-0.243,-2.317,83.963,-6.951
-0.321,0.677,-0.299,-12.012,79.512,-12.622
-0.365,0.679,-0.329,-18.11,83.72,-17.5
-0.419,0.65,-0.228,-21.159,97.134,-21.646
-0.464,0.594,-0.085,-17.744,119.878,-20.549
-0.444,0.509,0.06,-9.695,137.378,-21.524
-0.433,0.437,0.173,-3.232,126.829,-27.683
-0.492,0.4,0.138,-0.183,92.561,-34.512
-0.662,0.407,0.075,3.902,58.171,-41.707
-0.817,0.488,0.048,3.171,27.866,-48.293
-0.796,0.569,-0.068,-1.646,1.524,-53.476
-0.767,0.618,-0.096,-2.317,-8.415,-53.78
-0.825,0.684,-0.052,2.866,2.073,-49.268
-0.832,0.719,-0.053,11.951,21.646,-44.573
-0.805,0.736,0.031,19.207,27.927,-41.768
-0.757,0.759,0.159,22.866,16.402,-34.451
-0.872,0.776,0.243,23.963,-5.427,-27.683
-1.087,0.813,0.312,22.317,-35.183,-20.122
-1.179,0.887,0.327,19.695,-71.463,-9.878
-1.256,0.945,0.311,16.768,-106.22,2.256
-1.36,0.985,0.243,11.829,-121.951,18.537
-1.361,1.024,0.11,9.878,-119.878,31.89
-1.214,1.073,-0.024,12.195,-113.232,40.061
-1.021,1.121,-0.173,10.61,-99.939,48.354
-0.798,1.137,-0.215,13.537,-87.622,48.171
-0.57,1.099,-0.09,21.951,-80.915,40.427
-0.388,0.972,-0.005,24.756,-70.915,34.695
-0.195,0.831,0.125,20.366,-56.707,29.085
-0.093,0.756,0.246,10.854,-37.988,21.89
-0.108,0.767,0.252,2.256,-9.817,16.159
-0.148,0.773,0.23,-2.744,17.5,9.939
-0.209,0.753,0.152,-6.646,37.439,4.634
-0.231,0.749,0.036,-10.61,50.244,2.134
-0.25,0.733,-0.017,-16.159,55.61,-2.866
-0.291,0.719,-0.097,-22.805,63.293,-7.988
-0.293,0.725,-0.154,-27.5,77.012,-12.683
-0.256,0.719,-0.213,-29.634,90.305,-17.927
-0.222,0.712,-0.291,-34.939,98.902,-23.963
-0.253,0.716,-0.331,-42.744,105.122,-28.78
-0.361,0.724,-0.289,-45.549,118.659,-26.402
-0.532,0.694,-0.165,-42.439,131.159,-21.646
-0.689,0.602,0.077,-31.646,116.524,-18.171
-0.838,0.479,0.224,-17.622,79.329,-14.939
