acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.335,0.594,-0.219,-30.915,167.988,-5.671
-0.401,0.608,-0.337,-35.61,152.5,-7.683
-0.502,0.598,-0.384,-37.134,128.598,-7.866
-0.71,0.576,-0.312,-34.024,99.268,-9.451
-0.885,0.551,-0.177,-24.268,67.683,-8.598
-0.99,0.522,-0.06,-8.598,35.793,-6.585
-1.054,0.48,0.062,6.402,8.049,-4.451
-1.069,0.455,0.102,18.963,-12.622,-3.049
-1.006,0.495,0.13,33.171,-28.476,-0.549
-0.921,0.565,0.169,45.0,-39.634,3.598
-0.852,0.61,0.194,49.512,-48.537,7.622
-0.851,0.652,0.176,48.049,-51.829,13.841
-0.925,0.72,0.167,46.402,-51.585,17.073
-0.933,0.817,0.196,39.207,-53.537,19.268
-0.834,0.895,0.18,22.988,-56.402,24.268
-0.809,0.956,0.166,2.134,-56.829,28.841
-0.838,1.02,0.155,-2.744,-64.634,32.012
-0.865,1.093,0.071,-1.22,-72.988,33.476
-0.844,1.15,-0.077,-6.951,-75.671,32.5
-0.67,1.181,-0.063,-9.939,-74.939,30.671
-0.487,1.15,0.082,-9.451,-66.829,26.646
-0.385,1.061,0.182,-6.402,-53.049,22.195
-0.255,0.999,0.288,-2.866,-36.28,17.744
-0.167,0.912,0.385,-2.256,-15.549,15.671
-0.191,0.835,0.418,-4.085,8.232,13.415
-0.287,0.813,0.407,-3.232,25.793,10.915
-0.362,0.812,0.301,-3.72,33.293,7.195
-0.382,0.779,0.152,-8.537,35.732,3.049
-0.399,0.767,0.036,-15.671,35.305,-2.988
-0.391,0.78,-0.067,-25.366,34.024,-9.817
-0.338,0.768,-0.13,-34.207,37.866,-18.171
-0.281,0.757,-0.162,-43.11,50.061,-24.878
-0.227,0.749,-0.215,-51.341,71.159,-29.085
-0.204,0.753,-0.218,-55.915,90.671,-33.72
-0.225,0.762,-0.18,-55.976,106.89,-31.646
-0.319,0.713,-0.119,-48.72,120.732,-26.707
-0.455,0.589,0.02,-35.61,114.878,-20.854
-0.637,0.441,0.16,-19.207,79.573,-14.817
-0.923,0.337,0.223,-5.366,27.5,-10.793
-1.169,0.313,0.18,2.256,-22.317,-10.061
-1.22,0.393,0.143,10.0,-56.768,-12.195
-1.045,0.538,0.058,18.963,-71.463,-12.378
-0.813,0.617,0.011,24.207,-64.634,-10.671
-0.724,0.634,-0.021,26.524,-42.561,-6.951
-0.654,0.692,-0.006,30.0,-21.098,-2.744
-0.566,0.761,0.042,33.537,-12.012,0.976
-0.574,0.78,0.083,33.598,-15.976,4.207
-0.671,0.783,0.162,33.293,-28.232,7.317
-0.772,0.813,0.267,30.976,-43.354,9.939
-0.811,0.842,0.354,16.707,-57.012,13.72
-0.862,0.868,0.392,5.671,-70.793,17.561
-0.93,0.946,0.305,13.72,-83.902,17.256
-0.981,1.068,0.051,16.524,-85.732,13.476
-0.795,1.168,-0.065,11.402,-79.939,14.085
-0.454,1.183,0.064,7.317,-65.854,18.232
-0.442,1.115,0.203,3.72,-44.329,16.341
-0.398,1.07,0.326,2.378,-26.159,16.524
-0.289,1.023,0.375,1.098,-13.963,15.0
-0.361,0.95,0.356,-1.646,-1.951,12.988
-0.431,0.916,0.324,-3.841,8.598,11.463
-0.449,0.89,0.284,-2.317,15.244,8.049
-0.46,0.859,0.25,-0.366,22.195,4.146
-0.443,0.813,0.227,-2.012,32.744,-0.915
-0.389,0.731,0.228,-2.378,46.585,-5.671
-0.339,0.686,0.129,-2.439,62.439,-12.317
-0.239,0.666,0.036,-4.451,74.939,-19.451
-0.178,0.667,-0.083,-15.244,80.61,-27.378
-0.193,0.67,-0.212,-27.317,92.622,-34.329
-0.2,0.7,-0.213,-31.341,98.232,-38.963
-0.276,0.72,-0.257,-30.732,107.195,-38.78
-0.406,0.667,-0.188,-24.573,124.146,-35.793
-0.507,0.539,-0.041,-14.817,128.049,-34.756
-0.558,0.393,0.083,-2.744,105.976,-35.549
-0.669,0.313,0.112,8.171,62.866,-34.085
-0.918,0.314,0.07,12.012,12.439,-32.195
-1.118,0.405,0.022,12.866,-29.451,-28.72
-1.118,0.556,-0.019,15.488,-55.61,-24.573
-1.005,0.653,-0.094,18.354,-67.195,-20.366
-0.887,0.696,-0.096,21.341,-60.976,-12.927
-0.857,0.725,-0.053,25.183,-46.22,-4.939
-0.867,0.758,0.045,28.78,-35.305,3.78
-0.894,0.793,0.179,32.683,-34.146,10.854
-0.982,0.817,0.29,33.415,-39.451,17.195
-1.044,0.818,0.378,29.085,-51.585,21.098
-1.022,0.842,0.4,19.878,-73.049,24.39
-0.988,0.894,0.348,8.902,-95.244,29.634
-1.0,0.965,0.189,5.244,-115.305,32.317
-1.024,1.053,-0.02,4.817,-116.281,35.305
-0.941,1.139,-0.121,1.402,-99.634,32.683
-0.598,1.13,0.006,3.049,-82.317,27.378
-0.247,1.038,0.167,4.512,-64.329,22.378
-0.184,0.949,0.252,3.841,-45.488,15.183
-0.183,0.895,0.348,2.378,-27.5,8.78
-0.178,0.845,0.388,-0.671,-8.841,1.585
-0.254,0.788,0.348,-5.671,14.39,-3.598
-0.3,0.736,0.318,-6.22,35.915,-8.659
-0.298,0.711,0.23,-4.146,51.646,-12.988
-0.251,0.679,0.133,-4.878,63.598,-16.341
-0.233,0.623,0.018,-12.439,73.598,-22.988
-0.274,0.598,-0.135,-21.341,81.89,-30.732
-0.253,0.647,-0.256,-26.768,84.634,-37.5
-0.246,0.684,-0.358,-31.585,83.415,-42.805
-0.347,0.669,-0.385,-33.293,91.829,-44.329
-0.453,0.643,-0.284,-27.317,114.451,-42.927
-0.486,0.596,-0.13,-14.939,135.366,-39.939
-0.484,0.514,0.052,-4.939,132.439,-39.146
-0.56,0.409,0.164,4.207,97.256,-38.354
-0.771,0.343,0.175,11.341,42.561,-37.866
-1.06,0.366,0.146,14.512,-11.646,-38.354
