acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.558,0.609,0.3,-25.0,107.134,49.024
-0.525,0.596,0.31,-17.073,103.781,41.28
-0.445,0.565,0.348,-10.549,105.366,33.171
-0.392,0.518,0.335,-5.244,110.732,27.805
-0.333,0.491,0.296,0.0,119.573,24.207
-0.307,0.489,0.199,2.866,126.951,21.402
-0.344,0.486,0.072,4.146,133.171,19.39
-0.391,0.499,-0.007,6.89,135.0,15.61
-0.418,0.512,-0.07,10.183,123.293,8.598
-0.466,0.489,-0.154,9.878,105.427,3.72
-0.624,0.475,-0.183,8.72,88.171,-0.549
-0.795,0.514,-0.172,8.78,64.451,-3.354
-0.869,0.571,-0.165,8.78,34.695,-5.061
-0.924,0.61,-0.097,13.232,12.744,-4.024
-0.997,0.634,-0.023,24.451,-7.317,-3.537
-1.012,0.654,0.041,36.707,-29.207,-3.415
-0.978,0.666,0.113,43.963,-50.122,-0.488
-1.038,0.697,0.195,44.939,-65.305,5.061
-1.08,0.759,0.239,43.171,-70.671,11.768
-1.02,0.858,0.248,36.159,-68.232,18.11
-0.889,0.952,0.274,25.061,-67.195,24.085
-0.8,1.008,0.206,11.341,-66.402,32.012
-0.82,1.044,0.078,4.268,-67.744,37.378
-0.884,1.113,-0.033,1.585,-73.415,35.732
-0.821,1.183,-0.124,-0.976,-80.854,31.707
-0.598,1.167,-0.09,-1.646,-84.146,26.037
-0.431,1.073,0.048,0.183,-76.524,17.683
-0.342,0.982,0.153,3.171,-59.573,11.159
-0.179,0.917,0.263,3.049,-35.793,6.646
-0.097,0.847,0.373,-0.183,-8.415,1.341
-0.171,0.805,0.415,-2.195,21.341,-2.378
-0.259,0.792,0.38,-1.341,46.585,-5.122
-0.3,0.769,0.264,-4.939,63.537,-9.39
-0.261,0.741,0.111,-15.671,71.646,-13.293
-0.248,0.75,-0.068,-26.646,74.085,-16.707
-0.282,0.802,-0.279,-35.244,69.695,-21.22
-0.262,0.849,-0.432,-42.866,62.927,-25.122
-0.32,0.813,-0.505,-48.902,65.549,-26.646
-0.437,0.729,-0.44,-48.049,84.695,-24.268
-0.479,0.635,-0.204,-37.317,103.598,-21.89
-0.489,0.497,0.103,-19.634,101.281,-19.695
-0.593,0.337,0.23,-5.549,74.024,-19.268
-0.794,0.275,0.212,-0.549,30.671,-19.817
-0.898,0.371,0.099,2.256,-16.28,-22.622
-0.927,0.539,-0.007,5.61,-51.89,-26.037
-0.877,0.647,-0.11,7.012,-58.415,-23.476
-0.809,0.675,-0.133,11.463,-37.866,-18.11
-0.767,0.702,-0.099,17.439,-16.28,-12.927
-0.702,0.736,-0.039,21.829,-10.549,-6.707
-0.743,0.767,0.063,25.366,-20.366,-1.768
-0.936,0.801,0.166,25.793,-37.805,2.866
-1.019,0.849,0.228,23.171,-60.366,8.11
-0.99,0.912,0.24,18.049,-81.829,12.622
-0.965,0.985,0.226,7.439,-94.024,20.122
-0.929,1.05,0.19,-0.244,-91.341,31.646
-0.902,1.097,0.163,-0.793,-84.817,37.195
-0.867,1.12,0.097,-5.61,-78.293,37.439
-0.741,1.139,0.058,-9.512,-69.878,37.317
-0.529,1.116,0.124,-7.927,-62.5,33.171
-0.426,1.011,0.209,-5.793,-51.402,25.061
-0.317,0.912,0.244,-4.024,-32.622,18.72
-0.198,0.828,0.258,-4.146,-7.744,11.707
-0.143,0.753,0.234,-4.512,19.939,5.549
-0.116,0.724,0.191,-5.122,45.366,-0.061
-0.118,0.708,0.169,-7.927,63.049,-5.732
-0.165,0.688,0.097,-12.378,73.841,-10.732
-0.22,0.702,-0.073,-17.988,78.415,-18.415
-0.19,0.723,-0.23,-27.744,76.463,-27.439
-0.186,0.734,-0.331,-37.5,72.683,-35.0
-0.277,0.754,-0.356,-42.012,75.793,-40.854
-0.369,0.727,-0.306,-41.341,90.183,-41.707
-0.433,0.672,-0.163,-32.561,106.768,-39.268
-0.491,0.604,-0.031,-16.951,109.512,-35.549
-0.594,0.489,0.135,-5.183,82.012,-35.854
-0.812,0.371,0.237,2.012,33.537,-36.646
-1.047,0.366,0.214,8.659,-11.524,-35.427
-1.126,0.479,0.102,15.854,-46.585,-34.207
-1.02,0.599,0.019,22.927,-60.427,-28.598
-0.938,0.635,-0.003,27.5,-51.951,-21.098
-0.946,0.655,0.017,28.902,-37.073,-13.78
-0.885,0.704,0.096,28.171,-30.488,-4.146
-0.904,0.752,0.15,24.512,-32.561,4.817
-1.011,0.804,0.189,19.451,-42.561,12.195
-1.042,0.873,0.217,14.878,-57.927,19.329
-1.028,0.937,0.243,3.963,-68.963,28.049
-0.999,0.993,0.212,-1.22,-76.585,37.927
-0.981,1.062,0.135,-3.11,-81.707,40.183
-0.933,1.128,0.038,-8.537,-80.183,38.841
-0.675,1.178,0.075,-7.195,-76.463,39.329
-0.426,1.106,0.207,-4.146,-65.915,35.976
-0.386,0.95,0.291,-4.451,-48.415,30.549
-0.339,0.875,0.306,-4.695,-25.915,25.976
-0.267,0.833,0.287,-4.329,-1.341,17.378
-0.234,0.76,0.281,-3.232,21.402,9.451
-0.186,0.693,0.24,-2.866,39.268,2.744
-0.173,0.646,0.136,-6.159,53.293,-3.902
-0.204,0.642,-0.018,-11.159,64.939,-10.549
-0.218,0.676,-0.163,-14.939,72.256,-20.0
-0.149,0.701,-0.243,-19.024,69.756,-28.72
-0.18,0.697,-0.336,-24.573,65.366,-36.037
-0.285,0.682,-0.342,-28.415,65.549,-42.866
-0.36,0.667,-0.23,-25.61,67.134,-47.866
-0.412,0.641,-0.128,-17.317,68.963,-47.195
-0.518,0.573,-0.029,-7.5,66.159,-45.854
-0.676,0.493,0.124,1.037,51.28,-46.402
-0.812,0.437,0.256,10.366,25.61,-42.988
-1.0,0.421,0.322,18.293,0.732,-36.829
-1.141,0.453,0.246,23.049,-22.378,-29.39
