acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.281,0.629,0.558,26.585,53.11,41.28
-0.258,0.643,0.552,25.61,48.598,38.049
-0.27,0.676,0.532,22.866,36.707,32.561
-0.315,0.719,0.505,20.854,20.793,28.841
-0.389,0.741,0.484,17.744,10.549,27.134
-0.455,0.75,0.496,16.402,11.098,28.049
-0.505,0.735,0.495,15.183,20.366,31.28
-0.504,0.728,0.487,14.146,30.854,31.768
-0.417,0.729,0.438,13.354,35.244,28.659
-0.341,0.755,0.349,12.317,35.0,23.537
-0.317,0.792,0.309,11.341,35.793,16.89
-0.345,0.799,0.248,12.439,43.72,11.28
-0.378,0.778,0.184,10.915,60.854,7.256
-0.357,0.741,0.201,7.5,81.159,0.915
-0.287,0.679,0.236,4.39,96.646,-5.671
-0.213,0.632,0.222,-1.22,103.476,-13.049
-0.176,0.612,0.243,-7.134,100.61,-20.793
-0.205,0.604,0.226,-15.122,94.329,-24.634
-0.228,0.613,0.183,-21.89,89.512,-28.354
-0.243,0.628,0.164,-27.195,83.78,-32.134
-0.263,0.658,0.124,-31.341,73.476,-31.829
-0.312,0.651,0.07,-34.268,61.646,-26.037
-0.403,0.672,0.044,-33.659,51.037,-17.927
-0.476,0.741,0.074,-31.28,40.976,-8.232
-0.574,0.806,0.178,-28.659,29.39,-0.061
-0.638,0.843,0.318,-24.024,10.793,3.476
-0.674,0.875,0.462,-18.659,-13.598,4.817
-0.713,0.899,0.58,-13.293,-40.671,4.451
-0.728,0.912,0.673,-5.183,-67.805,3.476
-0.731,0.896,0.713,2.561,-89.146,5.122
-0.718,0.839,0.693,7.744,-101.707,9.085
-0.655,0.771,0.678,14.39,-108.842,16.768
-0.603,0.708,0.636,19.329,-105.61,25.732
-0.541,0.678,0.554,17.561,-89.268,31.646
-0.485,0.733,0.524,9.451,-65.122,29.268
-0.441,0.873,0.505,5.0,-45.671,21.098
-0.382,1.018,0.479,1.463,-34.451,14.878
-0.292,1.119,0.508,0.061,-28.293,11.829
-0.245,1.137,0.55,0.244,-23.049,7.439
-0.229,1.106,0.571,4.39,-20.366,1.768
-0.195,1.028,0.592,9.329,-20.244,-2.378
-0.126,0.97,0.603,12.927,-23.232,-5.061
-0.054,0.945,0.599,14.634,-28.354,-5.976
-0.038,0.949,0.607,14.756,-32.866,-5.549
-0.075,0.945,0.598,14.268,-34.512,-4.634
-0.147,0.925,0.549,13.537,-30.366,-3.78
-0.23,0.901,0.504,13.598,-20.122,-1.22
-0.307,0.876,0.451,13.841,-5.122,5.366
-0.338,0.854,0.413,12.683,10.427,10.244
-0.345,0.836,0.373,11.098,21.829,11.098
-0.362,0.826,0.315,9.939,28.537,13.293
-0.402,0.838,0.266,9.085,34.756,15.366
-0.426,0.83,0.224,8.415,41.829,12.805
-0.39,0.791,0.206,7.927,47.866,7.378
-0.323,0.761,0.222,5.305,51.098,1.707
-0.245,0.724,0.243,5.488,52.439,-1.098
-0.207,0.669,0.23,3.659,54.512,-0.061
-0.19,0.617,0.233,2.439,56.098,-0.915
-0.187,0.56,0.193,2.988,57.561,-2.683
-0.21,0.553,0.122,-0.183,60.366,-5.854
-0.203,0.593,0.096,-4.512,64.146,-11.159
-0.193,0.652,0.093,-8.415,67.866,-16.951
-0.211,0.712,0.098,-11.341,71.707,-22.378
-0.23,0.727,0.105,-15.549,75.671,-27.439
-0.257,0.716,0.125,-22.073,78.476,-32.256
-0.291,0.701,0.147,-26.402,79.39,-33.841
-0.296,0.705,0.168,-29.024,76.463,-31.829
-0.326,0.721,0.209,-30.488,68.415,-28.171
-0.409,0.714,0.266,-29.207,55.427,-22.439
-0.489,0.725,0.292,-26.28,37.256,-16.28
-0.572,0.752,0.281,-22.378,14.329,-10.366
-0.657,0.775,0.315,-16.098,-10.488,-3.354
-0.749,0.794,0.427,-7.561,-33.841,4.451
-0.826,0.805,0.564,-0.427,-52.5,10.549
-0.862,0.794,0.682,5.61,-67.012,12.5
-0.862,0.774,0.722,11.341,-80.549,13.72
-0.829,0.776,0.713,14.268,-90.976,17.195
-0.767,0.787,0.676,16.037,-96.829,21.768
-0.705,0.802,0.618,15.366,-99.268,26.341
-0.66,0.831,0.538,15.061,-98.049,29.085
-0.617,0.87,0.472,14.024,-88.171,31.646
