acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.293,0.682,0.541,12.317,-24.207,19.756
-0.366,0.684,0.483,12.927,-24.268,16.768
-0.378,0.675,0.461,13.659,-16.22,14.329
-0.343,0.678,0.458,13.415,-4.329,10.793
-0.282,0.673,0.399,14.329,5.427,5.732
-0.259,0.653,0.3,14.634,14.512,2.622
-0.261,0.648,0.286,13.476,24.756,1.098
-0.231,0.639,0.319,12.073,35.732,-1.22
-0.188,0.607,0.327,10.305,47.439,-3.537
-0.139,0.586,0.329,7.5,56.22,-6.585
-0.109,0.578,0.304,2.744,60.366,-11.28
-0.102,0.612,0.246,-4.634,61.098,-17.256
-0.114,0.693,0.204,-12.073,59.695,-22.378
-0.149,0.773,0.175,-17.5,55.915,-23.963
-0.18,0.822,0.178,-20.549,51.463,-23.171
-0.196,0.828,0.24,-22.073,48.415,-22.622
-0.223,0.809,0.296,-22.317,48.171,-24.939
-0.251,0.79,0.311,-22.317,50.427,-27.927
-0.279,0.79,0.35,-21.768,53.232,-27.744
-0.28,0.796,0.402,-19.695,52.073,-25.305
-0.274,0.792,0.446,-16.341,45.915,-20.183
-0.311,0.79,0.491,-12.317,37.195,-12.744
-0.379,0.803,0.523,-7.317,27.256,-5.366
-0.446,0.816,0.567,-2.988,15.61,0.854
-0.511,0.828,0.615,-0.793,2.744,5.427
-0.579,0.839,0.625,-0.671,-9.024,8.72
-0.629,0.852,0.613,-0.305,-18.963,13.049
-0.652,0.857,0.584,1.159,-29.451,17.866
-0.656,0.851,0.571,2.012,-38.78,23.415
-0.635,0.849,0.593,0.61,-44.39,28.963
-0.569,0.866,0.611,0.366,-47.317,32.988
-0.5,0.899,0.605,3.049,-47.866,35.976
-0.46,0.925,0.607,5.671,-45.854,36.524
-0.434,0.938,0.624,7.805,-43.598,34.268
-0.413,0.962,0.637,8.902,-42.134,31.89
-0.373,1.008,0.657,9.329,-42.927,28.72
-0.312,1.031,0.667,10.122,-46.951,23.659
-0.254,1.019,0.664,10.915,-50.671,17.805
-0.21,0.982,0.654,11.22,-49.695,14.329
-0.167,0.938,0.657,10.793,-43.598,13.232
-0.144,0.889,0.641,11.037,-37.134,10.976
-0.146,0.844,0.58,12.012,-31.098,9.634
-0.171,0.823,0.52,12.256,-23.537,11.646
-0.185,0.822,0.486,11.402,-14.39,14.756
-0.201,0.813,0.454,10.427,-4.817,16.89
-0.237,0.8,0.412,9.817,3.049,15.915
-0.254,0.791,0.385,9.39,9.39,12.805
-0.227,0.78,0.385,7.927,17.439,10.244
-0.182,0.77,0.393,7.317,25.488,6.098
-0.148,0.748,0.373,8.171,31.646,0.122
-0.127,0.716,0.331,8.049,37.317,-5.976
-0.093,0.688,0.307,8.78,43.232,-11.646
-0.041,0.666,0.293,10.183,47.744,-15.976
0.003,0.651,0.277,8.171,48.963,-18.11
0.022,0.626,0.258,5.244,45.732,-22.744
-0.02,0.608,0.207,1.22,41.585,-27.622
-0.083,0.63,0.184,-2.195,37.805,-29.878
-0.164,0.671,0.206,-6.524,37.622,-28.659
-0.258,0.686,0.206,-11.951,41.524,-28.78
-0.302,0.682,0.202,-15.0,43.72,-29.085
-0.302,0.698,0.19,-18.049,43.171,-24.39
-0.299,0.714,0.193,-21.646,41.707,-19.085
-0.311,0.714,0.192,-22.561,38.171,-17.439
-0.337,0.735,0.184,-23.293,31.768,-15.244
