acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.172,0.666,0.453,-0.732,28.049,59.329
-0.179,0.704,0.488,0.549,20.244,55.366
-0.183,0.711,0.525,2.073,17.5,50.732
-0.201,0.687,0.573,2.5,18.78,44.573
-0.208,0.652,0.586,2.744,19.878,41.22
-0.222,0.62,0.551,2.927,19.268,42.988
-0.235,0.615,0.531,2.317,18.659,43.598
-0.27,0.627,0.487,1.646,20.671,41.89
-0.287,0.66,0.44,-0.61,24.268,40.793
-0.274,0.711,0.425,-4.085,25.915,40.183
-0.255,0.747,0.413,-4.634,22.073,37.561
-0.235,0.746,0.39,-4.451,16.402,33.415
-0.24,0.745,0.403,-4.512,12.805,29.939
-0.273,0.736,0.43,-3.841,10.427,27.927
-0.274,0.728,0.453,-2.195,6.707,27.317
-0.243,0.714,0.485,-0.122,0.122,24.817
-0.198,0.697,0.489,0.793,-7.256,20.671
-0.173,0.713,0.485,0.732,-13.78,15.854
-0.174,0.739,0.501,1.768,-19.024,10.915
-0.183,0.753,0.519,2.073,-18.476,7.988
-0.177,0.749,0.55,2.561,-11.524,7.012
-0.163,0.721,0.571,6.341,-2.073,6.768
-0.171,0.693,0.543,10.732,7.5,5.244
-0.166,0.686,0.513,12.561,14.817,3.049
-0.145,0.711,0.491,11.463,17.927,2.439
-0.135,0.756,0.465,10.366,16.463,1.28
-0.145,0.795,0.439,10.183,12.134,-0.976
-0.165,0.813,0.422,9.939,8.476,-3.232
-0.182,0.811,0.439,10.122,8.659,-6.037
-0.192,0.799,0.471,9.207,12.012,-8.902
-0.191,0.771,0.487,8.415,14.207,-12.134
-0.178,0.743,0.511,8.049,13.598,-15.0
-0.167,0.727,0.524,5.854,10.305,-15.793
-0.153,0.726,0.541,4.695,5.854,-16.646
-0.168,0.73,0.516,3.841,3.293,-17.866
-0.196,0.752,0.482,2.5,1.098,-20.305
-0.185,0.772,0.447,0.854,-0.732,-22.073
-0.176,0.794,0.415,-2.256,1.707,-21.524
-0.198,0.81,0.395,-3.963,6.585,-21.098
-0.239,0.806,0.378,-3.963,11.037,-19.878
-0.269,0.799,0.346,-4.817,15.0,-16.829
-0.265,0.783,0.344,-6.463,17.073,-13.598
-0.279,0.754,0.338,-8.293,17.805,-10.854
-0.307,0.75,0.333,-10.854,18.902,-9.39
-0.315,0.782,0.346,-12.683,21.341,-8.841
-0.302,0.815,0.363,-15.061,22.683,-9.878
-0.276,0.842,0.389,-17.439,20.61,-12.012
-0.264,0.85,0.407,-18.598,14.146,-13.72
-0.276,0.849,0.402,-19.085,6.707,-12.683
-0.289,0.836,0.422,-19.085,1.402,-10.183
-0.286,0.809,0.451,-16.829,-2.073,-6.22
-0.281,0.776,0.453,-13.171,-4.573,-0.549
-0.271,0.756,0.457,-10.732,-7.988,2.195
-0.267,0.762,0.48,-9.085,-14.817,1.341
-0.293,0.805,0.521,-7.683,-22.683,0.305
-0.335,0.865,0.562,-6.951,-28.171,0.854
-0.352,0.897,0.584,-6.098,-30.976,1.585
-0.358,0.9,0.577,-4.39,-31.22,4.39
-0.337,0.893,0.598,-4.39,-28.11,6.22
-0.309,0.884,0.621,-4.939,-24.268,6.707
-0.269,0.881,0.637,-4.756,-25.0,8.902
-0.273,0.903,0.648,-4.817,-30.732,10.488
-0.306,0.939,0.671,-3.537,-36.524,10.976
-0.322,0.983,0.713,-1.28,-36.098,12.073
