acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.294,0.824,0.214,16.768,51.159,-4.085
-0.236,0.89,0.116,11.463,55.305,-7.927
-0.222,0.909,0.047,7.012,63.72,-10.793
-0.275,0.896,-0.058,2.317,73.902,-11.768
-0.271,0.868,-0.122,-2.439,83.598,-10.305
-0.278,0.877,-0.157,-9.634,81.707,-9.146
-0.319,0.838,-0.174,-15.305,68.11,-7.012
-0.309,0.762,-0.138,-15.549,57.622,-6.829
-0.268,0.699,-0.04,-11.829,51.524,-4.634
-0.244,0.682,0.061,-9.512,51.89,-0.793
-0.217,0.693,0.119,-9.024,58.354,2.256
-0.218,0.78,0.106,-10.488,67.866,5.305
-0.229,0.88,0.076,-11.829,82.988,7.439
-0.248,0.936,-0.044,-11.951,101.707,7.073
-0.275,0.972,-0.213,-13.537,110.244,5.732
-0.284,1.008,-0.295,-15.915,106.22,5.122
-0.241,1.002,-0.335,-17.317,98.841,3.171
-0.215,0.944,-0.362,-20.671,92.927,2.744
-0.252,0.916,-0.249,-25.122,88.049,5.0
-0.336,0.828,-0.098,-22.378,79.573,8.293
-0.512,0.688,-0.011,-12.927,62.866,14.573
-0.706,0.621,0.087,-2.134,41.463,21.159
-0.73,0.706,0.121,0.854,28.11,21.89
-0.614,0.818,0.023,-1.341,19.268,15.976
-0.502,0.852,-0.102,-1.768,6.707,8.11
-0.376,0.846,-0.184,1.463,-7.317,1.829
-0.233,0.914,-0.187,3.598,-19.146,-2.195
-0.235,0.93,-0.105,5.061,-31.89,-4.817
-0.315,0.902,-0.034,7.134,-42.805,-3.902
-0.337,0.932,-0.001,8.841,-46.829,-1.768
-0.351,0.984,0.0,9.268,-48.72,0.793
-0.428,1.011,-0.021,11.037,-54.085,4.39
-0.496,1.021,0.003,12.317,-64.573,9.695
-0.485,1.04,0.021,11.402,-77.683,15.122
-0.509,1.041,-0.002,9.512,-94.878,18.232
-0.513,1.033,-0.022,9.451,-110.732,22.378
-0.471,1.058,-0.038,10.427,-123.171,25.183
-0.458,1.073,-0.028,12.927,-128.171,29.695
-0.413,1.091,0.02,13.78,-119.695,36.037
-0.427,1.124,0.053,10.427,-103.537,41.402
-0.369,1.119,0.058,10.915,-93.415,39.207
-0.167,1.097,0.111,9.939,-85.183,36.585
0.047,1.091,0.271,3.841,-75.793,28.598
0.239,1.016,0.385,-2.195,-68.354,14.146
0.284,0.984,0.43,-6.951,-62.927,-0.915
0.192,1.001,0.401,-8.049,-49.146,-14.878
0.074,1.034,0.316,-6.951,-26.585,-23.902
-0.108,1.054,0.17,-2.256,-2.5,-27.012
-0.209,1.036,0.069,6.037,24.207,-28.537
-0.255,1.014,0.048,13.598,49.024,-29.634
-0.317,0.988,0.062,15.61,60.915,-27.744
-0.312,0.952,0.043,10.61,62.317,-25.61
-0.188,0.904,0.039,5.671,62.622,-25.061
-0.145,0.82,-0.024,6.159,58.049,-25.488
-0.192,0.705,-0.039,4.878,48.659,-25.427
-0.123,0.678,0.056,1.524,48.171,-26.524
-0.067,0.677,0.079,-1.463,57.256,-26.951
-0.142,0.695,0.044,-4.085,71.28,-23.537
-0.226,0.77,-0.008,-3.841,83.049,-17.927
-0.292,0.853,-0.103,-4.146,87.073,-11.89
-0.323,0.914,-0.179,-4.451,80.427,-4.573
-0.355,0.955,-0.164,-3.232,71.22,2.378
-0.369,0.934,-0.121,-1.402,66.341,8.78
-0.363,0.926,-0.107,-1.28,63.171,16.585
-0.371,0.955,-0.064,-1.89,60.183,22.622
-0.396,0.948,-0.024,-3.476,54.695,25.061
-0.476,0.908,-0.043,-5.488,41.098,25.305
-0.536,0.884,-0.04,-7.256,21.646,24.268
