acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.436,0.697,-0.167,-38.78,48.659,-5.61
-0.319,0.676,0.074,-36.22,42.195,-4.878
-0.281,0.691,0.154,-35.61,40.732,-5.305
-0.319,0.729,0.123,-34.39,34.207,-5.427
-0.349,0.803,0.095,-30.061,27.073,-3.659
-0.39,0.885,-0.01,-25.793,31.28,-0.732
-0.417,0.88,-0.253,-25.061,42.012,4.512
-0.472,0.865,-0.463,-24.878,47.866,8.841
-0.519,0.904,-0.607,-26.768,47.927,11.89
-0.456,0.914,-0.628,-32.134,47.744,12.744
-0.317,0.814,-0.472,-34.939,50.488,11.463
-0.181,0.646,-0.172,-31.707,51.768,7.622
-0.193,0.512,0.119,-25.488,50.671,4.573
-0.251,0.497,0.16,-21.524,51.585,4.268
-0.253,0.625,-0.013,-21.341,59.939,0.793
-0.214,0.754,-0.178,-15.61,72.439,-9.024
-0.208,0.75,-0.35,-3.963,77.988,-19.817
-0.337,0.77,-0.517,3.78,65.549,-27.866
-0.527,0.854,-0.524,9.207,40.305,-32.439
-0.794,0.935,-0.417,8.476,8.476,-32.927
-0.981,0.896,-0.248,9.207,-25.366,-24.817
-0.939,0.91,-0.086,9.024,-52.927,-11.707
-0.848,0.945,0.01,9.756,-72.988,0.976
-0.775,0.987,0.038,12.5,-84.634,8.963
-0.71,0.961,0.053,20.854,-87.256,16.28
-0.62,1.001,-0.025,25.732,-93.171,23.598
-0.678,1.041,-0.174,25.793,-107.683,28.963
-0.637,1.048,-0.217,25.366,-119.207,34.329
-0.495,1.09,-0.222,23.354,-125.427,40.854
-0.407,1.129,-0.179,19.878,-129.634,43.72
-0.411,1.133,-0.115,17.439,-130.793,45.488
-0.487,1.149,-0.041,12.439,-129.024,46.585
-0.501,1.186,0.087,4.695,-125.976,48.11
-0.364,1.177,0.231,1.829,-120.366,42.5
-0.207,1.126,0.308,-1.524,-103.598,33.354
-0.163,1.07,0.414,-2.866,-78.171,26.341
-0.155,1.058,0.397,-1.707,-54.329,19.146
-0.108,1.045,0.309,6.524,-31.89,8.415
-0.125,1.025,0.184,10.854,-7.134,3.171
-0.195,1.027,0.092,11.646,15.305,2.5
-0.284,1.039,-0.074,9.573,29.207,1.463
-0.288,1.002,-0.193,7.988,35.549,-1.098
-0.227,0.939,-0.16,6.829,38.659,-3.78
-0.197,0.874,-0.127,4.634,35.427,-6.22
-0.199,0.806,-0.025,1.037,27.317,-9.695
-0.188,0.754,0.139,-1.402,20.976,-14.085
-0.188,0.687,0.228,-1.22,20.061,-16.89
-0.275,0.697,0.267,-5.0,20.061,-16.402
-0.423,0.798,0.247,-10.427,15.793,-13.11
-0.552,0.863,0.11,-11.89,10.793,-7.317
-0.608,0.87,-0.105,-11.28,4.024,0.854
-0.575,0.905,-0.216,-10.427,-5.976,9.085
-0.56,0.942,-0.257,-9.085,-20.183,16.585
-0.575,0.901,-0.279,-8.598,-37.439,23.049
-0.528,0.844,-0.228,-7.866,-50.915,27.988
-0.454,0.822,-0.155,-8.11,-59.39,31.829
-0.401,0.801,-0.105,-9.268,-65.671,33.72
-0.366,0.778,-0.057,-9.878,-67.561,33.659
-0.323,0.768,-0.015,-8.659,-62.195,31.524
