acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.14,0.909,0.024,2.256,125.488,10.0
-0.205,0.871,0.001,-3.902,121.098,10.854
-0.277,0.821,0.035,-7.5,107.256,6.829
-0.35,0.75,0.079,-9.085,89.268,2.561
-0.351,0.678,0.09,-9.939,77.561,-2.317
-0.326,0.611,0.041,-7.927,78.537,-5.427
-0.31,0.545,-0.084,-3.598,89.451,-6.22
-0.326,0.47,-0.227,0.915,101.037,-5.244
-0.278,0.466,-0.29,3.841,116.098,-3.171
-0.19,0.504,-0.281,6.22,129.878,-6.22
-0.249,0.51,-0.287,6.28,132.805,-10.854
-0.307,0.511,-0.25,6.402,125.671,-16.768
-0.388,0.517,-0.256,8.415,108.781,-23.11
-0.48,0.53,-0.24,11.768,87.622,-29.939
-0.523,0.6,-0.158,15.366,67.134,-34.024
-0.572,0.712,-0.147,18.841,50.915,-35.549
-0.638,0.813,-0.171,21.585,36.22,-32.134
-0.664,0.938,-0.136,22.317,23.049,-23.415
-0.718,1.078,-0.109,23.537,9.756,-13.415
-0.832,1.124,-0.033,27.378,-10.671,-1.646
-0.877,1.169,0.064,28.902,-37.378,8.415
-0.903,1.173,0.108,26.646,-71.585,15.915
-0.857,1.211,0.103,19.512,-105.061,25.671
-0.708,1.272,0.102,11.341,-128.293,34.329
-0.584,1.245,0.056,5.488,-142.378,40.549
-0.529,1.209,-0.074,-1.22,-150.732,46.524
-0.385,1.234,-0.104,-4.451,-146.22,51.159
-0.171,1.213,-0.029,-1.28,-126.524,51.463
-0.115,1.153,0.09,3.049,-102.256,49.756
-0.138,1.111,0.223,-1.159,-85.427,44.512
-0.186,1.109,0.353,-8.293,-75.488,36.463
-0.093,1.064,0.404,-10.854,-69.817,25.183
0.03,0.992,0.35,-9.817,-69.39,15.854
0.038,0.991,0.303,-6.341,-65.366,10.732
0.025,1.005,0.285,-1.646,-49.512,6.159
-0.027,0.979,0.208,3.659,-27.378,1.951
-0.125,0.965,0.11,8.963,-3.78,0.732
-0.179,0.958,0.021,11.28,15.244,0.244
-0.206,0.954,-0.028,10.793,25.305,0.244
-0.22,0.945,-0.021,10.366,28.841,-0.549
-0.163,0.882,0.023,10.305,30.854,-2.073
-0.083,0.788,0.059,10.0,30.915,-5.061
0.001,0.699,0.081,11.585,35.549,-8.659
0.083,0.621,0.088,14.268,45.0,-13.11
0.062,0.595,0.072,13.598,57.683,-15.061
-0.003,0.648,0.016,11.829,71.646,-16.098
-0.159,0.706,-0.074,10.427,77.622,-16.646
