acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.057,0.865,0.269,-0.976,23.963,26.402
0.096,0.883,0.26,2.012,22.866,20.122
0.121,0.881,0.248,4.695,26.707,14.146
0.158,0.88,0.256,8.049,40.244,8.841
0.188,0.852,0.281,12.805,57.012,3.293
0.186,0.799,0.309,17.317,71.524,-1.524
0.159,0.776,0.274,21.098,82.561,-5.61
0.111,0.793,0.204,24.146,90.732,-7.866
0.045,0.802,0.152,26.89,94.512,-8.354
-0.019,0.795,0.123,28.476,93.354,-9.024
-0.063,0.791,0.101,28.963,87.012,-10.0
-0.113,0.788,0.064,27.988,74.39,-11.28
-0.171,0.799,0.014,24.329,57.012,-12.683
-0.211,0.817,-0.008,20.183,37.988,-14.085
-0.236,0.813,0.001,15.732,19.329,-16.402
-0.253,0.812,0.011,9.634,3.415,-17.073
-0.287,0.85,-0.016,2.5,-13.049,-16.159
-0.313,0.924,-0.081,-4.085,-26.402,-13.963
-0.303,0.994,-0.082,-9.939,-34.939,-11.159
-0.27,1.027,0.002,-14.146,-44.329,-9.39
-0.257,1.023,0.103,-17.195,-57.927,-6.524
-0.28,1.036,0.17,-20.427,-70.061,-0.122
-0.267,1.089,0.224,-22.5,-74.756,7.134
-0.202,1.14,0.263,-22.805,-72.622,12.439
-0.123,1.164,0.296,-21.89,-66.402,18.049
-0.066,1.171,0.319,-20.0,-59.512,23.598
-0.017,1.164,0.34,-18.232,-56.463,27.134
0.026,1.154,0.333,-16.402,-59.024,26.89
0.067,1.131,0.321,-13.963,-63.841,24.268
0.131,1.096,0.334,-12.134,-65.549,19.451
0.244,1.053,0.356,-9.024,-61.524,11.829
0.353,1.007,0.364,-5.427,-53.537,4.634
0.434,0.976,0.358,-2.317,-41.951,-1.098
0.463,0.971,0.328,1.402,-28.963,-5.732
0.43,0.976,0.289,4.817,-19.146,-9.939
0.35,0.985,0.244,7.134,-10.305,-11.402
0.269,0.986,0.197,9.085,-1.707,-11.646
0.212,0.983,0.159,10.854,7.378,-11.098
0.15,0.964,0.13,12.5,15.61,-8.902
0.111,0.943,0.116,13.598,23.72,-6.037
0.114,0.921,0.119,15.061,30.793,-5.305
0.125,0.901,0.113,15.305,35.976,-6.341
0.112,0.896,0.095,15.244,42.378,-4.207
0.085,0.88,0.071,15.122,52.012,-1.341
0.081,0.877,0.05,16.829,62.378,-1.768
0.037,0.873,0.032,18.354,68.354,-2.805
-0.027,0.844,0.044,17.744,73.354,-2.134
-0.069,0.813,0.052,17.134,78.232,-3.841
-0.089,0.793,0.012,16.463,84.085,-4.695
-0.05,0.815,-0.024,13.537,91.402,-3.354
-0.079,0.839,-0.031,12.012,85.427,-6.28
-0.145,0.793,-0.042,10.488,72.195,-10.183
-0.165,0.809,-0.03,7.805,57.073,-12.683
-0.146,0.847,-0.008,5.183,41.341,-16.707
-0.119,0.85,-0.005,2.317,27.256,-20.793
-0.089,0.852,-0.013,-1.524,16.89,-25.427
-0.066,0.862,-0.03,-4.817,10.793,-29.817
-0.054,0.856,-0.044,-7.866,7.927,-33.72
-0.054,0.865,-0.05,-11.463,7.439,-36.585
-0.072,0.885,-0.052,-14.329,10.305,-38.537
-0.088,0.896,-0.036,-17.012,17.866,-38.415
-0.118,0.935,0.01,-19.39,23.476,-37.378
-0.173,0.976,0.079,-20.122,22.805,-34.39
-0.244,1.005,0.152,-19.39,17.378,-29.146
-0.292,1.045,0.229,-18.354,10.305,-23.902
-0.291,1.086,0.309,-16.28,2.5,-19.085
-0.261,1.098,0.36,-13.415,-4.146,-12.378
-0.241,1.114,0.379,-10.732,-11.463,-5.0
-0.234,1.155,0.384,-9.207,-21.463,1.341
-0.248,1.182,0.393,-8.049,-32.134,8.171
-0.246,1.179,0.372,-7.134,-40.366,14.024
-0.211,1.175,0.332,-6.524,-45.61,17.744
-0.152,1.162,0.308,-5.61,-48.537,17.866
-0.076,1.122,0.29,-4.207,-52.988,13.598
0.007,1.068,0.296,-3.72,-59.695,6.646
0.098,1.021,0.319,-3.232,-63.171,0.671
0.178,0.984,0.331,-1.89,-59.817,-3.78
0.235,0.971,0.334,0.0,-50.061,-6.037
0.215,0.973,0.334,2.012,-37.927,-7.866
