acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.1,0.779,0.418,16.585,-8.72,16.829
0.143,0.799,0.373,19.817,9.024,12.622
0.145,0.836,0.307,20.061,25.549,9.451
0.113,0.86,0.25,18.232,33.11,5.976
0.06,0.87,0.204,16.341,37.561,2.378
0.038,0.874,0.169,14.146,47.195,-1.829
0.09,0.894,0.134,10.854,64.39,-5.549
0.152,0.916,0.085,7.927,79.512,-7.683
0.098,0.882,0.074,5.305,87.805,-7.866
0.01,0.838,0.084,3.963,89.634,-8.171
-0.077,0.804,0.098,5.244,85.976,-8.293
-0.146,0.76,0.104,7.134,78.963,-7.256
-0.199,0.734,0.116,10.0,69.939,-4.939
-0.274,0.711,0.158,12.744,62.5,-3.841
-0.324,0.69,0.187,13.78,55.488,-3.902
-0.324,0.693,0.196,12.805,46.646,-6.159
-0.299,0.73,0.166,11.28,38.78,-10.183
-0.246,0.781,0.115,8.354,31.341,-15.976
-0.184,0.84,0.094,4.512,22.317,-21.463
-0.156,0.861,0.104,0.671,10.305,-25.793
-0.176,0.859,0.102,-2.805,-3.963,-27.805
-0.214,0.895,0.097,-6.402,-19.024,-28.171
-0.247,0.951,0.125,-9.085,-30.671,-26.037
-0.271,0.974,0.176,-10.244,-34.695,-21.22
-0.27,0.988,0.218,-9.878,-33.293,-15.488
-0.24,1.026,0.252,-9.268,-31.402,-10.183
-0.215,1.073,0.301,-8.659,-32.683,-3.902
-0.235,1.103,0.327,-7.683,-40.244,1.829
-0.249,1.116,0.346,-6.951,-51.22,6.098
-0.211,1.14,0.375,-7.561,-61.951,10.244
-0.142,1.159,0.393,-8.171,-67.317,14.451
-0.074,1.151,0.391,-8.11,-67.805,17.683
-0.014,1.14,0.376,-8.476,-70.244,18.598
0.015,1.142,0.358,-8.72,-75.366,18.902
0.033,1.122,0.336,-9.39,-80.183,18.354
0.078,1.095,0.324,-10.183,-80.61,15.976
0.147,1.072,0.313,-9.268,-74.268,12.622
0.238,1.042,0.299,-7.439,-62.927,9.756
0.3,1.015,0.303,-4.878,-51.28,6.22
0.297,0.979,0.308,-1.646,-41.098,1.829
0.273,0.943,0.309,1.341,-30.854,-1.829
0.253,0.933,0.293,3.537,-20.0,-4.756
0.217,0.938,0.265,5.793,-8.659,-6.463
0.173,0.937,0.238,7.744,3.72,-7.5
0.15,0.936,0.218,9.756,16.768,-7.927
0.138,0.935,0.211,11.585,25.671,-8.11
0.113,0.938,0.21,12.866,29.329,-8.171
0.088,0.954,0.192,12.561,29.39,-8.841
0.058,0.978,0.178,9.878,31.037,-9.756
0.029,0.984,0.146,6.159,40.183,-10.183
0.018,0.965,0.103,3.11,54.329,-11.646
0.008,0.938,0.064,0.183,67.073,-14.207
-0.02,0.917,0.048,-2.134,73.232,-16.707
-0.068,0.879,0.047,-3.902,74.268,-17.805
-0.119,0.83,0.058,-4.329,79.573,-17.012
-0.134,0.791,0.08,-2.195,88.476,-15.61
-0.13,0.749,0.096,1.768,97.317,-12.256
-0.187,0.719,0.134,6.829,98.293,-8.415
-0.275,0.693,0.197,11.402,88.72,-7.073
-0.335,0.689,0.212,14.207,73.78,-6.89
-0.356,0.711,0.185,14.756,56.646,-8.354
-0.339,0.76,0.142,12.805,40.549,-9.695
-0.313,0.812,0.103,9.695,29.817,-11.341
-0.281,0.849,0.071,6.22,26.829,-13.415
-0.238,0.875,0.067,2.805,27.012,-15.671
-0.237,0.895,0.074,-0.244,26.037,-15.732
-0.292,0.9,0.094,-5.244,23.171,-13.902
-0.349,0.927,0.104,-9.268,15.732,-10.976
-0.374,0.938,0.102,-11.402,10.122,-7.683
-0.354,0.979,0.116,-12.744,2.866,-2.256
-0.343,1.011,0.182,-12.439,-11.159,1.951
-0.338,1.017,0.25,-10.305,-24.573,7.012
-0.34,1.017,0.324,-6.829,-31.646,11.463
-0.271,1.025,0.419,-3.598,-36.585,10.061
-0.149,1.048,0.483,-0.488,-45.244,4.329
-0.093,1.032,0.478,2.256,-55.61,0.061
