acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.109,0.776,0.446,4.39,-15.854,48.232
-0.048,0.738,0.55,13.537,-13.598,42.5
0.063,0.738,0.599,18.476,-5.061,35.793
0.132,0.775,0.541,20.549,2.378,28.659
0.115,0.817,0.386,20.0,5.793,23.232
0.077,0.876,0.237,17.866,5.488,18.72
0.063,0.909,0.169,16.22,5.732,13.293
0.092,0.909,0.179,15.854,12.012,7.622
0.142,0.896,0.204,16.037,25.671,3.659
0.171,0.896,0.215,17.134,45.183,1.341
0.191,0.896,0.229,18.598,68.293,-0.61
0.198,0.893,0.236,20.854,84.695,-5.183
0.176,0.885,0.233,23.049,88.78,-10.0
0.119,0.87,0.237,23.841,87.256,-11.037
0.064,0.868,0.198,22.988,86.402,-11.89
0.053,0.882,0.141,21.707,89.756,-11.098
0.038,0.886,0.09,20.366,93.659,-8.537
-0.036,0.87,0.071,17.988,94.512,-6.463
-0.123,0.833,0.064,15.122,93.72,-4.817
-0.217,0.784,0.023,12.988,88.476,-3.476
-0.296,0.749,-0.025,11.098,78.537,-3.537
-0.333,0.757,-0.03,8.78,64.878,-5.732
-0.338,0.772,0.032,7.622,50.61,-9.512
-0.313,0.749,0.099,7.866,41.159,-14.207
-0.242,0.725,0.118,7.866,35.976,-20.122
-0.162,0.734,0.125,7.866,30.671,-26.89
-0.138,0.746,0.119,7.134,20.427,-33.049
-0.182,0.765,0.085,4.695,5.366,-37.5
-0.232,0.805,0.069,0.183,-11.28,-40.61
-0.259,0.847,0.059,-4.756,-27.927,-42.5
-0.279,0.886,0.041,-10.122,-41.341,-42.256
-0.277,0.955,0.035,-15.793,-43.232,-37.439
-0.252,1.04,0.059,-19.634,-32.256,-29.634
-0.219,1.088,0.125,-20.61,-15.915,-21.768
-0.209,1.115,0.207,-19.817,-3.902,-14.268
-0.242,1.133,0.288,-18.232,-1.89,-7.134
-0.278,1.166,0.325,-16.28,-10.549,-0.488
-0.293,1.204,0.348,-14.451,-28.476,5.549
-0.275,1.228,0.372,-13.659,-47.866,11.585
-0.221,1.233,0.398,-12.927,-62.866,17.378
-0.162,1.195,0.411,-12.134,-74.573,21.159
-0.11,1.162,0.374,-12.744,-85.0,23.902
-0.083,1.156,0.313,-13.902,-91.159,27.195
-0.065,1.138,0.28,-14.329,-88.659,29.573
0.003,1.089,0.297,-13.537,-78.659,29.451
0.104,1.041,0.296,-12.256,-67.622,26.951
0.187,1.022,0.297,-10.488,-58.293,24.573
0.229,1.017,0.284,-8.902,-53.354,22.195
0.215,1.009,0.277,-7.317,-53.232,18.476
0.206,0.994,0.278,-5.183,-52.988,14.024
0.209,0.962,0.293,-1.829,-45.488,9.329
0.227,0.921,0.297,2.073,-30.061,4.512
0.248,0.907,0.286,5.61,-12.073,0.0
0.239,0.907,0.26,8.902,4.512,-2.927
0.207,0.898,0.229,11.22,16.402,-6.098
0.191,0.902,0.205,12.561,23.841,-9.268
0.148,0.913,0.18,13.659,27.5,-11.098
0.103,0.901,0.172,14.939,30.854,-12.256
0.079,0.9,0.142,15.122,34.451,-13.049
0.069,0.916,0.123,13.293,40.0,-14.146
0.087,0.939,0.124,8.598,54.451,-13.72
0.104,0.981,0.06,0.976,73.11,-14.207
0.064,0.987,-0.04,-5.915,81.037,-19.756
-0.027,0.925,-0.066,-10.732,79.695,-24.512
-0.128,0.863,-0.051,-14.756,78.72,-26.28
-0.16,0.831,-0.033,-16.829,85.427,-26.646
-0.147,0.792,0.028,-15.122,93.232,-25.366
-0.201,0.723,0.098,-9.146,96.585,-20.427
-0.342,0.654,0.156,-0.732,94.207,-13.11
-0.448,0.632,0.213,7.439,85.793,-7.927
-0.47,0.674,0.235,12.866,70.549,-4.329
-0.489,0.749,0.218,13.902,50.732,-1.22
-0.487,0.81,0.182,11.341,33.171,0.122
-0.432,0.862,0.104,6.159,23.049,-1.402
-0.352,0.919,0.056,-0.549,14.634,-3.78
-0.33,0.935,0.058,-5.793,5.427,-4.695
-0.324,0.916,0.07,-8.78,-1.22,-3.902
-0.315,0.939,0.087,-10.122,-10.793,-2.5
-0.34,0.994,0.142,-9.329,-25.305,-1.402
-0.356,1.003,0.248,-6.829,-33.72,1.28
-0.312,0.968,0.369,-3.415,-30.183,4.268
-0.19,0.934,0.431,-0.244,-25.061,3.78
-0.103,0.945,0.402,0.671,-29.451,2.012
-0.13,0.979,0.339,0.061,-40.061,1.28
-0.165,1.012,0.309,-0.427,-50.061,-1.524
-0.136,1.0,0.322,-1.524,-54.756,-5.427
-0.08,0.964,0.323,-1.768,-49.878,-7.378
-0.041,0.944,0.314,-0.122,-40.122,-8.841
-0.047,0.928,0.308,2.317,-32.988,-10.366
-0.083,0.917,0.318,6.159,-29.939,-11.463
-0.105,0.917,0.333,10.366,-32.195,-12.5
