acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.05,0.711,0.535,24.329,-4.939,21.585
0.127,0.757,0.48,29.695,20.793,18.963
0.175,0.813,0.427,32.012,52.683,17.744
0.2,0.859,0.339,31.768,73.902,15.915
0.162,0.882,0.244,31.463,78.598,13.354
0.059,0.895,0.159,29.329,76.768,11.22
0.012,0.937,0.119,26.829,77.805,10.976
0.061,0.97,0.135,19.634,86.524,11.28
0.097,0.998,0.113,11.768,99.329,8.78
0.032,0.956,0.066,9.085,92.988,0.305
-0.13,0.84,0.073,5.549,83.72,-2.256
-0.18,0.812,0.052,1.829,93.476,-2.073
-0.108,0.839,0.036,2.073,109.695,-2.866
-0.102,0.781,0.049,5.122,118.476,-0.549
-0.19,0.702,0.082,8.72,113.598,3.11
-0.281,0.679,0.108,12.195,98.841,4.817
-0.34,0.705,0.112,14.085,77.988,3.963
-0.35,0.735,0.133,13.232,53.354,0.488
-0.329,0.75,0.151,10.305,30.305,-4.695
-0.295,0.763,0.125,5.854,12.561,-10.305
-0.269,0.797,0.082,0.427,-0.61,-14.878
-0.27,0.85,0.082,-4.146,-10.549,-17.683
-0.27,0.897,0.122,-7.256,-16.28,-18.415
-0.279,0.94,0.153,-10.061,-18.415,-17.073
-0.295,0.985,0.179,-11.829,-21.768,-13.598
-0.326,1.025,0.203,-12.317,-27.988,-8.537
-0.335,1.063,0.242,-11.524,-35.976,-3.963
-0.302,1.094,0.331,-10.305,-45.732,-0.122
-0.252,1.109,0.412,-9.268,-56.89,3.415
-0.203,1.112,0.444,-9.024,-72.5,4.268
-0.162,1.124,0.446,-9.512,-93.476,2.073
-0.121,1.125,0.435,-10.061,-113.781,-1.159
-0.044,1.11,0.408,-10.976,-122.5,-3.537
0.063,1.104,0.381,-11.524,-110.183,-2.683
0.212,1.081,0.36,-9.878,-79.878,-3.354
0.36,1.062,0.349,-7.195,-47.927,-6.037
0.382,1.04,0.333,-5.244,-27.256,-7.683
0.299,1.021,0.309,-3.841,-20.549,-7.927
0.194,1.005,0.296,-2.561,-21.768,-7.561
0.114,0.991,0.298,0.0,-21.768,-6.22
0.07,0.981,0.269,2.683,-16.707,-2.927
0.047,0.986,0.267,5.915,-7.988,1.707
0.031,0.978,0.288,9.39,3.415,6.707
0.026,0.952,0.29,12.195,16.159,12.683
0.016,0.955,0.253,14.207,25.488,17.622
-0.005,0.982,0.195,14.085,29.512,20.061
-0.03,0.993,0.167,12.561,29.756,19.146
-0.061,0.966,0.164,10.427,28.598,16.037
-0.063,0.921,0.146,7.134,30.183,11.341
-0.048,0.894,0.11,3.293,36.402,6.037
-0.012,0.875,0.073,0.732,47.195,-0.427
0.021,0.854,0.031,-1.402,58.537,-6.524
0.028,0.821,0.045,-2.5,65.061,-11.646
-0.01,0.771,0.064,-2.683,67.073,-16.463
-0.055,0.728,0.066,-1.707,65.61,-21.28
-0.094,0.705,0.082,-0.366,62.378,-25.244
-0.137,0.709,0.097,1.037,60.122,-28.293
-0.175,0.727,0.109,2.622,60.427,-30.61
-0.2,0.744,0.133,3.354,61.585,-31.463
-0.233,0.768,0.144,2.744,59.756,-32.134
-0.27,0.8,0.11,0.915,52.988,-33.293
-0.295,0.84,0.092,-1.89,44.024,-33.049
-0.328,0.872,0.101,-4.085,35.793,-31.646
-0.348,0.885,0.118,-5.183,27.195,-30.793
-0.339,0.897,0.184,-5.305,17.134,-29.207
