acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.38,0.535,0.591,-10.793,36.524,9.39
-0.381,0.571,0.55,-5.915,44.268,7.256
-0.403,0.608,0.471,-2.256,51.402,5.0
-0.432,0.655,0.381,-0.305,55.183,3.659
-0.457,0.706,0.316,-0.305,55.671,1.768
-0.474,0.742,0.26,-1.22,55.366,-0.671
-0.464,0.756,0.236,-1.829,57.195,-2.927
-0.414,0.77,0.257,-3.598,62.927,-4.939
-0.37,0.773,0.287,-5.183,70.854,-6.707
-0.373,0.76,0.278,-6.524,77.622,-7.744
-0.385,0.756,0.247,-8.354,82.683,-10.061
-0.396,0.746,0.203,-9.878,86.768,-13.659
-0.417,0.709,0.163,-10.488,89.329,-15.976
-0.428,0.679,0.147,-10.366,91.829,-17.927
-0.438,0.647,0.14,-9.573,92.439,-19.451
-0.467,0.621,0.145,-8.232,91.585,-20.122
-0.498,0.603,0.161,-6.646,91.22,-20.732
-0.5,0.598,0.171,-5.427,92.5,-20.671
-0.513,0.605,0.164,-4.634,94.756,-21.28
-0.555,0.605,0.156,-3.841,95.549,-22.866
-0.611,0.611,0.133,-2.622,92.866,-24.512
-0.637,0.632,0.136,-2.134,88.841,-26.707
-0.625,0.646,0.141,-2.012,85.244,-28.902
-0.627,0.657,0.126,-2.073,82.744,-30.732
-0.667,0.663,0.11,-2.317,79.573,-32.561
-0.722,0.651,0.091,-2.073,76.098,-33.11
-0.771,0.639,0.069,-1.768,71.28,-32.134
-0.825,0.645,0.065,-1.341,64.268,-30.122
-0.896,0.656,0.072,-0.549,52.744,-26.707
-0.94,0.674,0.093,0.549,39.878,-21.524
-0.964,0.701,0.12,1.89,26.829,-15.61
-0.977,0.723,0.153,3.476,14.451,-9.817
-0.973,0.73,0.193,4.817,2.317,-3.902
-0.958,0.737,0.204,6.707,-10.976,1.159
-0.943,0.745,0.195,8.963,-24.878,5.0
-0.899,0.759,0.189,10.854,-35.793,7.744
-0.818,0.769,0.179,12.439,-43.902,8.72
-0.753,0.765,0.175,14.268,-50.732,8.415
-0.724,0.767,0.167,15.0,-57.012,8.232
-0.715,0.781,0.167,14.39,-64.695,8.11
-0.745,0.779,0.141,13.476,-76.524,8.598
-0.791,0.793,0.103,11.524,-94.268,9.451
-0.815,0.819,0.086,8.902,-116.037,10.061
-0.81,0.831,0.084,4.939,-132.256,11.402
-0.73,0.864,0.14,0.549,-125.915,13.232
-0.544,0.869,0.281,-1.037,-104.268,13.354
-0.477,0.837,0.396,0.61,-76.524,14.817
-0.463,0.832,0.457,2.805,-52.805,17.378
-0.456,0.844,0.449,4.939,-38.415,18.049
-0.515,0.853,0.41,6.707,-34.207,16.524
-0.537,0.858,0.362,6.768,-37.683,14.573
-0.514,0.865,0.299,5.793,-41.22,13.171
-0.509,0.857,0.24,4.329,-42.256,12.073
-0.521,0.843,0.193,2.561,-40.244,11.28
-0.509,0.828,0.18,-0.061,-35.122,10.61
-0.5,0.803,0.186,-2.256,-25.61,10.122
-0.458,0.775,0.211,-3.537,-14.817,8.963
-0.442,0.734,0.25,-3.293,-4.756,6.951
-0.439,0.696,0.293,-2.683,2.317,5.122
-0.44,0.664,0.305,-1.829,7.744,3.11
-0.428,0.652,0.295,-0.915,13.415,0.61
-0.408,0.653,0.268,-0.183,21.524,-2.073
-0.378,0.661,0.239,0.183,32.439,-4.39
-0.361,0.664,0.2,0.854,44.329,-6.707
-0.385,0.664,0.145,1.646,53.354,-9.085
-0.423,0.661,0.124,2.439,59.573,-12.073
-0.424,0.66,0.13,2.988,64.695,-14.756
-0.418,0.667,0.137,2.622,69.878,-17.195
-0.425,0.667,0.125,2.195,74.756,-20.061
-0.433,0.676,0.091,0.976,78.902,-23.293
-0.443,0.689,0.063,-0.976,81.829,-27.439
-0.461,0.685,0.055,-3.11,82.866,-31.524
-0.506,0.674,0.063,-5.244,84.085,-34.817
-0.578,0.661,0.065,-6.768,84.878,-37.073
-0.697,0.657,0.064,-7.744,81.89,-37.317
-0.831,0.661,0.07,-8.11,76.89,-35.0
-0.928,0.663,0.103,-7.622,72.439,-30.793
-1.004,0.641,0.122,-5.305,65.793,-24.024
-1.045,0.646,0.122,-2.256,55.732,-16.037
-1.044,0.685,0.119,-0.671,42.073,-9.207
-1.046,0.709,0.109,0.488,26.341,-3.659
-1.039,0.729,0.096,1.463,11.341,0.732
-0.998,0.736,0.093,1.707,0.488,3.841
-0.906,0.735,0.115,1.159,-5.244,6.28
-0.831,0.722,0.151,1.159,-8.049,8.354
-0.813,0.708,0.157,2.195,-11.585,9.695
-0.794,0.707,0.166,3.841,-16.951,10.122
-0.749,0.722,0.182,5.488,-24.451,10.366
-0.726,0.738,0.175,6.341,-33.232,10.732
-0.743,0.751,0.158,6.22,-43.293,10.549
-0.794,0.762,0.14,5.732,-57.073,10.61
-0.848,0.777,0.118,4.878,-74.695,11.524
-0.845,0.801,0.117,3.354,-90.488,12.378
-0.775,0.813,0.16,1.646,-98.049,13.11
-0.671,0.813,0.224,1.098,-94.634,13.963
-0.573,0.81,0.285,1.341,-81.707,14.451
-0.479,0.819,0.344,1.89,-65.0,13.78
-0.455,0.822,0.375,2.988,-49.024,12.256
-0.462,0.825,0.384,4.146,-37.988,10.427
-0.497,0.838,0.365,4.573,-32.805,8.049
-0.53,0.844,0.325,4.146,-31.28,6.402
-0.532,0.844,0.269,3.11,-28.293,5.366
-0.537,0.835,0.227,2.134,-24.085,4.573
-0.563,0.82,0.185,1.037,-20.915,5.244
-0.577,0.81,0.166,-0.183,-17.988,6.037
-0.567,0.786,0.185,-1.037,-13.72,6.585
-0.547,0.751,0.205,-1.037,-8.902,7.195
-0.538,0.715,0.23,-0.244,-3.963,6.585
-0.51,0.68,0.254,0.915,2.378,5.61
-0.473,0.647,0.259,2.256,10.305,3.963
-0.455,0.624,0.247,3.415,19.207,1.707
-0.443,0.612,0.221,4.451,28.537,-1.098
-0.416,0.616,0.188,5.183,38.171,-4.085
-0.399,0.625,0.16,5.488,47.134,-8.11
-0.4,0.622,0.112,5.549,54.329,-12.378
-0.411,0.616,0.063,5.061,58.293,-17.012
-0.434,0.611,0.017,3.902,59.024,-21.585
-0.453,0.602,-0.006,2.622,58.049,-25.793
