acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.712,0.855,0.009,-6.22,81.28,5.0
-0.709,0.826,0.062,-12.134,71.829,4.756
-0.693,0.796,0.104,-16.585,63.476,5.305
-0.646,0.771,0.169,-19.39,58.293,3.72
-0.601,0.734,0.265,-19.024,56.524,1.524
-0.541,0.668,0.355,-15.732,56.89,0.122
-0.512,0.614,0.407,-10.976,59.39,-0.61
-0.503,0.595,0.39,-7.012,63.476,-0.793
-0.523,0.598,0.3,-4.268,67.622,-1.646
-0.567,0.618,0.188,-2.256,71.646,-3.659
-0.57,0.67,0.104,-1.707,75.732,-5.976
-0.55,0.732,0.069,-2.805,81.037,-8.537
-0.509,0.743,0.083,-4.512,86.098,-11.341
-0.469,0.723,0.096,-6.707,92.073,-13.72
-0.426,0.705,0.07,-8.902,99.268,-16.768
-0.421,0.684,0.033,-10.061,104.878,-20.0
-0.456,0.66,0.011,-11.341,108.902,-22.744
-0.524,0.633,-0.004,-12.134,110.976,-24.939
-0.605,0.602,0.016,-11.768,110.61,-26.646
-0.686,0.573,0.028,-10.793,109.085,-26.829
-0.775,0.56,0.007,-9.573,104.573,-25.976
-0.869,0.562,-0.031,-7.622,95.122,-24.634
-0.96,0.556,-0.034,-4.756,79.573,-23.537
-0.994,0.571,-0.012,-2.317,60.854,-20.793
-0.994,0.609,0.007,-1.159,43.476,-18.11
-0.989,0.615,0.021,-0.244,30.549,-15.305
-0.966,0.619,0.02,0.671,20.61,-12.195
-0.959,0.629,0.002,1.341,11.28,-9.024
-0.924,0.656,0.005,1.28,5.183,-6.341
-0.888,0.655,0.024,2.439,0.732,-3.963
-0.843,0.65,0.035,3.78,-2.988,-1.951
-0.844,0.655,0.033,5.244,-10.061,-0.732
-0.847,0.657,0.033,6.402,-18.598,0.122
-0.833,0.658,0.028,7.378,-25.671,0.549
-0.831,0.65,0.037,9.756,-32.561,1.037
-0.824,0.664,0.067,12.439,-39.329,1.89
-0.792,0.695,0.076,14.268,-46.037,2.683
-0.786,0.717,0.062,15.305,-55.427,3.232
-0.815,0.734,0.046,16.159,-70.671,3.963
-0.859,0.753,0.04,17.195,-91.89,4.878
-0.907,0.778,0.03,17.195,-116.89,6.768
-0.936,0.805,0.034,15.488,-139.024,9.878
-0.914,0.824,0.073,12.744,-148.354,13.841
-0.838,0.826,0.116,9.207,-142.073,17.927
-0.751,0.836,0.157,5.732,-120.549,22.622
-0.613,0.843,0.203,4.085,-97.561,24.573
-0.533,0.837,0.282,5.0,-78.78,24.512
-0.482,0.837,0.361,5.854,-70.427,21.524
-0.46,0.834,0.38,5.915,-70.915,16.829
-0.487,0.832,0.351,5.183,-75.549,12.988
-0.524,0.845,0.315,3.902,-75.793,10.122
-0.517,0.854,0.285,2.317,-67.561,8.537
-0.512,0.852,0.257,0.854,-51.402,8.415
-0.522,0.832,0.251,-0.305,-33.293,8.537
-0.555,0.798,0.258,-1.037,-19.817,9.146
-0.586,0.768,0.241,-1.89,-15.915,8.902
-0.605,0.747,0.227,-2.256,-19.634,7.317
-0.589,0.736,0.213,-3.171,-23.72,5.0
-0.536,0.727,0.221,-3.963,-23.537,2.5
-0.488,0.705,0.232,-4.207,-17.012,0.976
-0.451,0.681,0.224,-3.963,-4.878,-0.305
-0.423,0.664,0.225,-2.927,11.646,-1.768
-0.407,0.651,0.228,-1.585,28.415,-3.78
-0.402,0.643,0.206,-0.793,41.951,-5.61
-0.413,0.644,0.162,-0.488,52.195,-7.256
-0.408,0.646,0.127,-0.732,58.354,-10.244
-0.426,0.644,0.078,-1.28,62.439,-12.744
-0.444,0.637,0.048,-2.744,66.402,-16.524
-0.433,0.621,0.032,-4.451,72.134,-20.183
-0.436,0.611,0.018,-6.159,78.902,-23.049
-0.455,0.612,0.015,-7.988,85.976,-25.793
-0.5,0.61,0.003,-8.72,90.732,-27.988
-0.54,0.606,0.009,-8.963,92.622,-30.244
-0.592,0.601,0.042,-8.659,93.049,-31.768
-0.675,0.592,0.068,-7.866,92.988,-31.89
-0.764,0.592,0.041,-7.073,91.646,-29.695
-0.855,0.612,0.009,-6.463,88.902,-27.012
-0.992,0.616,0.042,-4.39,81.341,-21.829
-1.115,0.618,0.072,-1.829,69.695,-13.232
-1.129,0.649,0.089,-0.183,55.793,-6.463
-1.074,0.701,0.091,0.427,41.098,-0.732
-1.066,0.733,0.091,0.732,25.854,3.171
-1.019,0.737,0.095,0.976,13.476,5.305
-0.919,0.734,0.119,1.524,5.793,6.402
-0.859,0.723,0.134,2.256,0.427,7.5
-0.824,0.713,0.129,3.049,-4.695,7.378
-0.823,0.695,0.11,4.634,-12.866,6.341
-0.823,0.694,0.112,6.159,-24.817,5.122
-0.816,0.688,0.125,7.195,-38.78,4.085
-0.813,0.663,0.125,8.293,-51.646,3.232
