acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.616,0.732,-0.049,-19.634,58.049,-10.305
-0.617,0.702,0.024,-20.732,59.573,-10.244
-0.617,0.66,0.123,-18.72,59.878,-9.573
-0.595,0.618,0.206,-14.756,61.707,-8.293
-0.578,0.574,0.254,-10.0,64.878,-7.5
-0.584,0.555,0.249,-6.768,68.049,-7.561
-0.623,0.551,0.202,-4.207,72.439,-7.927
-0.681,0.555,0.11,-2.622,74.695,-9.207
-0.764,0.563,0.013,-2.378,72.317,-11.22
-0.824,0.602,-0.042,-4.024,66.707,-13.476
-0.839,0.623,-0.036,-5.671,59.207,-15.793
-0.84,0.61,0.007,-6.768,50.732,-16.646
-0.89,0.597,0.074,-6.951,41.829,-15.976
-0.92,0.585,0.098,-6.037,33.841,-14.573
-0.958,0.592,0.089,-4.512,22.744,-12.561
-1.016,0.599,0.088,-2.256,9.451,-9.512
-1.008,0.624,0.09,-0.427,-3.11,-6.585
-0.995,0.639,0.074,1.646,-17.195,-2.866
-0.994,0.669,0.047,2.927,-32.012,0.793
-0.965,0.701,0.035,2.683,-44.634,4.39
-0.922,0.721,0.048,2.134,-54.39,8.171
-0.903,0.719,0.072,2.256,-63.72,10.915
-0.901,0.718,0.101,3.11,-74.939,12.927
-0.892,0.721,0.125,3.963,-86.89,13.78
-0.86,0.712,0.126,3.659,-100.305,13.354
-0.802,0.713,0.111,3.293,-114.085,10.976
-0.718,0.725,0.131,3.293,-128.293,7.439
-0.691,0.729,0.151,3.11,-142.378,3.537
-0.667,0.741,0.185,2.561,-149.634,-0.366
-0.595,0.756,0.254,0.366,-136.646,-2.134
-0.456,0.775,0.387,-1.098,-100.61,-0.976
-0.319,0.761,0.5,1.159,-58.902,0.61
-0.394,0.749,0.516,5.488,-27.683,2.378
-0.555,0.748,0.478,8.537,-15.854,3.537
-0.647,0.755,0.407,9.512,-19.878,3.72
-0.671,0.769,0.326,8.78,-32.256,3.354
-0.683,0.775,0.257,7.439,-44.573,2.744
-0.649,0.779,0.213,5.366,-46.707,3.293
-0.583,0.77,0.194,3.11,-37.256,4.512
-0.524,0.75,0.207,1.829,-22.683,4.634
-0.513,0.72,0.216,0.976,-9.268,4.39
-0.516,0.692,0.232,0.122,2.317,3.598
-0.491,0.663,0.262,-0.244,11.463,2.134
-0.477,0.651,0.241,-0.732,16.22,0.366
-0.469,0.659,0.196,-1.89,19.512,-2.317
-0.456,0.657,0.172,-2.744,24.512,-5.488
-0.443,0.65,0.15,-3.598,32.988,-8.598
-0.433,0.642,0.154,-4.39,43.415,-11.524
-0.439,0.625,0.164,-5.122,55.61,-14.146
-0.455,0.605,0.15,-5.427,67.927,-15.793
-0.484,0.597,0.125,-5.427,78.232,-17.744
-0.518,0.597,0.122,-5.915,85.183,-20.366
-0.527,0.6,0.111,-6.28,88.293,-22.5
-0.551,0.607,0.101,-6.646,89.573,-24.878
-0.61,0.594,0.09,-7.012,87.073,-27.5
-0.713,0.573,0.065,-7.073,80.488,-29.207
-0.802,0.565,0.058,-6.951,73.476,-29.878
-0.85,0.57,0.081,-6.768,68.11,-28.72
-0.93,0.563,0.102,-4.756,61.89,-25.305
-1.026,0.553,0.139,-1.89,53.11,-19.634
-1.122,0.558,0.165,1.098,39.146,-13.598
-1.142,0.55,0.158,4.634,21.159,-8.171
-1.073,0.58,0.172,7.195,4.451,-4.756
-1.031,0.579,0.195,10.488,-11.037,-2.195
-0.971,0.574,0.194,13.659,-24.573,-0.122
-0.899,0.594,0.163,15.854,-33.293,0.854
-0.823,0.619,0.146,16.646,-36.829,0.061
-0.76,0.624,0.153,17.012,-36.646,-1.159
-0.711,0.624,0.16,17.195,-33.963,-2.744
-0.688,0.614,0.167,17.683,-29.024,-5.061
-0.672,0.589,0.18,19.085,-25.427,-7.622
-0.68,0.566,0.183,21.098,-26.463,-10.0
-0.696,0.55,0.19,23.415,-31.22,-12.5
-0.696,0.542,0.19,26.22,-38.598,-15.122
-0.701,0.532,0.206,29.512,-48.415,-18.354
