acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.402,0.803,0.059,-154.39,254.817,157.134
-0.421,0.737,0.133,-139.085,230.915,129.817
-0.487,0.714,0.143,-120.061,204.878,109.451
-0.569,0.746,0.15,-109.329,180.915,102.927
-0.587,0.806,0.197,-110.671,159.756,107.988
-0.53,0.856,0.296,-125.488,142.927,114.573
-0.479,0.814,0.432,-134.878,127.927,117.134
-0.457,0.707,0.495,-126.951,111.098,110.061
-0.428,0.623,0.477,-107.195,94.878,92.927
-0.405,0.62,0.41,-82.5,84.329,70.854
-0.399,0.713,0.305,-67.866,84.512,53.049
-0.435,0.84,0.242,-74.207,94.451,48.963
-0.465,0.939,0.325,-97.378,103.659,56.951
-0.456,0.935,0.468,-115.61,100.0,66.463
-0.456,0.813,0.554,-110.061,77.683,64.085
-0.468,0.706,0.557,-83.841,44.146,48.72
-0.479,0.7,0.447,-55.0,12.866,30.244
-0.509,0.777,0.299,-34.756,-4.756,24.085
-0.501,0.884,0.239,-28.049,-0.793,31.646
-0.318,0.989,0.324,-36.28,25.854,36.768
-0.069,1.005,0.461,-44.329,71.341,34.146
0.003,0.893,0.568,-37.683,114.756,31.707
-0.141,0.745,0.498,-15.976,128.415,34.695
-0.365,0.697,0.271,4.756,111.524,33.232
-0.457,0.792,0.163,13.171,75.793,19.817
-0.367,0.896,0.129,11.707,37.256,4.939
-0.244,0.924,0.061,10.854,11.585,0.183
-0.164,0.915,-0.009,12.439,8.78,2.561
-0.104,0.902,-0.063,7.256,27.988,4.207
-0.088,0.868,-0.075,-4.451,61.89,4.207
-0.134,0.797,-0.156,-16.585,98.902,2.256
-0.186,0.731,-0.237,-29.024,129.817,-5.366
-0.205,0.678,-0.17,-35.244,141.22,-17.012
-0.309,0.606,-0.11,-36.037,132.683,-22.744
-0.515,0.509,-0.081,-32.073,111.829,-18.72
-0.676,0.431,0.033,-28.232,81.341,-13.11
-0.763,0.351,0.169,-18.598,47.195,-13.415
-0.738,0.268,0.248,1.341,20.061,-23.11
-0.595,0.224,0.301,28.841,5.122,-41.22
-0.492,0.245,0.233,59.695,-1.402,-59.39
-0.453,0.378,0.103,85.488,-6.402,-74.329
-0.429,0.64,0.04,96.098,-11.341,-88.049
-0.456,0.933,-0.026,93.841,-19.634,-93.841
-0.565,1.19,-0.083,76.707,-29.024,-82.195
-0.667,1.353,-0.042,50.122,-45.427,-51.402
-0.733,1.346,0.015,24.207,-74.146,-12.073
-0.846,1.174,0.071,11.28,-113.537,15.549
-0.898,0.963,0.168,25.671,-158.11,19.085
-0.815,0.862,0.175,58.354,-188.659,3.11
-0.617,0.976,0.034,95.854,-190.793,-17.988
-0.195,1.339,0.0,101.707,-155.61,-37.073
0.234,1.712,0.046,73.232,-83.476,-43.049
0.378,1.928,0.033,15.854,6.402,-23.049
0.322,1.911,0.033,-50.488,83.902,15.244
0.122,1.642,0.054,-96.463,113.293,40.488
-0.255,1.282,0.116,-104.085,88.963,39.573
-0.651,1.003,0.128,-83.293,24.817,21.463
-0.851,0.877,0.122,-50.366,-51.402,-1.707
-0.737,0.869,0.186,-16.89,-97.256,-13.171
-0.349,0.951,0.304,-0.671,-88.963,-6.463
-0.042,1.048,0.266,-3.476,-25.793,14.634
-0.045,1.094,0.123,-22.683,63.171,38.415
-0.138,1.072,0.129,-49.878,138.11,47.805
-0.145,0.931,0.24,-61.951,178.476,41.098
-0.218,0.696,0.231,-46.951,181.524,33.902
-0.384,0.536,0.083,-15.854,152.5,30.915
-0.556,0.546,-0.061,5.549,108.171,26.463
-0.628,0.654,-0.158,8.659,67.256,16.524
-0.48,0.746,-0.226,-3.537,51.098,3.171
-0.212,0.757,-0.248,-19.085,60.915,-7.561
-0.088,0.668,-0.322,-31.585,86.098,-7.927
-0.148,0.56,-0.332,-37.988,110.793,-4.939
-0.261,0.473,-0.297,-39.695,114.329,-9.024
-0.436,0.407,-0.276,-38.415,96.159,-17.561
-0.645,0.347,-0.204,-27.927,60.183,-21.768
-0.755,0.327,-0.135,-11.951,12.073,-26.28
-0.722,0.344,-0.11,7.988,-30.976,-37.5
-0.599,0.418,-0.094,23.963,-48.902,-50.976
-0.484,0.539,-0.027,31.098,-39.268,-54.207
-0.496,0.679,0.096,32.317,-18.72,-44.39
-0.574,0.825,0.202,31.098,-9.512,-32.561
-0.651,0.924,0.302,29.512,-20.854,-24.634
-0.714,0.904,0.306,33.72,-47.744,-15.976
-0.777,0.815,0.2,42.866,-84.207,-9.695
-0.847,0.753,0.132,54.451,-123.171,-10.793
-0.884,0.781,0.081,65.0,-162.988,-17.622
-0.892,0.877,0.058,70.732,-195.366,-19.817
-0.911,0.974,0.058,80.061,-209.024,-12.012
-0.735,1.118,0.056,86.707,-198.598,-9.878
-0.307,1.313,0.104,83.476,-153.171,-16.098
-0.026,1.452,0.082,74.695,-77.561,-10.854
0.059,1.613,0.038,47.012,4.878,9.085
0.071,1.756,0.073,3.78,62.805,32.927
-0.055,1.714,0.095,-33.354,76.951,48.354
-0.233,1.496,0.106,-49.695,53.476,47.744
-0.321,1.259,0.115,-49.39,8.537,33.293
-0.312,1.096,0.171,-40.0,-36.28,14.146
-0.25,0.991,0.174,-25.61,-64.207,0.854
-0.223,0.982,0.104,-19.268,-68.963,-3.293
-0.241,1.038,0.106,-21.585,-55.732,0.366
-0.221,1.062,0.128,-30.854,-25.366,7.805
-0.206,1.006,0.175,-39.207,28.293,17.744
-0.2,0.897,0.212,-39.39,93.232,28.171
-0.206,0.802,0.153,-36.768,153.963,32.317
-0.241,0.737,0.074,-33.72,191.159,27.744
-0.306,0.7,0.026,-34.695,196.89,19.512
-0.386,0.652,-0.006,-32.5,174.451,15.793
-0.436,0.588,-0.103,-25.549,138.476,14.939
-0.429,0.542,-0.199,-19.695,105.854,8.415
-0.375,0.509,-0.206,-15.61,79.695,-5.915
-0.338,0.481,-0.209,-13.049,62.073,-22.561
-0.341,0.463,-0.234,-10.671,53.11,-32.622
-0.351,0.452,-0.327,-13.659,47.439,-33.171
-0.431,0.464,-0.342,-22.866,50.671,-29.329
-0.567,0.456,-0.191,-22.134,60.183,-25.488
-0.677,0.454,-0.094,-8.293,68.11,-25.854
-0.705,0.519,-0.01,11.402,69.939,-29.512
-0.68,0.646,0.061,28.963,63.537,-27.988
-0.701,0.787,0.039,35.488,56.89,-17.683
-0.696,0.927,0.104,34.146,43.598,-5.061
-0.659,0.983,0.157,32.622,18.476,3.659
-0.655,0.925,0.125,37.195,-10.549,8.659
-0.662,0.829,0.084,44.451,-38.476,9.207
-0.699,0.769,0.062,50.244,-62.622,4.756
-0.741,0.768,0.001,51.707,-87.927,-3.354
-0.782,0.838,0.032,50.366,-116.281,-10.366
-0.829,0.91,0.024,58.78,-151.402,-10.305
-0.785,1.043,-0.024,67.927,-178.842,-10.793
-0.545,1.225,0.033,67.256,-179.939,-12.317
-0.303,1.347,0.057,55.854,-146.646,-7.134
-0.143,1.446,0.087,32.561,-89.756,2.134
-0.081,1.5,0.13,3.963,-35.427,12.683
-0.166,1.457,0.127,-16.463,-7.134,23.598
-0.366,1.364,0.113,-25.793,-13.232,30.366
-0.56,1.275,0.136,-26.28,-46.585,31.585
-0.615,1.185,0.142,-19.634,-93.659,28.963
-0.53,1.102,0.095,-11.951,-131.342,25.244
-0.376,1.068,0.125,-5.671,-138.049,24.146
-0.131,1.089,0.198,-4.756,-108.72,26.463
0.054,1.098,0.141,-12.622,-48.78,31.951
0.029,1.081,0.065,-25.305,23.11,37.317
-0.018,1.049,0.072,-39.39,81.402,35.305
-0.037,0.985,0.104,-45.854,115.366,28.049
-0.149,0.878,0.1,-38.293,125.427,23.78
-0.287,0.818,0.059,-26.951,117.012,21.341
-0.348,0.793,-0.033,-22.683,99.024,17.5
-0.331,0.767,-0.096,-27.378,84.573,8.902
-0.253,0.717,-0.118,-31.159,76.829,-4.878
-0.2,0.659,-0.19,-31.28,71.524,-19.146
-0.25,0.601,-0.293,-29.451,64.39,-25.915
-0.354,0.565,-0.359,-31.707,53.598,-27.439
-0.429,0.555,-0.383,-39.146,40.671,-29.573
-0.476,0.536,-0.371,-49.939,37.134,-32.683
-0.516,0.47,-0.218,-52.988,43.841,-30.976
-0.572,0.357,-0.078,-46.341,53.598,-21.341
-0.671,0.262,-0.028,-33.598,63.659,-13.11
-0.696,0.237,0.069,-17.805,62.012,-17.378
-0.69,0.279,0.127,0.488,49.512,-30.976
-0.734,0.371,0.135,22.744,32.012,-39.329
-0.776,0.519,0.111,45.244,8.537,-37.012
-0.812,0.705,0.063,59.634,-17.744,-28.293
-0.81,0.888,0.047,59.512,-44.39,-15.976
-0.755,0.988,0.063,45.671,-70.0,-3.232
-0.717,0.943,0.091,33.171,-96.646,5.061
-0.761,0.817,0.124,35.244,-129.878,5.366
-0.883,0.739,0.145,52.134,-167.805,1.585
-0.968,0.792,0.074,78.11,-206.342,-4.939
-0.767,1.024,0.061,87.134,-230.061,-19.695
-0.455,1.268,0.1,80.915,-217.744,-26.89
-0.296,1.413,0.135,65.793,-170.061,-14.695
-0.116,1.494,0.21,43.963,-102.134,5.488
0.041,1.519,0.248,19.268,-32.439,19.573
-0.039,1.47,0.229,3.598,24.146,27.561
-0.216,1.45,0.18,-8.232,51.951,29.573
-0.306,1.457,0.141,-20.854,44.451,28.659
-0.372,1.399,0.133,-31.89,13.963,28.659
-0.403,1.274,0.178,-36.341,-25.183,28.11
-0.377,1.122,0.172,-31.829,-59.634,25.366
-0.331,1.005,0.121,-23.11,-79.756,20.732
-0.248,0.974,0.112,-16.585,-81.037,15.976
-0.16,0.987,0.13,-15.915,-59.878,13.598
-0.081,0.996,0.15,-18.902,-15.915,15.549
-0.033,0.977,0.139,-25.854,41.951,20.488
-0.075,0.928,0.095,-34.634,100.0,26.341
-0.185,0.853,0.065,-41.037,141.159,28.049
-0.271,0.783,0.049,-42.622,154.268,21.951
-0.328,0.703,0.015,-37.439,144.451,13.537
-0.391,0.623,-0.053,-29.756,125.366,9.451
-0.413,0.567,-0.095,-24.085,108.232,6.524
-0.358,0.535,-0.098,-22.561,95.793,-2.317
-0.305,0.498,-0.111,-23.232,89.146,-14.39
-0.328,0.436,-0.114,-17.866,84.756,-22.927
-0.371,0.401,-0.202,-12.622,79.573,-28.049
-0.45,0.412,-0.256,-15.244,81.341,-28.841
-0.583,0.408,-0.138,-15.671,87.988,-24.024
-0.654,0.391,-0.029,-7.134,90.366,-22.317
-0.682,0.396,-0.047,6.585,89.39,-26.28
-0.735,0.457,-0.017,21.037,80.488,-30.488
-0.745,0.586,0.015,30.366,56.829,-33.11
-0.749,0.742,0.016,36.341,25.061,-31.89
-0.78,0.864,-0.012,41.585,-7.5,-22.561
-0.818,0.952,-0.027,40.305,-36.89,-6.89
-0.836,0.991,0.034,35.122,-62.988,7.683
-0.814,0.947,0.084,30.549,-82.378,14.146
-0.75,0.858,0.134,32.378,-97.622,12.195
-0.687,0.781,0.196,41.707,-117.439,7.134
-0.743,0.748,0.167,58.902,-145.549,5.122
-0.8,0.824,0.073,77.439,-177.073,-0.061
-0.608,1.039,0.086,84.207,-195.244,-14.207
-0.317,1.247,0.09,82.134,-179.512,-24.146
-0.106,1.417,0.098,69.329,-128.476,-20.366
0.048,1.573,0.123,40.122,-56.707,-3.902
0.044,1.654,0.142,-0.244,8.72,18.415
-0.141,1.574,0.179,-31.707,44.024,36.524
-0.381,1.385,0.212,-40.854,38.415,42.012
-0.565,1.205,0.204,-28.963,-0.366,37.988
-0.614,1.103,0.149,-10.61,-49.512,31.646
-0.475,1.104,0.119,-2.256,-83.049,29.085
-0.285,1.145,0.123,-6.768,-84.268,34.39
-0.171,1.16,0.099,-19.329,-57.622,43.171
-0.151,1.127,0.057,-33.415,-20.915,49.024
-0.219,1.049,-0.014,-42.927,8.415,47.622
-0.196,0.984,-0.036,-49.085,22.866,34.512
-0.1,0.901,-0.015,-51.037,31.829,20.427
-0.058,0.8,0.047,-45.793,43.232,12.134
-0.015,0.721,0.046,-39.695,58.415,6.707
-0.031,0.67,-0.038,-40.305,77.195,2.012
-0.136,0.629,-0.044,-41.768,93.415,-3.78
-0.202,0.602,-0.063,-43.354,103.476,-16.098
-0.281,0.562,-0.062,-38.293,105.305,-27.5
-0.418,0.515,-0.083,-25.915,100.854,-29.024
-0.518,0.514,-0.118,-15.122,92.195,-24.207
-0.536,0.539,-0.158,-13.11,82.378,-21.646
-0.489,0.572,-0.139,-15.0,76.646,-26.768
-0.417,0.562,-0.133,-15.915,77.195,-33.72
-0.404,0.533,-0.149,-19.756,92.378,-33.78
-0.467,0.494,-0.051,-19.939,108.963,-27.134
-0.618,0.476,-0.023,-18.78,111.22,-22.866
-0.806,0.496,-0.004,-13.78,95.305,-25.183
-0.925,0.538,0.047,-2.439,52.5,-28.537
-1.054,0.6,0.038,13.171,-4.268,-23.963
-1.142,0.686,0.091,29.512,-60.854,-12.195
-1.053,0.768,0.2,43.476,-109.878,-3.72
-0.828,0.795,0.257,53.476,-139.695,-2.378
-0.636,0.758,0.258,58.72,-140.671,-3.293
-0.48,0.72,0.269,60.915,-120.427,-6.037
-0.413,0.739,0.224,62.561,-95.61,-13.476
-0.508,0.829,0.119,66.829,-80.183,-22.073
-0.572,0.996,0.111,66.402,-78.902,-27.805
-0.543,1.142,0.172,65.488,-87.744,-24.39
-0.549,1.231,0.117,65.671,-97.866,-13.415
-0.536,1.334,0.088,59.39,-100.366,-3.293
-0.438,1.424,0.127,46.463,-95.366,3.049
-0.343,1.472,0.165,28.963,-78.963,8.537
-0.312,1.457,0.195,15.244,-55.366,17.927
-0.329,1.408,0.193,4.085,-34.695,29.512
-0.389,1.356,0.199,-3.171,-25.61,38.598
-0.42,1.309,0.173,-6.646,-27.439,41.524
-0.357,1.27,0.101,-12.317,-30.732,40.976
-0.235,1.225,0.045,-22.927,-27.378,41.524
-0.146,1.167,0.034,-37.012,-14.634,42.195
-0.09,1.072,0.048,-48.78,3.354,39.573
-0.09,0.966,0.033,-53.11,21.524,33.72
-0.159,0.889,0.021,-50.549,35.061,26.402
-0.231,0.865,0.033,-45.0,40.061,20.0
-0.287,0.864,-0.011,-42.439,38.841,19.451
-0.359,0.866,-0.075,-45.244,36.829,23.78
-0.357,0.861,-0.073,-51.341,35.549,25.0
-0.267,0.817,-0.021,-56.22,36.037,20.305
-0.207,0.712,0.053,-52.744,41.28,15.61
-0.192,0.587,0.101,-42.378,55.244,13.171
-0.193,0.482,0.088,-31.159,75.549,11.768
-0.239,0.424,0.072,-22.073,96.951,7.805
-0.316,0.404,0.047,-14.085,113.72,-1.585
-0.395,0.414,0.001,-8.293,121.829,-15.793
-0.419,0.452,-0.017,-3.78,115.671,-29.573
-0.43,0.48,-0.085,-2.5,97.744,-34.512
-0.525,0.491,-0.143,-3.232,76.768,-30.427
-0.627,0.511,-0.124,-4.207,55.549,-27.256
-0.722,0.542,-0.058,-4.634,40.244,-28.476
-0.815,0.563,0.085,3.72,24.085,-30.854
-0.84,0.61,0.157,15.793,-1.159,-31.463
-0.864,0.669,0.157,28.902,-30.427,-24.817
-0.914,0.726,0.181,42.378,-56.159,-11.463
-0.822,0.776,0.238,51.768,-69.756,-3.232
-0.635,0.777,0.25,57.866,-62.561,-4.39
-0.495,0.735,0.184,63.11,-34.329,-10.183
