acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.107,0.568,0.355,-30.427,93.293,71.585
-0.105,0.566,0.276,-32.561,95.122,64.268
-0.145,0.558,0.182,-35.305,93.902,53.171
-0.139,0.536,0.178,-32.378,89.939,35.854
-0.053,0.472,0.239,-23.841,89.329,16.646
0.07,0.413,0.354,-15.427,100.061,2.195
0.142,0.387,0.396,-11.646,119.268,-4.695
0.076,0.396,0.368,-13.293,131.585,-6.098
-0.09,0.451,0.251,-19.146,127.439,-8.11
-0.235,0.553,0.142,-26.402,109.085,-13.476
-0.342,0.648,0.076,-34.268,83.049,-19.512
-0.416,0.729,0.088,-39.939,57.744,-23.11
-0.473,0.815,0.223,-39.939,32.134,-22.805
-0.618,0.887,0.483,-31.28,-1.22,-14.512
-0.864,0.911,0.674,-24.451,-26.89,-4.146
-0.867,0.972,0.796,-18.78,-27.744,0.366
-0.612,1.01,0.946,-8.415,-12.927,0.427
-0.412,0.966,1.017,1.89,-3.659,-1.585
-0.317,0.962,1.01,10.488,-9.329,-4.329
-0.274,0.998,0.934,17.134,-26.402,-6.768
-0.291,1.042,0.826,21.037,-47.195,-6.89
-0.363,1.088,0.726,22.622,-61.28,-3.476
-0.429,1.108,0.628,22.927,-62.622,2.561
-0.45,1.07,0.542,24.329,-52.439,9.634
-0.44,0.994,0.45,25.488,-34.39,17.256
-0.401,0.941,0.35,25.793,-12.378,23.049
-0.298,0.907,0.269,23.476,11.28,26.951
-0.207,0.877,0.176,16.951,31.524,33.902
-0.215,0.875,0.099,5.976,40.61,41.28
-0.292,0.91,-0.015,-5.793,36.707,38.841
-0.276,0.889,-0.072,-12.561,26.707,26.89
-0.143,0.76,-0.051,-14.024,18.537,10.122
0.01,0.608,-0.008,-12.439,20.488,-6.585
0.153,0.495,0.022,-10.976,35.854,-18.354
0.202,0.426,0.062,-10.976,62.317,-20.732
0.091,0.406,0.078,-15.671,87.683,-17.134
-0.073,0.455,0.02,-22.988,99.146,-16.829
-0.146,0.556,-0.025,-31.159,97.683,-20.976
-0.153,0.658,-0.028,-37.5,90.915,-25.488
-0.22,0.717,0.073,-37.012,82.805,-29.085
-0.307,0.706,0.257,-30.183,79.512,-25.793
-0.454,0.711,0.567,-17.256,69.573,-12.256
-0.782,0.788,0.954,-2.256,30.854,3.171
-1.122,0.931,1.002,1.524,-15.366,9.146
-0.998,1.141,0.931,3.78,-43.537,2.317
-0.674,1.178,0.944,10.976,-59.695,-7.622
-0.549,1.08,0.96,18.841,-75.915,-11.22
-0.539,1.039,0.891,23.598,-90.122,-8.049
-0.529,1.081,0.77,24.756,-94.207,-0.183
-0.53,1.157,0.614,21.341,-84.268,12.988
-0.574,1.177,0.477,19.634,-67.927,24.085
-0.539,1.088,0.422,24.634,-49.634,30.549
