acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.446,0.527,-0.007,-38.963,105.61,-38.293
-0.817,0.493,0.267,-25.61,62.927,-23.598
-1.304,0.522,0.5,-12.134,4.817,-15.305
-1.438,0.661,0.528,-4.39,-41.159,-11.951
-1.171,0.818,0.577,0.427,-57.744,-6.89
-0.88,0.879,0.651,4.329,-50.061,-8.72
-0.593,0.916,0.657,8.902,-38.049,-13.537
-0.489,0.946,0.615,9.512,-33.598,-10.122
-0.667,1.008,0.534,8.476,-36.402,3.354
-0.944,1.042,0.495,7.622,-36.646,18.11
-0.99,1.049,0.434,6.159,-28.476,27.012
-0.862,1.028,0.408,8.11,-20.0,36.463
-0.807,0.946,0.451,12.561,-18.415,47.866
-0.815,0.87,0.512,18.841,-28.11,54.756
-0.798,0.795,0.543,27.439,-46.341,55.732
-0.73,0.692,0.574,40.854,-62.988,50.061
-0.567,0.561,0.611,54.695,-67.439,50.366
-0.436,0.458,0.536,56.768,-56.89,59.207
-0.386,0.512,0.264,47.195,-33.659,59.024
-0.231,0.621,-0.051,31.951,-3.598,47.378
-0.019,0.658,-0.259,15.366,28.659,34.207
0.089,0.662,-0.386,-2.073,57.256,19.39
0.117,0.665,-0.407,-12.805,77.805,3.841
0.154,0.613,-0.339,-19.756,92.5,-6.768
0.056,0.578,-0.237,-22.561,98.963,-16.159
-0.118,0.542,-0.048,-20.976,98.598,-27.439
-0.192,0.509,0.103,-23.171,101.281,-37.012
-0.215,0.561,0.073,-30.854,109.329,-41.341
-0.336,0.655,-0.043,-36.22,116.402,-43.841
-0.516,0.723,0.062,-32.5,115.244,-40.427
-0.884,0.713,0.39,-24.085,80.915,-27.683
-1.467,0.699,0.584,-16.22,20.671,-24.451
-1.609,0.832,0.594,-10.732,-28.72,-25.732
-1.343,0.963,0.667,-4.939,-61.524,-19.329
-1.266,0.957,0.719,0.549,-81.037,-14.451
-1.129,0.974,0.736,6.098,-89.329,-16.037
-0.958,0.998,0.724,9.695,-89.207,-12.134
-0.915,1.026,0.641,11.585,-84.207,-2.012
-0.904,1.036,0.606,16.829,-78.537,5.305
-0.856,0.98,0.598,23.537,-75.549,13.232
-0.852,0.906,0.596,31.402,-81.28,20.854
-0.845,0.832,0.592,41.098,-92.805,24.817
-0.752,0.768,0.562,52.683,-98.11,28.293
-0.627,0.688,0.527,59.39,-94.39,41.402
-0.626,0.639,0.382,56.585,-84.634,55.549
-0.607,0.702,0.128,48.049,-71.037,59.451
-0.435,0.765,-0.103,33.293,-51.646,49.085
-0.096,0.802,-0.3,14.39,-27.5,28.232
0.215,0.791,-0.429,-2.805,-3.78,6.585
0.35,0.716,-0.434,-13.78,21.951,-10.732
0.39,0.632,-0.322,-19.39,56.159,-22.805
0.339,0.573,-0.181,-21.951,91.707,-28.415
0.162,0.535,-0.037,-21.159,122.073,-31.159
-0.016,0.537,0.038,-21.28,150.183,-34.329
-0.075,0.558,0.033,-24.085,176.037,-41.28
-0.08,0.549,-0.025,-30.122,186.342,-47.5
-0.262,0.528,-0.154,-38.476,175.305,-52.988
-0.533,0.532,-0.232,-43.293,161.768,-54.756
-0.738,0.543,-0.09,-37.744,151.585,-44.451
-1.088,0.516,0.32,-24.085,119.207,-28.598
-1.506,0.512,0.63,-11.098,47.622,-20.244
-1.686,0.659,0.581,-6.951,-18.293,-14.756
-1.446,0.881,0.568,-1.524,-59.939,-17.5
-1.171,0.953,0.644,4.451,-86.037,-21.463
-1.075,0.95,0.694,10.244,-94.207,-24.024
-0.971,0.97,0.718,16.159,-88.171,-24.329
-0.873,0.985,0.695,18.476,-74.695,-20.793
-0.812,1.021,0.589,17.561,-60.366,-12.988
-0.859,1.039,0.46,16.463,-54.878,0.366
-1.039,1.006,0.426,19.39,-57.866,17.744
-1.172,0.955,0.456,25.305,-60.732,31.037
-1.083,0.884,0.479,30.976,-64.756,41.585
-0.952,0.806,0.432,37.073,-72.866,49.268
-0.82,0.737,0.396,44.817,-80.122,52.805
-0.643,0.652,0.399,47.744,-81.402,53.415
-0.432,0.629,0.263,42.744,-73.902,47.5
-0.216,0.691,0.014,29.512,-56.768,36.524
-0.036,0.749,-0.236,11.22,-32.561,22.317
0.12,0.79,-0.396,-6.22,1.585,4.268
0.269,0.8,-0.45,-18.659,46.341,-14.573
0.368,0.718,-0.379,-22.744,92.317,-30.61
0.359,0.57,-0.195,-21.89,128.476,-37.805
0.177,0.446,-0.053,-21.341,147.561,-41.829
-0.038,0.421,-0.034,-24.939,151.585,-46.159
-0.176,0.465,-0.148,-31.585,147.317,-52.561
-0.25,0.516,-0.219,-38.72,141.402,-57.805
-0.368,0.529,-0.253,-44.268,141.037,-59.146
-0.544,0.547,-0.146,-40.305,149.939,-52.5
-0.819,0.524,0.163,-28.11,151.646,-30.488
-1.348,0.475,0.594,-13.72,94.634,-7.988
-1.918,0.571,0.612,-8.841,13.659,-2.5
-1.674,0.879,0.438,-5.305,-35.976,-0.976
-1.253,0.981,0.502,1.463,-71.768,-1.159
-1.201,0.941,0.604,8.171,-93.841,-6.037
-1.108,0.966,0.663,14.695,-94.878,-9.573
-0.932,0.98,0.678,17.683,-82.622,-8.293
-0.818,0.999,0.612,18.841,-68.537,-3.537
-0.798,1.016,0.521,19.329,-57.256,4.634
-0.841,1.03,0.453,21.22,-51.707,13.598
-0.882,1.006,0.426,25.854,-46.768,21.768
-0.864,0.933,0.398,30.061,-40.244,30.427
-0.837,0.805,0.35,33.902,-38.659,35.122
-0.776,0.693,0.292,38.78,-38.72,38.659
-0.689,0.607,0.289,39.634,-40.183,46.89
-0.638,0.587,0.207,34.329,-46.524,47.622
-0.478,0.722,0.034,27.927,-47.317,38.659
