acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.208,-0.883,0.121,9.573,-18.354,2.134
-0.176,-0.96,-0.06,8.78,-12.195,7.012
-0.311,-1.045,-0.22,18.963,-3.11,3.415
-0.427,-1.097,-0.304,31.341,0.793,0.061
-0.484,-1.092,-0.313,41.159,1.341,-1.89
-0.443,-1.064,-0.253,47.683,1.037,-2.378
-0.4,-1.006,-0.187,50.732,-0.061,-2.256
-0.453,-0.953,-0.119,51.463,-7.317,-5.183
-0.531,-0.918,-0.054,50.0,-23.476,-7.805
-0.521,-0.867,-0.02,44.451,-38.78,-7.378
-0.455,-0.847,0.009,39.451,-44.268,-7.561
-0.424,-0.843,0.022,35.366,-44.512,-8.476
-0.394,-0.825,0.036,30.61,-46.524,-6.768
-0.32,-0.799,0.048,24.512,-49.207,-2.073
-0.279,-0.789,0.031,20.061,-50.549,1.768
-0.328,-0.801,-0.017,18.415,-54.695,2.622
-0.383,-0.821,-0.061,18.11,-65.915,3.232
-0.408,-0.828,-0.107,18.902,-82.561,4.268
-0.436,-0.837,-0.12,21.463,-101.829,4.024
-0.432,-0.823,-0.104,20.976,-123.232,4.939
-0.424,-0.795,-0.106,18.537,-135.061,7.378
-0.389,-0.792,-0.053,18.11,-129.817,8.049
-0.305,-0.788,0.071,16.463,-109.39,8.354
-0.245,-0.762,0.152,11.646,-80.793,8.963
-0.25,-0.766,0.153,7.134,-53.963,9.146
-0.303,-0.813,0.143,4.329,-36.524,8.354
-0.376,-0.862,0.138,1.402,-29.634,6.829
-0.393,-0.903,0.12,-1.463,-30.0,6.341
-0.385,-0.937,0.127,-3.354,-30.549,7.378
-0.343,-0.954,0.129,-4.756,-27.866,8.963
-0.32,-0.962,0.128,-4.817,-24.207,9.634
-0.34,-0.97,0.103,-3.476,-21.707,9.573
-0.384,-0.98,0.109,-1.768,-19.695,9.634
-0.401,-0.982,0.114,-1.159,-17.378,9.207
-0.392,-0.976,0.154,-1.524,-12.012,7.866
-0.348,-0.958,0.207,-3.598,-3.232,7.256
-0.307,-0.946,0.21,-6.098,7.317,8.171
-0.33,-0.953,0.215,-8.415,11.585,8.78
-0.377,-0.95,0.205,-11.28,7.195,9.573
-0.403,-0.939,0.175,-12.988,1.768,11.28
-0.393,-0.941,0.155,-13.537,-0.122,12.5
-0.379,-0.946,0.125,-13.293,2.317,13.049
-0.394,-0.95,0.1,-11.951,6.341,12.012
-0.392,-0.943,0.094,-10.732,10.61,11.037
-0.367,-0.948,0.087,-9.695,16.28,11.22
-0.371,-0.968,0.081,-8.171,22.256,10.305
-0.392,-0.975,0.078,-7.134,25.305,8.598
-0.391,-0.964,0.081,-6.646,27.073,8.354
-0.384,-0.951,0.086,-6.098,30.244,8.537
-0.368,-0.953,0.093,-5.0,35.244,8.415
-0.338,-0.973,0.108,-3.72,44.146,8.476
-0.322,-0.986,0.102,-2.683,54.817,8.049
-0.33,-1.002,0.095,-0.854,62.561,7.378
-0.353,-1.013,0.101,0.488,65.549,7.134
-0.417,-1.014,0.094,0.793,59.634,5.488
-0.502,-1.025,0.123,-0.549,44.512,2.256
-0.539,-1.02,0.166,-3.659,33.598,-0.244
-0.467,-1.018,0.166,-4.634,36.159,-1.951
-0.394,-1.032,0.172,-3.232,47.683,-2.805
-0.36,-1.027,0.178,-2.5,60.305,-1.402
-0.375,-1.008,0.153,-2.683,67.5,-0.183
-0.44,-0.997,0.112,-2.622,64.512,-1.463
-0.478,-0.985,0.092,-4.085,54.573,-2.073
-0.421,-0.966,0.06,-6.28,47.805,0.427
-0.374,-0.962,0.026,-6.037,47.439,2.622
-0.33,-0.974,0.016,-4.451,51.037,4.512
-0.301,-0.96,0.006,-3.72,58.415,6.707
-0.307,-0.952,0.004,-2.317,69.024,7.988
-0.329,-0.953,0.034,-1.89,78.11,8.293
-0.345,-0.95,0.036,-2.134,81.037,8.78
-0.376,-0.952,0.036,-2.622,77.927,9.085
-0.377,-0.961,0.023,-2.988,71.951,9.695
-0.37,-0.963,-0.043,-1.768,64.695,10.122
-0.478,-0.957,-0.098,1.159,55.549,7.195
-0.561,-0.966,-0.104,3.415,46.28,1.768
-0.5,-0.956,-0.078,4.39,46.585,-1.707
-0.441,-0.929,-0.06,7.073,53.293,-4.878
-0.439,-0.906,-0.033,7.561,56.098,-6.28
-0.448,-0.87,0.005,4.268,51.341,-4.512
-0.458,-0.839,-0.012,0.305,44.39,-2.073
-0.45,-0.858,-0.052,-1.159,38.171,-1.89
-0.411,-0.895,-0.079,-0.793,33.902,-0.488
-0.387,-0.916,-0.115,1.463,31.646,2.195
-0.407,-0.943,-0.122,4.634,27.622,3.11
-0.455,-0.949,-0.114,5.793,21.707,2.561
-0.479,-0.945,-0.096,5.793,16.951,1.402
-0.466,-0.946,-0.056,5.61,15.244,0.915
-0.454,-0.943,-0.016,4.939,17.012,0.671
-0.453,-0.93,0.014,4.085,19.085,0.305
-0.467,-0.914,0.007,1.159,15.244,0.732
-0.496,-0.919,-0.029,-1.159,7.134,1.098
-0.508,-0.94,-0.053,-1.768,-1.646,-0.183
-0.475,-0.946,-0.062,-1.707,-7.195,-0.488
-0.44,-0.932,-0.051,-1.707,-8.598,0.671
-0.439,-0.923,-0.039,-2.073,-7.927,0.549
-0.425,-0.92,-0.038,-2.378,-5.183,-0.366
-0.432,-0.917,-0.046,-2.5,-0.671,-1.22
-0.454,-0.903,-0.046,-3.11,1.341,-2.317
-0.463,-0.881,-0.051,-4.756,-0.488,-2.866
-0.441,-0.869,-0.058,-6.28,-3.537,-2.073
-0.427,-0.873,-0.075,-7.439,-5.793,-1.28
-0.437,-0.884,-0.074,-8.293,-10.122,-0.915
-0.443,-0.874,-0.089,-9.207,-17.683,-0.061
-0.438,-0.884,-0.11,-8.232,-24.512,0.793
-0.434,-0.902,-0.108,-7.012,-29.268,1.159
-0.449,-0.913,-0.098,-6.585,-32.5,0.732
-0.461,-0.923,-0.079,-6.28,-33.293,-0.793
-0.467,-0.923,-0.063,-6.585,-32.317,-2.988
-0.479,-0.936,-0.063,-6.037,-32.073,-6.037
-0.482,-0.953,-0.066,-5.244,-32.256,-8.232
-0.489,-0.964,-0.077,-4.146,-32.927,-10.244
-0.506,-0.975,-0.098,-1.585,-35.854,-12.561
-0.537,-0.975,-0.106,1.707,-40.0,-14.695
-0.496,-0.976,-0.091,3.963,-44.329,-14.817
-0.407,-0.961,-0.065,4.573,-42.988,-11.28
-0.343,-0.949,-0.019,4.878,-36.28,-7.195
-0.31,-0.927,0.041,2.561,-30.366,-3.354
-0.316,-0.883,0.068,-1.768,-28.049,0.122
-0.309,-0.861,0.054,-5.793,-28.78,4.024
-0.338,-0.862,0.016,-7.866,-30.671,7.5
-0.418,-0.883,-0.039,-7.378,-35.061,7.012
-0.454,-0.908,-0.068,-5.732,-44.024,5.0
-0.476,-0.914,-0.077,-5.122,-53.902,3.78
-0.47,-0.919,-0.061,-4.939,-60.0,2.439
-0.428,-0.924,-0.032,-4.756,-55.61,2.012
-0.36,-0.93,0.015,-4.39,-39.207,2.439
-0.319,-0.924,0.054,-4.939,-19.268,2.622
-0.329,-0.906,0.052,-6.463,-6.098,3.232
-0.389,-0.898,0.02,-7.988,-1.524,3.78
-0.43,-0.916,-0.011,-7.927,-1.646,4.329
-0.434,-0.93,-0.021,-7.256,-2.378,5.915
-0.432,-0.927,-0.016,-7.561,-3.902,7.683
-0.46,-0.928,-0.025,-7.805,-4.573,6.463
-0.481,-0.938,-0.037,-7.012,-4.756,3.232
-0.491,-0.93,-0.04,-6.707,-4.39,0.793
-0.456,-0.928,-0.022,-6.585,-2.012,-0.427
-0.413,-0.933,0.007,-7.012,2.134,-0.244
-0.42,-0.927,0.009,-8.171,5.183,-0.427
-0.435,-0.931,-0.006,-8.598,5.488,-0.793
-0.434,-0.94,-0.027,-8.841,5.61,-0.732
-0.419,-0.942,-0.036,-8.537,6.524,0.061
-0.395,-0.929,-0.037,-7.866,8.72,1.707
-0.374,-0.92,-0.04,-7.012,11.28,3.171
-0.351,-0.931,-0.033,-6.22,12.988,4.878
-0.358,-0.946,-0.039,-5.488,13.232,6.28
-0.386,-0.963,-0.043,-4.756,13.11,6.646
-0.408,-0.982,-0.033,-5.0,12.866,5.61
-0.428,-0.985,-0.032,-4.939,12.805,3.902
-0.433,-0.987,-0.048,-3.659,13.232,3.171
-0.422,-0.992,-0.031,-2.378,15.183,2.744
-0.415,-0.998,-0.032,-0.793,18.11,2.683
-0.432,-1.011,-0.038,1.951,19.695,2.622
-0.428,-1.027,-0.056,5.793,19.024,2.439
-0.42,-1.045,-0.067,10.976,17.439,3.232
-0.445,-1.055,-0.064,15.488,10.366,3.354
-0.518,-1.042,0.001,15.366,-3.537,2.378
-0.559,-0.985,0.114,8.537,-16.89,0.61
-0.518,-0.935,0.111,2.866,-17.927,-2.256
-0.428,-0.96,0.084,2.5,-7.866,-4.39
-0.351,-0.985,0.043,3.171,3.415,-2.927
-0.358,-0.992,-0.011,4.756,8.963,-0.732
-0.387,-1.003,-0.036,7.622,7.744,0.427
-0.391,-1.012,-0.046,9.573,2.317,1.951
-0.447,-1.008,-0.068,11.341,-3.598,1.28
-0.445,-0.998,-0.089,14.085,-6.829,0.549
-0.382,-0.978,-0.071,16.463,-3.476,2.256
-0.354,-0.951,-0.051,18.232,1.951,3.963
-0.398,-0.933,-0.03,19.207,4.573,4.268
-0.442,-0.913,0.001,17.805,4.512,2.866
-0.444,-0.898,0.018,15.427,5.366,1.341
-0.426,-0.9,0.027,13.659,8.841,0.61
-0.413,-0.898,0.034,12.073,12.439,0.183
-0.414,-0.882,0.031,9.756,13.659,0.061
-0.433,-0.88,0.012,7.683,11.768,-0.183
-0.45,-0.901,-0.004,7.012,7.988,-1.22
-0.442,-0.924,-0.019,7.195,5.488,-2.073
