acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.292,-0.648,0.465,79.939,60.427,-87.866
-0.282,-0.602,0.452,72.317,47.134,-84.451
-0.246,-0.623,0.445,65.122,36.22,-80.183
-0.198,-0.662,0.457,60.183,26.646,-73.963
-0.17,-0.681,0.495,55.061,18.841,-67.256
-0.148,-0.688,0.546,50.244,14.39,-60.366
-0.122,-0.684,0.597,44.756,13.78,-53.963
-0.092,-0.683,0.59,39.329,17.134,-46.951
-0.082,-0.679,0.536,34.268,23.963,-40.488
-0.112,-0.695,0.5,29.939,28.537,-34.939
-0.142,-0.729,0.463,26.341,27.744,-30.122
-0.143,-0.757,0.417,24.756,24.573,-24.878
-0.142,-0.762,0.423,23.537,21.951,-21.951
-0.118,-0.768,0.456,21.951,22.683,-19.573
-0.104,-0.764,0.482,18.72,25.915,-17.439
-0.128,-0.775,0.503,14.817,27.927,-17.073
-0.154,-0.799,0.508,12.012,29.634,-16.22
-0.154,-0.816,0.525,7.866,31.585,-15.793
-0.145,-0.836,0.561,4.573,37.866,-15.61
-0.158,-0.824,0.587,0.427,45.61,-16.037
-0.194,-0.826,0.589,-4.512,50.915,-17.927
-0.239,-0.855,0.557,-7.378,52.561,-18.659
-0.285,-0.877,0.514,-9.512,49.451,-20.427
-0.302,-0.913,0.48,-10.183,43.902,-21.585
-0.285,-0.938,0.466,-9.451,38.171,-21.829
-0.257,-0.924,0.444,-8.963,35.061,-23.415
-0.21,-0.925,0.399,-8.476,35.0,-24.268
-0.178,-0.934,0.375,-5.915,32.195,-22.012
-0.212,-0.914,0.37,-2.012,24.756,-18.537
-0.203,-0.86,0.349,2.256,20.366,-15.366
-0.111,-0.821,0.274,5.732,20.427,-8.598
-0.094,-0.796,0.167,11.098,25.061,0.549
-0.136,-0.751,0.116,17.317,27.744,7.927
-0.138,-0.705,0.158,23.11,29.939,14.756
-0.116,-0.634,0.207,27.012,33.11,21.707
-0.132,-0.573,0.215,27.134,35.122,27.561
-0.2,-0.585,0.19,26.524,37.805,33.232
-0.328,-0.636,0.202,26.037,37.988,36.28
-0.432,-0.683,0.244,24.939,36.585,35.732
-0.47,-0.718,0.316,22.378,35.732,32.927
-0.516,-0.757,0.336,19.756,32.378,28.171
-0.602,-0.824,0.361,16.646,20.122,21.524
-0.66,-0.907,0.354,15.305,5.244,12.988
-0.611,-0.978,0.415,12.744,-4.39,5.305
-0.532,-1.04,0.536,10.183,-8.415,-0.732
-0.524,-1.061,0.667,5.061,-12.561,-6.402
-0.473,-1.091,0.759,-1.22,-16.159,-11.585
-0.38,-1.117,0.758,-7.561,-20.0,-13.11
-0.349,-1.137,0.723,-12.561,-26.768,-14.268
-0.354,-1.167,0.685,-13.72,-34.695,-15.671
-0.315,-1.158,0.649,-13.78,-39.024,-17.683
-0.275,-1.145,0.592,-13.537,-39.634,-17.622
-0.301,-1.132,0.545,-13.171,-36.463,-20.732
-0.255,-1.111,0.5,-10.854,-28.293,-24.085
-0.223,-1.071,0.489,-8.537,-21.159,-24.939
-0.231,-1.025,0.467,-5.976,-18.72,-26.037
-0.218,-0.975,0.451,-4.512,-18.415,-25.976
-0.153,-0.925,0.481,-3.78,-15.122,-25.305
-0.055,-0.865,0.477,-6.159,-7.256,-23.171
-0.011,-0.845,0.459,-8.72,2.378,-20.549
0.001,-0.875,0.434,-8.232,3.963,-16.037
0.069,-0.854,0.446,-5.915,4.451,-9.39
0.108,-0.76,0.398,-6.463,6.159,-2.317
0.083,-0.727,0.302,-7.744,7.805,4.085
0.074,-0.751,0.27,-6.28,11.037,10.976
0.078,-0.742,0.276,-3.293,17.5,19.878
0.056,-0.689,0.239,-0.549,24.39,27.683
-0.004,-0.678,0.214,2.012,26.341,35.793
-0.046,-0.691,0.162,5.549,26.89,42.988
-0.061,-0.696,0.089,11.28,35.61,48.78
-0.132,-0.709,0.098,17.866,44.695,53.902
-0.301,-0.705,0.103,25.61,50.61,55.366
-0.489,-0.698,0.134,29.817,51.768,53.11
-0.611,-0.741,0.205,31.951,47.195,47.256
-0.649,-0.769,0.328,31.89,41.951,40.366
-0.697,-0.754,0.434,27.073,35.671,32.134
-0.776,-0.775,0.467,20.305,24.695,21.585
-0.798,-0.845,0.496,15.061,9.329,10.488
-0.773,-0.917,0.548,11.951,-7.683,3.049
-0.734,-0.936,0.579,6.829,-23.963,-4.756
-0.636,-0.966,0.595,-0.366,-34.085,-12.622
-0.497,-1.039,0.648,-4.634,-33.78,-16.829
-0.407,-1.073,0.67,-6.951,-29.085,-18.841
-0.406,-1.073,0.651,-11.098,-30.61,-20.793
-0.392,-1.115,0.624,-13.78,-35.976,-22.256
-0.301,-1.166,0.605,-14.268,-38.841,-20.793
-0.227,-1.174,0.609,-13.78,-38.476,-19.939
-0.175,-1.15,0.617,-14.146,-35.671,-20.976
-0.11,-1.125,0.593,-14.268,-29.024,-20.488
-0.107,-1.099,0.52,-14.39,-22.073,-18.841
-0.126,-1.087,0.468,-13.598,-16.159,-18.171
-0.054,-1.051,0.485,-12.561,-8.72,-14.878
0.004,-0.961,0.483,-14.085,2.134,-11.22
-0.028,-0.912,0.448,-12.927,9.329,-6.89
