acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.159,-0.979,0.319,26.28,78.902,-28.963
-0.128,-1.012,0.255,23.476,71.402,-22.988
-0.093,-1.042,0.217,21.098,64.756,-18.841
-0.042,-1.04,0.212,17.866,60.976,-14.451
-0.019,-0.988,0.263,12.744,60.061,-9.207
-0.004,-0.884,0.402,5.549,62.866,-4.634
-0.027,-0.781,0.518,-5.549,69.329,-0.61
-0.137,-0.712,0.506,-15.915,76.037,0.488
-0.236,-0.689,0.374,-22.378,80.488,0.732
-0.273,-0.722,0.217,-25.671,87.012,1.037
-0.269,-0.77,0.052,-24.146,96.707,-0.732
-0.294,-0.801,-0.123,-19.512,103.293,-2.378
-0.382,-0.822,-0.263,-11.585,105.0,-5.0
-0.477,-0.825,-0.304,-0.305,101.22,-11.037
-0.465,-0.831,-0.251,8.659,92.378,-15.061
-0.456,-0.836,-0.158,15.122,81.585,-16.89
-0.487,-0.823,0.002,19.878,65.183,-17.988
-0.501,-0.805,0.17,19.39,42.805,-18.11
-0.48,-0.827,0.234,17.744,24.146,-18.476
-0.463,-0.881,0.208,17.5,8.841,-18.354
-0.468,-0.941,0.172,17.5,-3.415,-19.085
-0.424,-0.993,0.198,15.671,-7.317,-19.39
-0.319,-1.002,0.28,11.768,-3.415,-17.988
-0.284,-1.02,0.301,9.329,-2.622,-17.805
-0.326,-1.069,0.27,7.866,-10.061,-19.207
-0.304,-1.103,0.241,8.476,-19.024,-19.939
-0.191,-1.1,0.224,10.915,-23.963,-19.451
-0.128,-1.102,0.203,13.171,-30.427,-18.11
-0.174,-1.106,0.183,16.159,-45.488,-17.134
-0.193,-1.108,0.211,18.232,-60.183,-15.61
-0.152,-1.082,0.24,19.329,-68.537,-14.085
-0.138,-1.07,0.225,20.488,-71.402,-12.927
-0.113,-1.09,0.238,21.037,-66.524,-11.951
-0.092,-1.084,0.268,19.817,-57.988,-11.159
-0.12,-1.062,0.276,16.768,-51.037,-11.829
-0.088,-1.043,0.302,11.28,-43.354,-11.89
-0.002,-1.011,0.325,4.634,-35.122,-9.756
0.001,-0.968,0.284,0.915,-33.659,-7.073
0.03,-0.954,0.206,-0.549,-35.915,-2.5
0.075,-0.938,0.15,-1.098,-37.988,2.927
0.076,-0.918,0.119,-0.732,-39.024,6.89
0.08,-0.93,0.099,-0.122,-36.402,10.061
0.059,-0.945,0.043,1.159,-29.329,12.378
0.012,-0.926,-0.024,4.634,-18.841,14.024
0.01,-0.899,-0.04,7.683,-5.793,15.854
0.04,-0.889,-0.025,9.695,9.268,18.415
0.061,-0.874,-0.011,10.488,22.683,22.073
0.068,-0.854,0.03,9.817,29.512,26.585
0.055,-0.851,0.086,7.927,29.329,31.768
0.046,-0.83,0.147,4.512,27.561,38.78
0.037,-0.815,0.162,3.354,31.28,44.451
0.018,-0.924,0.112,3.659,41.159,46.402
-0.116,-1.016,0.025,5.061,54.695,46.646
-0.283,-1.019,0.012,7.378,71.28,39.695
-0.47,-0.969,0.093,7.622,84.634,32.012
-0.567,-0.91,0.174,5.793,95.366,21.524
-0.712,-0.928,0.254,3.171,94.146,8.415
-0.853,-0.924,0.353,1.28,72.866,-3.537
-0.775,-0.927,0.42,0.0,42.683,-10.854
-0.602,-0.958,0.44,-1.037,11.646,-13.293
-0.538,-0.967,0.398,0.427,-22.5,-14.268
