acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.402,-0.73,0.577,46.341,78.598,-52.683
-0.445,-0.642,0.803,30.305,59.756,-50.854
-0.504,-0.594,0.916,12.5,31.89,-47.866
-0.55,-0.617,0.863,-1.159,-5.366,-45.122
-0.549,-0.704,0.729,-8.293,-47.378,-44.207
-0.482,-0.845,0.543,-12.195,-86.89,-41.646
-0.364,-1.022,0.27,-8.415,-108.232,-40.183
-0.188,-1.179,-0.009,3.171,-97.683,-40.61
-0.028,-1.242,-0.107,13.476,-66.768,-42.134
-0.015,-1.228,-0.063,20.427,-45.793,-43.11
-0.06,-1.178,0.005,24.817,-40.732,-40.671
0.042,-1.071,0.098,25.915,-42.5,-34.024
0.204,-0.923,0.222,23.415,-44.024,-22.256
0.357,-0.77,0.391,17.256,-43.049,-8.902
0.432,-0.663,0.484,8.171,-37.378,4.634
0.417,-0.602,0.558,-3.232,-24.329,19.024
0.414,-0.564,0.609,-17.073,1.707,30.793
0.393,-0.572,0.561,-30.915,36.829,40.793
0.313,-0.646,0.411,-40.305,68.415,48.415
0.194,-0.774,0.225,-43.963,88.354,52.988
0.032,-0.892,0.041,-42.805,97.439,53.963
-0.062,-0.969,-0.095,-37.134,97.378,51.646
-0.029,-1.01,-0.153,-31.341,93.598,53.415
0.008,-1.018,-0.144,-25.427,89.939,56.951
-0.013,-1.013,-0.132,-17.256,87.5,58.415
-0.01,-1.018,-0.109,-10.366,94.024,59.451
-0.1,-1.002,-0.082,-6.89,114.39,56.585
-0.365,-0.938,-0.082,-3.963,137.927,45.915
-0.655,-0.881,-0.107,-0.061,156.159,30.0
-0.825,-0.878,-0.115,5.183,168.232,13.72
-0.939,-0.883,-0.098,11.22,167.195,-1.22
-0.971,-0.891,0.009,15.366,147.195,-12.256
-0.845,-0.893,0.19,15.183,114.024,-18.354
-0.682,-0.867,0.328,12.195,76.524,-22.195
-0.605,-0.826,0.392,8.841,36.768,-24.634
-0.577,-0.826,0.406,5.549,-4.024,-24.512
-0.552,-0.884,0.353,3.537,-42.5,-23.476
-0.584,-0.986,0.215,5.183,-75.244,-24.39
-0.603,-1.053,0.121,9.756,-92.805,-26.524
-0.496,-1.092,0.104,13.78,-95.488,-29.512
-0.446,-1.149,0.097,17.683,-92.317,-32.683
-0.422,-1.182,0.109,21.707,-87.927,-36.829
-0.346,-1.169,0.161,24.512,-83.78,-40.427
-0.273,-1.166,0.215,26.098,-81.28,-42.866
-0.204,-1.141,0.283,25.0,-77.988,-43.841
-0.095,-1.115,0.326,22.927,-75.488,-42.317
0.042,-1.127,0.332,19.268,-78.476,-36.037
0.133,-1.116,0.37,14.146,-83.11,-27.927
0.256,-1.067,0.458,9.329,-81.22,-20.183
0.428,-1.038,0.542,0.244,-69.939,-10.732
0.479,-1.013,0.578,-10.854,-51.341,-0.549
0.34,-0.987,0.526,-19.268,-32.622,5.488
0.179,-0.988,0.387,-23.171,-17.744,9.573
0.112,-0.993,0.276,-25.183,-2.988,14.878
0.073,-0.998,0.159,-25.0,14.512,17.439
0.049,-0.985,0.074,-23.354,29.878,19.695
0.024,-0.959,0.057,-21.341,38.232,22.622
-0.005,-0.931,-0.002,-18.537,40.427,25.793
-0.027,-0.852,-0.017,-15.732,41.524,28.902
-0.027,-0.791,-0.018,-12.805,43.11,31.951
-0.027,-0.776,-0.018,-10.488,45.305,36.89
-0.076,-0.773,-0.053,-7.561,46.707,40.671
-0.143,-0.799,-0.086,-2.439,45.732,43.902
-0.228,-0.827,-0.092,3.354,49.878,44.878
-0.326,-0.836,-0.051,6.159,60.61,41.768
-0.432,-0.813,-0.006,7.683,70.488,37.378
-0.502,-0.799,0.036,8.354,77.378,32.317
-0.514,-0.833,0.067,8.354,83.659,26.037
-0.547,-0.87,0.07,9.451,83.232,20.244
-0.615,-0.889,0.092,10.915,70.793,13.841
-0.635,-0.935,0.146,10.793,48.841,7.439
-0.594,-0.96,0.209,9.939,24.817,3.476
-0.549,-0.965,0.266,8.963,4.146,0.793
-0.497,-0.988,0.26,9.512,-14.085,-1.646
-0.5,-1.03,0.228,11.707,-32.5,-4.451
-0.554,-1.072,0.222,14.634,-52.439,-7.927
-0.545,-1.093,0.246,18.11,-66.524,-11.28
-0.43,-1.111,0.308,18.902,-72.744,-13.659
-0.386,-1.137,0.361,17.805,-77.195,-16.159
-0.392,-1.149,0.434,14.939,-80.61,-19.817
-0.356,-1.134,0.484,10.183,-80.854,-23.598
-0.291,-1.151,0.458,6.037,-77.927,-26.646
-0.204,-1.202,0.402,2.927,-71.463,-29.207
-0.093,-1.242,0.353,0.915,-65.671,-30.305
-0.003,-1.248,0.306,0.793,-64.512,-29.085
0.076,-1.215,0.301,0.976,-64.451,-25.671
0.167,-1.148,0.321,0.183,-60.61,-20.671
0.267,-1.076,0.343,-1.341,-53.476,-14.146
0.294,-1.01,0.36,-4.39,-44.268,-5.915
0.246,-0.949,0.346,-8.11,-33.659,1.524
0.184,-0.904,0.314,-12.134,-21.28,8.354
0.144,-0.865,0.271,-16.463,-6.098,13.476
0.116,-0.837,0.237,-20.793,10.61,18.78
