acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.083,-1.036,0.177,-0.488,65.366,3.11
-0.067,-1.007,0.128,7.988,77.805,13.354
-0.055,-0.937,0.113,15.549,87.561,20.549
-0.067,-0.858,0.102,23.78,95.122,23.598
-0.127,-0.779,0.066,29.024,95.0,24.451
-0.217,-0.723,0.079,31.585,86.646,20.671
-0.343,-0.687,0.142,31.768,77.134,11.707
-0.522,-0.648,0.25,26.89,68.902,3.11
-0.737,-0.563,0.432,15.549,57.439,-1.585
-0.842,-0.461,0.512,-0.061,43.11,-1.341
-0.808,-0.463,0.501,-9.573,27.622,-0.61
-0.678,-0.562,0.507,-10.244,11.159,-0.305
-0.568,-0.661,0.486,-9.207,-5.61,-0.976
-0.537,-0.734,0.428,-8.963,-20.427,-2.866
-0.55,-0.805,0.398,-8.659,-35.488,-4.207
-0.576,-0.871,0.394,-10.0,-53.354,-6.646
-0.617,-0.915,0.401,-10.732,-71.768,-13.354
-0.613,-0.966,0.424,-10.0,-85.61,-22.134
-0.562,-1.035,0.463,-8.171,-93.354,-29.634
-0.477,-1.095,0.517,-5.915,-97.134,-32.805
-0.37,-1.141,0.558,-3.72,-98.537,-30.427
-0.245,-1.15,0.628,-1.707,-96.585,-29.451
-0.116,-1.109,0.659,0.671,-87.012,-28.659
-0.003,-1.101,0.618,1.159,-78.537,-18.902
0.142,-1.112,0.635,1.037,-70.732,-7.561
0.269,-1.078,0.676,2.439,-56.463,-2.439
0.3,-1.033,0.662,1.646,-44.024,2.256
0.245,-0.999,0.644,-1.524,-35.793,7.988
0.165,-0.963,0.621,-2.317,-23.232,11.463
0.125,-0.95,0.582,-1.707,-3.72,13.171
0.12,-0.928,0.529,-3.232,16.402,15.183
0.1,-0.89,0.496,-4.878,32.988,16.402
0.043,-0.867,0.439,-5.244,48.049,16.463
-0.018,-0.855,0.367,-2.988,64.329,16.098
-0.055,-0.844,0.299,1.768,80.671,15.61
-0.098,-0.823,0.267,5.427,91.22,16.463
-0.143,-0.776,0.234,7.439,92.561,17.683
-0.187,-0.735,0.216,11.402,86.585,19.329
-0.235,-0.716,0.221,13.11,76.829,20.122
-0.349,-0.669,0.256,11.098,65.061,18.171
-0.465,-0.615,0.283,8.049,53.11,15.976
-0.547,-0.6,0.304,3.659,45.915,13.476
-0.569,-0.617,0.332,4.512,44.329,10.183
-0.568,-0.683,0.372,5.976,40.061,7.744
-0.63,-0.686,0.427,4.085,26.28,7.378
-0.672,-0.652,0.42,-1.037,9.39,6.768
-0.657,-0.671,0.442,-3.902,-2.744,4.695
-0.606,-0.719,0.472,-1.768,-10.671,2.988
-0.556,-0.773,0.476,-1.341,-19.756,1.28
-0.582,-0.795,0.474,-5.061,-30.976,-4.024
-0.615,-0.817,0.469,-8.232,-44.329,-10.976
-0.588,-0.894,0.476,-8.78,-53.232,-20.305
-0.551,-0.982,0.473,-8.963,-58.232,-28.963
-0.507,-1.066,0.517,-8.232,-62.622,-33.963
-0.415,-1.131,0.569,-7.012,-66.829,-33.354
-0.279,-1.156,0.614,-7.134,-72.5,-30.854
-0.144,-1.128,0.648,-6.28,-76.585,-29.878
-0.042,-1.126,0.626,-4.634,-76.707,-24.512
0.066,-1.154,0.621,-4.146,-72.561,-14.39
0.206,-1.134,0.659,-2.195,-58.78,-6.768
0.305,-1.091,0.674,-0.183,-39.146,-1.28
0.297,-1.038,0.655,-2.256,-23.72,4.573
0.209,-0.969,0.636,-6.159,-11.341,7.622
0.1,-0.921,0.616,-7.805,2.012,8.232
0.045,-0.903,0.586,-9.817,15.854,9.024
-0.006,-0.874,0.547,-12.439,29.39,8.659
-0.053,-0.833,0.486,-12.805,41.28,9.146
-0.078,-0.819,0.429,-12.012,50.122,12.317
-0.099,-0.804,0.387,-11.707,55.61,17.195
-0.121,-0.769,0.357,-12.134,58.72,24.39
-0.12,-0.729,0.347,-14.512,59.939,32.256
-0.096,-0.682,0.343,-18.476,60.061,39.207
